run,cleared,time_s,average_s,distance_m,measures,failures
20260910-200250-9fb269,14,6446.675197,460.47679978571426,27248.375985492083,163,11
20260910-222119-6cd63e,16,6684.957194,417.809824625,27594.785976916537,190,15
20260911-002124-7b080d,14,3854.083567,275.29168335714286,16020.417821120707,99,0
