a_m,b_m,travel_m,alpha_deg,radius_upper_m
96.59258262890683,25.881904510252074,99.99999999999999,14.999999999999998,575.4188948669645
93.96926207859084,34.20201433256687,100.0,19.999999999999996,543.1373292641986
90.63077870366499,42.261826174069945,100.0,25.000000000000004,515.7770799223385
86.60254037844388,49.99999999999999,100.0,29.999999999999993,492.15271187626746
81.91520442889917,57.35764363510461,99.99999999999999,35.00000000000001,472.6481654347053
76.60444431189781,64.27876096865393,100.0,40.0,456.361192940507
70.71067811865476,70.71067811865476,100.0,45.0,442.29171958760026
64.27876096865394,76.60444431189781,100.00000000000001,50.0,431.34729595380554
57.35764363510461,81.91520442889917,99.99999999999999,55.0,421.99032831479667
50.000000000000014,86.60254037844386,100.00000000000001,59.99999999999999,414.6462886205318
42.261826174069945,90.63077870366499,100.0,65.0,409.9390962384657
34.20201433256688,93.96926207859083,100.0,70.0,406.2102712182383
25.881904510252074,96.59258262890683,99.99999999999999,75.0,404.10519758800086
17.36481776669304,98.4807753012208,100.0,80.0,403.5499365913865
8.715574274765814,99.61946980917456,100.0,85.0,404.49406238828925
196.9615506024416,34.729635533386066,200.0,10.0,499.20453886707696
193.18516525781365,51.76380902050415,199.99999999999997,14.999999999999998,444.78716733383897
187.9385241571817,68.40402866513374,200.0,19.999999999999996,402.88682503991197
181.26155740732997,84.52365234813989,200.0,25.000000000000004,370.90041951316607
173.20508075688775,99.99999999999999,200.0,29.999999999999993,345.4913565238952
163.83040885779835,114.71528727020922,199.99999999999997,35.00000000000001,325.5580943987436
153.20888862379562,128.55752193730785,200.0,40.0,309.9759568109596
141.4213562373095,141.4213562373095,200.0,45.0,297.9326778812434
128.55752193730788,153.20888862379562,200.00000000000003,50.0,288.8332533083234
114.71528727020922,163.83040885779835,199.99999999999997,55.0,282.2384384341815
100.00000000000003,173.20508075688772,200.00000000000003,59.99999999999999,277.0986526939228
84.52365234813989,181.26155740732997,200.0,65.0,274.58885166352525
68.40402866513377,187.93852415718166,200.0,70.0,273.0444836694223
51.76380902050415,193.18516525781365,199.99999999999997,75.0,273.9115109230512
34.72963553338608,196.9615506024416,200.0,80.0,275.4545330147012
246.201938253052,43.412044416732584,249.99999999999997,10.000000000000002,449.1582189603826
241.4814565722671,64.70476127563019,250.00000000000003,14.999999999999998,391.3196532831158
234.9231551964771,85.50503583141717,250.0,20.0,349.2317866650917
226.5769467591625,105.65456543517486,250.00000000000003,25.0,317.9366743339395
216.50635094610968,124.99999999999999,250.0,29.999999999999996,293.84151725843077
204.78801107224794,143.3941090877615,249.99999999999997,35.0,276.0403448260756
191.5111107797445,160.6969024216348,250.0,39.99999999999999,262.10879396326555
176.7766952966369,176.7766952966369,250.00000000000003,45.0,251.67301394559723
160.69690242163483,191.5111107797445,250.0,50.0,244.70787212616762
143.3941090877615,204.78801107224794,249.99999999999997,55.0,239.52892469903009
125.00000000000003,216.50635094610965,250.0,59.99999999999999,235.72094441178865
105.65456543517486,226.5769467591625,250.00000000000003,65.0,234.37651755445654
85.5050358314172,234.92315519647707,249.99999999999997,70.0,233.9225218626478
64.70476127563019,241.4814565722671,250.00000000000003,75.0,235.72672407264253
43.412044416732606,246.201938253052,249.99999999999997,80.0,238.15362482872519
298.85840942752367,26.14672282429745,300.0,4.999999999999999,500.7789528128636
295.4423259036624,52.0944533000791,299.99999999999994,10.000000000000002,415.3633246087111
289.7777478867205,77.64571353075623,300.0,14.999999999999998,356.86302266091843
281.9077862357725,102.60604299770061,300.0,20.0,313.4389853252533
271.89233611099496,126.78547852220983,299.99999999999994,25.000000000000004,282.3557834221166
259.8076211353316,149.99999999999997,300.0,29.999999999999996,258.78646723802854
245.74561328669753,172.07293090531383,300.0,35.0,240.68998478270126
229.8133329356934,192.83628290596178,300.0,40.0,227.31758788404522
212.13203435596427,212.13203435596427,300.0,45.0,216.44841854270894
192.8362829059618,229.8133329356934,300.0,50.0,210.03746057615382
172.07293090531383,245.74561328669753,300.0,55.0,206.17684149615027
150.00000000000003,259.8076211353316,300.0,59.99999999999999,204.20949328568352
126.78547852220983,271.89233611099496,299.99999999999994,65.0,203.91307869056504
102.60604299770064,281.9077862357725,300.0,70.0,204.42515967591066
77.64571353075623,289.7777478867205,300.0,75.0,207.04017288595858
52.094453300079124,295.4423259036624,300.0,80.0,209.62967373516878
398.47787923669824,34.86229709906327,400.0,5.0,427.21407296917323
393.9231012048832,69.45927106677213,400.0,10.0,336.8222348929833
386.3703305156273,103.5276180410083,399.99999999999994,14.999999999999998,281.16501989530957
375.8770483143634,136.80805733026747,400.0,19.999999999999996,245.1330283674942
362.52311481465995,169.04730469627978,400.0,25.000000000000004,220.33927561028045
346.4101615137755,199.99999999999997,400.0,29.999999999999993,203.215446215518
327.6608177155967,229.43057454041843,399.99999999999994,35.00000000000001,189.68332353898532
306.41777724759123,257.1150438746157,400.0,40.0,178.5682515614167
282.842712474619,282.842712474619,400.0,45.0,170.4111797257691
257.11504387461576,306.41777724759123,400.00000000000006,50.0,164.5175166242758
229.43057454041843,327.6608177155967,399.99999999999994,55.0,160.70783344494
200.00000000000006,346.41016151377545,400.00000000000006,59.99999999999999,159.87998574995817
169.04730469627978,362.52311481465995,400.0,65.0,161.311193827103
136.80805733026753,375.8770483143633,400.0,70.0,163.39865403450122
103.5276180410083,386.3703305156273,399.99999999999994,75.0,166.6301726163245
498.09734904587276,43.57787137382908,500.0,5.0,368.2567539014156
492.403876506104,86.82408883346517,499.99999999999994,10.000000000000002,277.5284035854798
482.9629131445342,129.40952255126038,500.00000000000006,14.999999999999998,224.94415026917073
469.8463103929542,171.01007166283435,500.0,20.0,191.56931027938305
453.153893518325,211.30913087034972,500.00000000000006,25.0,169.48315264483773
433.01270189221935,249.99999999999997,500.0,29.999999999999996,156.43160092425094
