time_s,j_water_kg_m2_s,T_surface_C,latent_W_m2,convective_W_m2,mean_T_C,mean_T0_C,cum_conv_J,cum_latent_J,energy_balance_J,max_linear_backward_error,max_scaled_residual
0,0.00046758386478873242,28,1138.3516221827606,0,28.000000000000014,28.000000000000014,0,0,0,0,0
1,0.0004616190210350645,26.57032049310903,1125.3940938635508,35.961987672274191,27.948141701911599,28.000005071763855,0.75675722170867721,35.490799839850141,6.7840769871133313e-11,1.7320018990439543e-16,1.3196883857034905e-14
2,0.00045917233729300319,25.999159028373452,1120.0508140897273,50.461024290663744,27.897535544965677,28.000020143756569,2.1279109027298695,70.757327586277583,2.284681255142749e-10,1.7320018990439543e-16,1.3196883857034905e-14
3,0.00045730453877853363,25.569097079973471,1115.960833002511,61.432573000663204,27.847732839476063,28.000045077850007,3.8916817790591565,105.87833074215499,2.2261470557889616e-11,1.7320018990439543e-16,1.3196883857034905e-14
4,0.00045573628326419025,25.212014007558196,1112.5195007643536,70.579649811045101,27.798573592073428,28.000079772440106,5.9690071210949762,140.88190814585587,-1.72887224313231e-10,1.7320018990439543e-16,1.3196883857034905e-14
5,0.00045435943995126638,24.901532047787558,1109.49275998639,78.561698805310968,27.749965390821057,28.000124143161909,8.3142300579280626,175.7842992912253,-3.7137888854544609e-10,1.7320018990439543e-16,1.3196883857034905e-14
6,0.00045311854941625795,24.624127018115491,1106.7605527803557,85.716824547112765,27.701845916864141,28.000178116442925,10.896568907761479,210.59646288999386,-5.4407609759776177e-10,1.7320018990439543e-16,1.3196883857034905e-14
7,0.00045198066620917164,24.371767221803559,1104.2515529446321,92.245819454910986,27.654169444663594,28.000241626308323,13.693443275540314,245.32644494400745,-7.1795291467569293e-10,1.7320018990439543e-16,1.3196883857034905e-14
8,0.00045092432499478077,24.139221035246905,1101.9192845550594,98.279474118827352,27.606900564473221,28.000314612512664,16.68737088950817,279.98048018877211,-9.2024734743334157e-10,1.7320018990439543e-16,1.3196883857034905e-14
9,0.00044993465706527429,23.922855475323392,1099.7315632494258,103.90861311691522,27.560010800068014,28.000397019331622,19.864296989883584,314.56358688576921,-1.0072484776575315e-09,1.7320018990439543e-16,1.3196883857034905e-14
10,0.00044900075474804338,23.720026255711538,1097.6647535806264,109.19934360721157,27.513476607000452,28.000488794727978,23.212603214216031,349.0799164502219,-1.1006301837169097e-09,1.7320018990439543e-16,1.3196883857034905e-14
11,0.00044811442757339797,23.528737691244952,1095.7011185500835,114.20155771887615,27.4672780972979,28.000589889745324,26.722476489485643,383.53297652569626,-1.1898500778877518e-09,1.7320018990439543e-16,1.3196883857034905e-14
12,0.00044726931198906135,23.34743974322436,1093.8268762071839,118.95400641939106,27.42139818016641,28.000700258052316,30.38548582132486,417.92578331902496,-1.2771356437879543e-09,1.7320018990439543e-16,1.3196883857034905e-14
13,0.00044646034723165454,23.174900081978073,1092.0310651593934,123.48749795054816,27.375821962899401,28.000819855588954,34.194286169279671,452.26096673908955,-1.3640218487451349e-09,1.7320018990439543e-16,1.3196883857034905e-14
14,0.00044568342999328473,23.010119811634208,1090.3047970505786,127.82700470914472,27.330536317399051,28.000948640285468,38.142404200633067,486.54084648985878,-1.4508096086139592e-09,1.7320018990439543e-16,1.3196883857034905e-14
15,0.00044493517855239426,22.852275923205823,1088.6407459620009,131.99310191985435,27.285529557702784,28.001086571834861,42.224078921825495,520.76748868998618,-1.5349755377328303e-09,1.7320018990439543e-16,1.3196883857034905e-14
16,0.00044421276673202345,22.700680793223789,1087.032788954313,136.00298016940533,27.240791194432976,28.001233611505796,46.434140334292351,554.94274899537368,-1.6218782664670203e-09,1.7320018990439543e-16,1.3196883857034905e-14
17,0.00044351380396956386,22.554752935933504,1085.4757464223458,139.8711766016624,27.19631174406766,28.001389721986072,50.767915187648192,589.06830610079612,-1.7062483230897375e-09,1.7320018990439543e-16,1.3196883857034905e-14
18,0.00044283624675110555,22.413995408426253,1083.9651903446072,143.61011478934361,27.152082578229596,28.001554867250224,55.221152513019035,623.14568821688329,-1.788878456512223e-09,1.7320018990439543e-16,1.3196883857034905e-14
19,0.00044217833193250665,22.277979555130901,1082.4972999127272,147.23051112172749,27.108095802806591,28.001729012446795,59.78996389886634,657.17629431035641,-1.8702066558211145e-09,1.7320018990439543e-16,1.3196883857034905e-14
20,0.00044153852567889153,22.146332561830246,1081.0687509726883,150.74168595424391,27.064344159711858,28.001912123800704,64.47077495648486,691.16141136872056,-1.9554086562773189e-09,1.7320018990439543e-16,1.3196883857034905e-14
21,0.00044091548377138504,22.018727781859386,1079.6766300754905,154.15180545351532,27.020820946109506,28.002104168529012,69.260285416043672,725.10222859804378,-2.0361477109985404e-09,1.7320018990439543e-16,1.3196883857034905e-14
