time_s,steps,iterations,max_scaled_residual,max_ratio,max_linear_backward_error,cum_water_balance,cum_outward_water_per_rhod_2piL
0,0,0,0,0,0,0,0
1,1025,2050,6.3693760971944171e-16,0.00028966792018865527,2.134845564140216e-16,1.7106128671808997e-19,-6.6309391734528916e-10
2,2049,4098,6.5016565626839393e-16,0.00029598009741421433,2.1383741376179898e-16,3.0269989507433277e-19,-1.3187502496658506e-09
3,2305,4866,6.5016565626839393e-16,0.00029598009741421433,2.1397862643969223e-16,2.6975184371027371e-19,-1.9670664956019303e-09
4,2561,5634,6.5016565626839393e-16,0.00029598009741421433,2.1433195927804152e-16,2.2006641303666355e-19,-2.6081350868697826e-09
5,2817,6402,6.5016565626839393e-16,0.00029598009741421433,2.1472707422872687e-16,2.1836903841970474e-19,-3.2420452701838572e-09
6,3073,7170,6.5016565626839393e-16,0.00029598009741421433,2.1506197641316856e-16,2.3548216452250805e-19,-3.8688840554773816e-09
7,3329,7938,6.5016565626839393e-16,0.00029598009741421433,2.1539201114982743e-16,2.6272639197270771e-19,-4.4887367120966778e-09
8,3585,8706,6.5016565626839393e-16,0.00029598009741421433,2.1578149574285028e-16,2.2943547424474542e-19,-5.1016870411124748e-09
9,3649,8898,6.5016565626839393e-16,0.00029598009741421433,2.1578149574285028e-16,2.197855852187018e-19,-5.7078175351741535e-09
10,3713,9090,6.5016565626839393e-16,0.00029598009741421433,2.1578149574285028e-16,1.7516084553269106e-19,-6.307209472058487e-09
