time_s,steps,iterations,max_scaled_residual,max_ratio,max_linear_backward_error,cum_water_balance,cum_outward_water_per_rhod_2piL
0,0,0,0,0,0,0,0
1,1025,2050,6.4429512040366735e-16,0.00029286240194366549,1.5032055997366372e-16,-1.8929240792249687e-18,1.0568346482984992e-09
2,2049,4098,6.4429512040366735e-16,0.00029286240194366549,2.2548189660646847e-16,-3.8408108051377991e-18,2.1136255373559563e-09
3,2305,4610,6.4429512040366735e-16,0.00029286240194366549,2.2548189660646847e-16,-3.6126729333204921e-18,3.1703727208026417e-09
4,2561,5122,6.4429512040366735e-16,0.00029286240194366549,2.2548189660646847e-16,-3.369108773965847e-18,4.2270762253984391e-09
5,2817,5634,6.4429512040366735e-16,0.00029286240194366549,2.2548189660646847e-16,-3.08542121410412e-18,5.283736066858212e-09
6,3073,6146,6.4429512040366735e-16,0.00029286240194366549,2.2548189660646847e-16,-2.8195476850517771e-18,6.3403522558022177e-09
7,3329,6658,6.4429512040366735e-16,0.00029286240194366549,2.2548189660646847e-16,-2.5792153243893445e-18,7.3969248001973264e-09
8,3585,7170,6.4429512040366735e-16,0.00029286240194366549,2.2548189660646847e-16,-2.2972551826029182e-18,8.4534537064655914e-09
9,3649,7298,6.4429512040366735e-16,0.00029286240194366549,2.2548189660646847e-16,-2.4306516596207613e-18,9.5099389800438533e-09
10,3713,7426,6.4429512040366735e-16,0.00029286240194366549,2.2548189660646847e-16,-2.5454156380780803e-18,1.0566380625694419e-08
