r_m,T_C,C_kg_kg
0,49.849495583814473,1.7661771010967218
1.5625000000000001e-06,49.849495584367254,1.7661770962259151
3.1250000000000001e-06,49.849495586026741,1.7661770816134985
4.6875000000000004e-06,49.84949558879201,1.7661770572594742
6.2500000000000003e-06,49.849495592663438,1.7661770231638356
7.8125000000000002e-06,49.849495597640761,1.7661769793265905
9.3750000000000009e-06,49.849495603724726,1.7661769257477289
1.09375e-05,49.849495610914566,1.7661768624272645
1.2500000000000001e-05,49.849495619210288,1.7661767893651898
1.4062500000000001e-05,49.849495628612395,1.7661767065615057
1.5625e-05,49.849495639121699,1.766176614016209
1.7187500000000001e-05,49.849495650735903,1.76617651172931
1.8750000000000002e-05,49.849495663456615,1.7661763997008084
2.0312500000000002e-05,49.849495677283215,1.7661762779307009
2.1875e-05,49.849495692216202,1.7661761464189811
2.34375e-05,49.849495708254977,1.7661760051656621
2.5000000000000001e-05,49.849495725400004,1.766175854170738
2.6562500000000002e-05,49.849495743651097,1.7661756934342105
2.8125000000000003e-05,49.849495763008974,1.766175522956082
2.96875e-05,49.849495783471937,1.7661753427363429
3.1250000000000001e-05,49.84949580504157,1.7661751527750118
3.2812500000000005e-05,49.849495827716915,1.7661749530720707
3.4375000000000002e-05,49.849495851498823,1.7661747436275421
3.5937499999999999e-05,49.849495876386399,1.7661745244414133
3.7500000000000003e-05,49.849495902380461,1.7661742955136868
3.9062500000000001e-05,49.849495929480184,1.7661740568443642
4.0625000000000005e-05,49.849495957686628,1.7661738084334533
4.2187500000000002e-05,49.849495986999024,1.7661735502809459
4.375e-05,49.849496017417316,1.766173282386847
4.5312500000000004e-05,49.849496048942051,1.7661730047511552
4.6875000000000001e-05,49.84949608157298,1.7661727173738797
4.8437500000000005e-05,49.849496115310053,1.7661724202550226
5.0000000000000002e-05,49.849496150153364,1.7661721133945765
5.15625e-05,49.849496186102407,1.7661717967925501
5.3125000000000004e-05,49.849496223157239,1.7661714704489411
5.4687500000000001e-05,49.849496261318897,1.7661711343637536
5.6250000000000005e-05,49.849496300586893,1.7661707885369893
5.7812500000000003e-05,49.849496340960641,1.766170432968649
5.9375e-05,49.849496382440826,1.7661700676587371
6.0937500000000004e-05,49.849496425027169,1.7661696926072534
6.2500000000000001e-05,49.849496468719451,1.7661693078141978
6.4062500000000005e-05,49.849496513517991,1.7661689132795837
6.5625000000000009e-05,49.849496559422903,1.7661685090034043
6.71875e-05,49.849496606433405,1.7661680949856604
6.8750000000000004e-05,49.849496654551082,1.7661676712263452
7.0312500000000008e-05,49.849496703774143,1.7661672377254778
7.1874999999999999e-05,49.849496754103072,1.7661667944830559
7.3437500000000003e-05,49.849496805539012,1.7661663414990749
7.5000000000000007e-05,49.849496858080222,1.7661658787735519
7.6562499999999998e-05,49.849496911727925,1.7661654063064829
7.8125000000000002e-05,49.849496966481716,1.766164924097869
7.9687500000000006e-05,49.849497022341858,1.7661644321477095
8.125000000000001e-05,49.849497079308129,1.7661639304560039
8.28125e-05,49.849497137380524,1.7661634190227613
8.4375000000000004e-05,49.849497196559497,1.7661628978479904
8.5937500000000009e-05,49.849497256844323,1.7661623669316917
8.7499999999999999e-05,49.84949731823599,1.7661618262738605
8.9062500000000003e-05,49.849497380732622,1.7661612758745013
9.0625000000000007e-05,49.849497444335945,1.7661607157336203
9.2187499999999998e-05,49.849497509045534,1.7661601458512233
9.3750000000000002e-05,49.84949757486153,1.7661595662273117
9.5312500000000006e-05,49.84949764178333,1.7661589768618831
9.687500000000001e-05,49.849497709811757,1.7661583777549485
9.8437500000000001e-05,49.849497778946279,1.76615776890651
0.0001,49.849497849186918,1.7661571503165665
0.00010156250000000001,49.849497920533722,1.766156521985127
0.000103125,49.849497992986954,1.7661558839121902
0.0001046875,49.849498066545863,1.7661552360977573
0.00010625000000000001,49.849498141211335,1.7661545785418407
0.00010781250000000001,49.849498216983406,1.7661539112444433
0.000109375,49.849498293862148,1.7661532342055546
0.00011093750000000001,49.849498371846245,1.766152547425192
0.00011250000000000001,49.84949845093643,1.7661518509033542
0.0001140625,49.849498531133214,1.766151144640044
0.00011562500000000001,49.849498612435639,1.7661504286352672
0.00011718750000000001,49.849498694844904,1.7661497028890305
0.00011875,49.849498778360335,1.7661489674013398
0.0001203125,49.849498862981392,1.7661482221721896
0.00012187500000000001,49.849498948709346,1.7661474672015944
0.00012343750000000001,49.849499035543808,1.7661467024895554
0.000125,49.84949912348484,1.7661459280360738
0.00012656249999999999,49.8494992125311,1.7661451438411508
0.00012812500000000001,49.849499302684215,1.7661443499047913
0.0001296875,49.849499393944392,1.7661435462270163
0.00013125000000000002,49.849499486310229,1.7661427328078072
0.00013281250000000001,49.849499579781344,1.7661419096471882
0.000134375,49.849499674359706,1.7661410767451509
0.00013593750000000002,49.849499770043607,1.7661402341017056
0.00013750000000000001,49.849499866834933,1.7661393817168514
0.0001390625,49.8494999647315,1.7661385195905996
0.00014062500000000002,49.849500063734382,1.7661376477229491
0.00014218750000000001,49.849500163843729,1.7661367661139096
0.00014375,49.849500265059675,1.7661358747634766
0.00014531250000000002,49.849500367382049,1.7661349736716667
0.00014687500000000001,49.849500470810888,1.7661340628384852
0.0001484375,49.849500575345949,1.766133142263931
0.00015000000000000001,49.849500680987482,1.7661322119480187
0.0001515625,49.849500787735487,1.7661312718907354
0.000153125,49.849500895589614,1.7661303220920961
0.00015468750000000001,49.849501004550113,1.7661293625521108
0.00015625,49.849501114616274,1.7661283932707801
0.00015781250000000002,49.849501225788941,1.7661274142481103
0.00015937500000000001,49.849501338067874,1.766126425484108
0.0001609375,49.849501451453442,1.7661254269787741
0.00016250000000000002,49.849501565945282,1.766124418732119
0.00016406250000000001,49.849501681543352,1.7661234007441444
0.000165625,49.849501798247985,1.7661223730148616
0.00016718750000000002,49.849501916059111,1.7661213355442764
0.00016875000000000001,49.84950203497641,1.7661202883323814
0.0001703125,49.849502154999762,1.7661192313791982
0.00017187500000000002,49.8495022761293,1.7661181646847299
0.00017343750000000001,49.849502398366191,1.7661170882489796
0.000175,49.849502521709212,1.7661160020719497
0.00017656250000000002,49.849502646158591,1.7661149061536501
0.00017812500000000001,49.849502771714135,1.7661138004940853
0.0001796875,49.849502898376301,1.7661126850932627
0.00018125000000000001,49.849503026144788,1.7661115599511881
0.00018281250000000001,49.849503155020024,1.7661104250678701
0.000184375,49.849503285001312,1.7661092804433107
0.00018593750000000001,49.84950341608814,1.7661081260775167
0.0001875,49.849503548282357,1.7661069619704988
0.00018906250000000002,49.849503681582959,1.7661057881222568
0.00019062500000000001,49.849503815990218,1.7661046045328017
0.0001921875,49.849503951503912,1.7661034112021428
0.00019375000000000002,49.849504088123574,1.7661022081302797
0.00019531250000000001,49.849504225850161,1.7661009953172238
0.000196875,49.849504364682616,1.7660997727629828
0.00019843750000000002,49.849504504621827,1.7660985404675655
0.00020000000000000001,49.849504645667416,1.7660972984309691
0.0002015625,49.849504787820187,1.7660960466532116
0.00020312500000000002,49.849504931079039,1.7660947851342892
0.00020468750000000001,49.84950507544449,1.7660935138742166
0.00020625,49.849505220915944,1.7660922328729975
0.00020781250000000002,49.84950536749389,1.7660909421306441
0.00020937500000000001,49.849505515178571,1.7660896416471621
0.0002109375,49.849505663969872,1.7660883314225519
0.00021250000000000002,49.84950581386768,1.7660870114568263
0.00021406250000000001,49.849505964871788,1.7660856817499979
0.00021562500000000002,49.849506116982653,1.7660843423020662
0.00021718750000000001,49.849506270200415,1.7660829931130384
0.00021875,49.849506424523973,1.7660816341829213
0.00022031250000000002,49.849506579953918,1.7660802655117274
0.00022187500000000001,49.84950673649103,1.7660788870994624
0.0002234375,49.849506894134649,1.7660774989461323
0.00022500000000000002,49.849507052885222,1.7660761010517514
0.00022656250000000001,49.849507212741941,1.766074693416319
0.000228125,49.849507373705663,1.7660732760398419
0.00022968750000000002,49.849507535775743,1.7660718489223344
0.00023125000000000001,49.8495076989525,1.7660704120637982
0.0002328125,49.849507863236148,1.7660689654642525
0.00023437500000000002,49.849508028625692,1.7660675091236999
0.00023593750000000001,49.849508195122446,1.7660660430421389
0.0002375,49.849508362725288,1.7660645672195883
0.00023906250000000002,49.849508531434445,1.7660630816560539
0.00024062500000000001,49.849508701251096,1.7660615863515483
0.0002421875,49.84950887217461,1.766060081306067
0.00024375000000000002,49.849509044204986,1.7660585665196342
0.00024531250000000003,49.849509217341556,1.7660570419922579
0.00024687500000000002,49.84950939158454,1.7660555077239248
0.00024843750000000001,49.849509566934088,1.7660539637146606
0.00025000000000000001,49.849509743390101,1.7660524099644648
0.0002515625,49.849509920953068,1.7660508464733584
0.00025312499999999999,49.849510099622876,1.7660492732413515
0.00025468750000000003,49.849510279399631,1.766047690268439
0.00025625000000000002,49.849510460282261,1.766046097554635
0.00025781250000000001,49.849510642272357,1.766044495099951
0.000259375,49.84951082536859,1.7660428829043964
0.00026093749999999999,49.849511009571934,1.766041260967977
0.00026250000000000004,49.849511194882346,1.7660396292907117
0.00026406250000000003,49.849511381299209,1.766037987872596
0.00026562500000000002,49.849511568822642,1.7660363367136438
0.00026718750000000001,49.849511757452433,1.7660346758138594
0.00026875,49.849511947189598,1.7660330051732598
0.00027031249999999999,49.849512138033234,1.7660313247918542
0.00027187500000000004,49.849512329983973,1.766029634669648
0.00027343750000000003,49.849512523041618,1.7660279348066514
0.00027500000000000002,49.84951271720567,1.7660262252028782
0.00027656250000000001,49.849512912475994,1.7660245058583364
0.000278125,49.849513108853166,1.7660227767730263
0.00027968749999999999,49.849513306337904,1.7660210379469763
0.00028125000000000003,49.849513504928822,1.7660192893801687
0.00028281250000000002,49.849513704626801,1.76601753107264
0.00028437500000000001,49.849513905432069,1.7660157630243829
0.0002859375,49.849514107343886,1.766013985235412
0.0002875,49.849514310362913,1.7660121977057455
0.00028906250000000004,49.849514514488433,1.7660104004353854
0.00029062500000000003,49.849514719720901,1.7660085934243384
0.00029218750000000002,49.849514926059435,1.7660067766726262
0.00029375000000000001,49.849515133506138,1.7660049501802453
0.0002953125,49.849515342059597,1.7660031139472099
0.00029687499999999999,49.84951555171984,1.7660012679735304
0.00029843750000000004,49.849515762486199,1.7659994122592237
0.00030000000000000003,49.84951597436033,1.7659975468042963
0.00030156250000000002,49.849516187340953,1.7659956716087541
0.00030312500000000001,49.849516401429042,1.7659937866726128
0.0003046875,49.849516616624015,1.7659918919958788
0.00030624999999999999,49.849516832925232,1.7659899875785656
0.00030781250000000003,49.849517050333844,1.765988073420685
0.00030937500000000003,49.849517268849524,1.7659861495222535
0.00031093750000000002,49.84951748847147,1.765984215883269
0.00031250000000000001,49.849517709200086,1.7659822725037406
0.0003140625,49.849517931036651,1.7659803193836896
0.00031562500000000004,49.849518153979965,1.7659783565231226
0.00031718750000000003,49.849518378030567,1.765976383922053
0.00031875000000000002,49.849518603187327,1.765974401580491
0.00032031250000000001,49.849518829451853,1.7659724094984466
0.000321875,49.849519056823581,1.7659704076759275
0.00032343749999999999,49.849519285302165,1.7659683961129493
0.00032500000000000004,49.849519514888101,1.7659663748095282
0.00032656250000000003,49.849519745580956,1.7659643437656638
0.00032812500000000002,49.849519977380908,1.7659623029813687
0.00032968750000000001,49.849520210288517,1.7659602524566687
0.00033125,49.849520444302293,1.7659581921915626
0.00033281249999999999,49.849520679423598,1.7659561221860762
0.00033437500000000004,49.849520915652548,1.7659540424401947
0.00033593750000000003,49.849521152987485,1.7659519529539518
0.00033750000000000002,49.849521391429903,1.7659498537273424
0.00033906250000000001,49.849521630979901,1.7659477447603877
0.000340625,49.849521871636625,1.7659456260531017
0.00034218749999999999,49.849522113400731,1.7659434976054951
0.00034375000000000003,49.849522356271777,1.7659413594175781
0.00034531250000000002,49.849522600250275,1.7659392114893602
0.00034687500000000002,49.849522845336324,1.7659370538208574
0.00034843750000000001,49.849523091529079,1.7659348864120736
0.00035,49.849523338828909,1.7659327092630337
0.00035156250000000004,49.849523587235673,1.7659305223737374
0.00035312500000000003,49.849523836750095,1.7659283257442091
0.00035468750000000002,49.849524087371542,1.7659261193744549
0.00035625000000000001,49.849524339101272,1.7659239032644856
0.0003578125,49.849524591937687,1.7659216774143136
0.00035937499999999999,49.849524845881561,1.7659194418239592
0.00036093750000000004,49.849525100932716,1.765917196493421
0.00036250000000000003,49.849525357090585,1.7659149414227162
0.00036406250000000002,49.849525614356125,1.765912676611866
0.00036562500000000001,49.849525872729124,1.7659104020608738
0.0003671875,49.849526132209228,1.7659081177697622
0.00036874999999999999,49.849526392796328,1.7659058237385346
0.00037031250000000004,49.849526654490937,1.7659035199672031
0.00037187500000000003,49.849526917292877,1.7659012064557833
0.00037343750000000002,49.849527181202326,1.7658988832042921
0.00037500000000000001,49.849527446219533,1.7658965502127395
0.0003765625,49.849527712343345,1.7658942074811319
0.00037812500000000004,49.849527979574418,1.76589185500949
0.00037968750000000003,49.849528247912644,1.7658894927978228
0.00038125000000000002,49.849528517358891,1.765887120846152
0.00038281250000000001,49.849528787912767,1.7658847391544761
0.00038437500000000001,49.849529059574344,1.765882347722822
0.0003859375,49.849529332343238,1.7658799465512043
0.00038750000000000004,49.849529606219399,1.7658775356396206
0.00038906250000000003,49.849529881202905,1.7658751149881002
0.00039062500000000002,49.849530157294467,1.7658726845966477
0.00039218750000000001,49.849530434492628,1.7658702444652796
0.00039375,49.849530712799137,1.7658677945940024
0.00039531249999999999,49.84953099221304,1.7658653349828368
0.00039687500000000004,49.849531272734168,1.7658628656317974
0.00039843750000000003,49.849531554362741,1.7658603865409011
0.00040000000000000002,49.849531837099292,1.7658578977101558
0.00040156250000000001,49.849532120942818,1.7658553991395738
0.000403125,49.849532405894657,1.7658528908291695
0.00040468750000000005,49.849532691953868,1.7658503727789621
0.00040625000000000004,49.849532979120077,1.7658478449889601
0.00040781250000000003,49.849533267393959,1.7658453074591829
0.00040937500000000002,49.849533556776009,1.7658427601896394
0.00041093750000000001,49.849533847265391,1.7658402031803484
0.0004125,49.84953413886209,1.7658376364313197
0.00041406250000000004,49.849534431566219,1.7658350599425658
0.00041562500000000003,49.849534725378533,1.7658324737141065
0.00041718750000000002,49.849535020298525,1.7658298777459571
0.00041875000000000001,49.849535316325834,1.7658272720381309
0.0004203125,49.849535613460773,1.7658246565906355
0.000421875,49.849535911703938,1.7658220314034947
0.00042343750000000004,49.849536211054776,1.7658193964767159
0.00042500000000000003,49.8495365115133,1.7658167518103234
0.00042656250000000002,49.849536813079752,1.765814097404321
0.00042812500000000001,49.849537115753833,1.7658114332587302
0.0004296875,49.849537419535608,1.7658087593735678
0.00043125000000000005,49.849537724425701,1.7658060757488334
0.00043281250000000004,49.849538030423247,1.7658033823845636
0.00043437500000000003,49.849538337528138,1.7658006792807621
0.00043593750000000002,49.849538645741248,1.7657979664374452
0.00043750000000000001,49.849538955062108,1.7657952438546269
0.0004390625,49.849539265490613,1.7657925115323241
0.00044062500000000004,49.84953957702654,1.7657897694705433
0.00044218750000000003,49.849539889671092,1.7657870176693158
0.00044375000000000003,49.849540203423338,1.7657842561286448
0.00044531250000000002,49.849540518283476,1.7657814848485471
0.00044687500000000001,49.849540834251066,1.765778703829042
0.0004484375,49.849541151327095,1.7657759130701403
0.00045000000000000004,49.849541469510875,1.7657731125718614
0.00045156250000000003,49.849541788802185,1.7657703023342197
0.00045312500000000002,49.849542109202901,1.7657674823572349
0.00045468750000000001,49.849542430710869,1.7657646526409174
0.00045625,49.849542753326723,1.7657618131852879
0.00045781250000000005,49.849543077049852,1.7657589639903579
0.00045937500000000004,49.849543401881817,1.7657561050561397
0.00046093750000000003,49.849543727821498,1.7657532363826629
0.00046250000000000002,49.849544054869526,1.7657503579699256
0.00046406250000000001,49.849544383025517,1.7657474698179518
0.000465625,49.849544712289159,1.7657445719267577
0.00046718750000000005,49.849545042660829,1.7657416642963679
0.00046875000000000004,49.849545374141876,1.7657387469267818
0.00047031250000000003,49.84954570673014,1.7657358198180282
0.00047187500000000002,49.84954604042624,1.765732882970122
0.00047343750000000001,49.849546375229878,1.7657299363830745
0.000475,49.849546711143127,1.7657269800569098
0.00047656250000000004,49.849547048163444,1.7657240139916313
0.00047812500000000003,49.849547386291505,1.7657210381872681
0.00047968750000000002,49.849547725528204,1.7657180526438314
0.00048125000000000002,49.849548065873307,1.7657150573613316
0.00048281250000000001,49.849548407325912,1.765712052339794
0.000484375,49.849548749888093,1.7657090375792448
0.00048593750000000004,49.84954909355762,1.7657060130796787
0.00048750000000000003,49.849549438336275,1.7657029788411291
0.00048906250000000002,49.849549784222617,1.7656999348636047
0.00049062500000000007,49.849550131216752,1.7656968811471225
0.0004921875,49.849550479319177,1.7656938176917027
0.00049375000000000005,49.84955082853012,1.7656907444973651
0.00049531249999999998,49.849551178849566,1.7656876615641202
0.00049687500000000003,49.849551530277665,1.7656845688919851
0.00049843750000000007,49.849551882814175,1.7656814664809815
0.00050000000000000001,49.849552236458401,1.7656783543311199
0.00050156250000000006,49.849552591210291,1.7656752324424323
0.00050312499999999999,49.849552947071508,1.7656721008149237
0.00050468750000000004,49.849553304040931,1.7656689594486132
0.00050624999999999997,49.849553662118623,1.7656658083435237
0.00050781250000000002,49.849554021304648,1.7656626474996651
0.00050937500000000006,49.849554381599802,1.7656594769170513
0.0005109375,49.849554743003672,1.765656296595723
0.00051250000000000004,49.849555105515556,1.7656531065356715
0.00051406249999999998,49.849555469136135,1.7656499067369247
0.00051562500000000002,49.84955583386548,1.7656466971995017
0.00051718750000000007,49.849556199702569,1.7656434779234196
0.00051875000000000001,49.849556566648964,1.7656402489087055
0.00052031250000000005,49.849556934703415,1.7656370101553611
0.00052187499999999999,49.849557303866312,1.7656337616634052
0.00052343750000000003,49.849557674138076,1.7656305034328721
0.00052500000000000008,49.849558045518087,1.7656272354637674
