x,y,J,P_finish,P_onsite,P_H,P_N,P_normal,P_finish_N,P_finish_normal,probability_residual,mec_gap,angle_calls,root_count,depth_capped,distance_K1,x_global,y_global,level,scan
752.614626853041,-3.69482222595252e-13,285.802240387464,0.0391016587114214,0.0151734668180035,0.00284215807415725,0.0,0.997157849860636,0.0,0.0362595006372642,7.93479304483924e-09,3.41060513164848e-13,4410.0,4.0,0.0,0.0,548.216613885521,376.307313426521,5,64
-1500.0,-1500.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,2124.79667952743,3249.03810567666,549.038105676658,2,6
-1500.0,-1400.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,2055.42656928853,3199.03810567666,462.435565298214,2,6
-1500.0,-1300.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1988.66684845493,3149.03810567666,375.83302491977,2,6
-1500.0,-1200.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1924.78915379064,3099.03810567666,289.230484541326,2,6
-1500.0,-1100.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1864.08978833009,3049.03810567666,202.627944162883,2,6
-1500.0,-1000.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1806.88909215894,2999.03810567666,116.025403784439,2,6
-1500.0,-900.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1753.52948186491,2949.03810567666,29.4228634059949,2,6
-1500.0,-800.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1704.37175996783,2899.03810567666,-57.1796769724489,2,6
-1500.0,-700.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1659.78930849138,2849.03810567666,-143.782217350893,2,6
-1500.0,-600.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1620.15986896007,2799.03810567666,-230.384757729337,2,6
-1500.0,-500.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1585.85480211625,2749.03810567666,-316.987298107781,2,6
-1500.0,-400.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1557.22602913052,2699.03810567666,-403.589838486224,2,6
-1500.0,-300.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1534.59126747419,2649.03810567666,-490.192378864668,2,6
-1500.0,-200.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1518.21863070326,2599.03810567666,-576.794919243112,2,6
-1500.0,-100.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1508.31205757327,2549.03810567666,-663.397459621556,2,6
-1500.0,0.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1504.99924100557,2499.03810567666,-750.0,2,6
-1500.0,100.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1508.31205757327,2449.03810567666,-836.602540378444,2,6
-1500.0,200.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1518.21863070326,2399.03810567666,-923.205080756888,2,6
-1500.0,300.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1534.59126747419,2349.03810567666,-1009.80762113533,2,6
-1500.0,400.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1557.22602913052,2299.03810567666,-1096.41016151378,2,6
-1500.0,500.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1585.85480211625,2249.03810567666,-1183.01270189222,2,6
-1500.0,600.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1620.15986896007,2199.03810567666,-1269.61524227066,2,6
-1500.0,700.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1659.78930849138,2149.03810567666,-1356.21778264911,2,6
-1500.0,800.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1704.37175996783,2099.03810567666,-1442.82032302755,2,6
-1500.0,900.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1753.52948186491,2049.03810567666,-1529.42286340599,2,6
-1500.0,1000.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1806.88909215894,1999.03810567666,-1616.02540378444,2,6
