time_s,mean_T,mean_C,steps,iterations,cumulative_heat_per_2piL,cumulative_water_per_rhod_2piL,heat_balance_per_2piL,water_balance_per_rhod_2piL
51,28.570167434354158,1.1394601029802518,817,2451,16.575765052671365,-4.6929937425958384e-08,-1.1675608396766179e-11,1.8685596447266619e-20
52,28.569597551900006,1.1392610165004495,833,2499,16.891975007107423,-4.7813611105086407e-08,-1.4851477686539383e-11,2.5061504608825356e-20
53,28.569028239043512,1.1390622142268501,849,2547,17.207852893085999,-4.8695920070662978e-08,-1.3127911951960058e-11,2.3744219483334659e-20
54,28.568459495215375,1.1388636957537397,865,2595,17.523399077483287,-4.9576866531776454e-08,-1.2016266454084601e-11,2.7723371820020999e-20
55,28.567891319846783,1.1386654606759736,881,2643,17.838613926737523,-5.0456452693730675e-08,-1.3390299286042406e-11,3.3852366568732658e-20
56,28.56732371236965,1.1384675085889919,897,2691,18.153497806849444,-5.1334680758051845e-08,-1.5730129004909443e-11,2.6147179162801205e-20
57,28.566756672216325,1.1382698390888113,913,2739,18.46805108338301,-5.2211552922495305e-08,-1.207449765172619e-11,2.8678351837213469e-20
58,28.566190198819797,1.1380724517720242,929,2787,18.782274121465775,-5.3087071381052366e-08,-1.1894814994084513e-11,3.1863824376155179e-20
59,28.565624291613602,1.1378753462357989,945,2835,19.096167285789619,-5.3961238323957021e-08,-8.6213432226589504e-12,3.8281091568341568e-20
60,28.565058950031748,1.1376785220778798,961,2883,19.409730940611219,-5.4834055937692797e-08,-7.689567732560576e-12,4.6760520027622654e-20
61,28.56449417350894,1.1374819788965833,977,2931,19.722965449752625,-5.5705526404999444e-08,-8.5564576257635139e-12,5.5175014808818328e-20
62,28.563929961480447,1.1372857162908026,993,2979,20.03587117660183,-5.6575651904879733e-08,-1.0416997126005967e-11,4.68002246970252e-20
63,28.563366313381987,1.1370897338600017,1009,3027,20.348448484113334,-5.7444434612606184e-08,-9.2606582124954429e-12,4.9687085034835266e-20
64,28.562803228649944,1.1368940312042142,1025,3075,20.660697734808732,-5.8311876699727737e-08,-8.7964531492179532e-12,5.4193978602330438e-20
65,28.562240706721273,1.1366986079240498,1041,3123,20.97261929077716,-5.9177980334076487e-08,-9.8869558373682054e-12,6.0654259186369584e-20
66,28.561678747033358,1.1365034636206839,1057,3171,21.284213513675965,-6.0042747679774433e-08,-1.0264653710345684e-11,5.4789135053062341e-20
67,28.561117349024293,1.1363085978958616,1073,3219,21.595480764731239,-6.0906180897240078e-08,-1.0945733902589794e-11,5.6530350242486464e-20
68,28.560556512132695,1.1361140103518992,1089,3267,21.90642140473836,-6.1768282143195133e-08,-7.2702087405840388e-12,5.7443557638745007e-20
69,28.559996235797691,1.1359197005916797,1105,3315,22.217035794062564,-6.2629053570671182e-08,-7.4642896030763239e-12,5.6467070925626158e-20
70,28.559436519459002,1.1357256682186521,1121,3363,22.527324292639456,-6.3488497329016352e-08,-7.5756727280218428e-12,6.0418099121485694e-20
71,28.558877362556991,1.1355319128368295,1137,3411,22.83728725997566,-6.4346615563901855e-08,-5.6154074445924351e-12,5.9444507540510781e-20
