run,variant,cases,full_clear,mean_time_s,mean_distance_m,mean_measures,clear_failures,max_local_planning_s
R003-final,baseline,76,76,6155.976984320549,25630.937553181688,168.4078947368421,744,0.0008815999972284772
R003-final,improved,76,76,4105.6860457628345,17162.96970249838,103.71052631578948,0,0.11930179999762913
R004-holdout,baseline,100,100,6231.545876324165,25988.979381620826,169.74,930,0.0007504000022890978
R004-holdout,improved,100,100,4069.540764694509,16906.753823472543,106.66,0,0.13095769999927143
