r_m,T_C,T0_C
0,10.301605803085948,33.575344821417033
1.5625000000000001e-06,10.301605807132317,33.575344840609176
3.1250000000000001e-06,10.301605819271575,33.575344898185492
4.6875000000000004e-06,10.30160583950355,33.575344994146008
6.2500000000000003e-06,10.301605867828425,33.575345128490561
7.8125000000000002e-06,10.301605904246141,33.57534530121935
9.3750000000000009e-06,10.301605948756624,33.575345512332454
1.09375e-05,10.301606001360003,33.57534576182961
1.2500000000000001e-05,10.301606062056182,33.575346049710909
1.4062500000000001e-05,10.301606130845199,33.575346375976551
1.5625e-05,10.301606207727062,33.575346740626166
1.7187500000000001e-05,10.301606292701752,33.575347143660053
1.8750000000000002e-05,10.301606385769372,33.575347585078205
2.0312500000000002e-05,10.301606486929751,33.575348064880487
2.1875e-05,10.301606596183076,33.575348583066905
2.34375e-05,10.301606713529219,33.575349139637488
2.5000000000000001e-05,10.301606838968306,33.575349734592237
2.6562500000000002e-05,10.301606972500265,33.575350367931101
2.8125000000000003e-05,10.301607114125122,33.5753510396544
2.96875e-05,10.301607263842946,33.575351749761609
3.1250000000000001e-05,10.301607421653644,33.575352498253181
3.2812500000000005e-05,10.301607587557314,33.575353285128934
3.4375000000000002e-05,10.301607761553933,33.575354110388943
3.5937499999999999e-05,10.301607943643477,33.57535497403299
3.7500000000000003e-05,10.301608133826075,33.575355876061195
3.9062500000000001e-05,10.30160833210166,33.575356816473672
4.0625000000000005e-05,10.301608538470207,33.575357795270364
4.2187500000000002e-05,10.301608752931822,33.57535881245105
4.375e-05,10.30160897548644,33.575359868016115
4.5312500000000004e-05,10.301609206134149,33.575360961965266
4.6875000000000001e-05,10.301609444874918,33.575362094298796
4.8437500000000005e-05,10.301609691708785,33.575363265016342
5.0000000000000002e-05,10.301609946635763,33.575364474118139
5.15625e-05,10.301610209655918,33.575365721604072
5.3125000000000004e-05,10.301610480769174,33.575367007474192
5.4687500000000001e-05,10.301610759975624,33.575368331728697
5.6250000000000005e-05,10.301611047275264,33.575369694367161
5.7812500000000003e-05,10.301611342668105,33.575371095389947
5.9375e-05,10.301611646154248,33.575372534796855
6.0937500000000004e-05,10.301611957733634,33.575374012587986
6.2500000000000001e-05,10.30161227740629,33.575375528763388
6.4062500000000005e-05,10.301612605172263,33.575377083323012
6.5625000000000009e-05,10.301612941031548,33.575378676266659
6.71875e-05,10.301613284984235,33.575380307594578
6.8750000000000004e-05,10.301613637030277,33.575381977306712
7.0312500000000008e-05,10.301613997169749,33.57538368540321
7.1874999999999999e-05,10.301614365402667,33.575385431883767
7.3437500000000003e-05,10.301614741729033,33.575387216748446
7.5000000000000007e-05,10.301615126148921,33.575389039997475
7.6562499999999998e-05,10.301615518662322,33.575390901630726
7.8125000000000002e-05,10.301615919269336,33.575392801647979
7.9687500000000006e-05,10.301616327969864,33.575394740049632
8.125000000000001e-05,10.301616744764063,33.575396716835343
8.28125e-05,10.3016171696519,33.575398732005567
8.4375000000000004e-05,10.301617602633403,33.575400785559808
8.5937500000000009e-05,10.301618043708658,33.575402877498249
8.7499999999999999e-05,10.301618492877607,33.575405007820969
8.9062500000000003e-05,10.301618950140425,33.57540717652779
9.0625000000000007e-05,10.301619415496996,33.575409383618897
9.2187499999999998e-05,10.30161988894748,33.575411629094312
9.3750000000000002e-05,10.30162037049182,33.575413912953842
9.5312500000000006e-05,10.301620860130056,33.575416235197622
9.687500000000001e-05,10.301621357862317,33.575418595825795
9.8437500000000001e-05,10.301621863688576,33.575420994837962
0.0001,10.301622377608814,33.575423432234544
0.00010156250000000001,10.30162289962322,33.575425908015205
0.000103125,10.301623429731693,33.57542842218016
0.0001046875,10.301623967934335,33.575430974729443
0.00010625000000000001,10.30162451423122,33.575433565662827
0.00010781250000000001,10.301625068622313,33.575436194980561
0.000109375,10.301625631107704,33.575438862682439
0.00011093750000000001,10.301626201687395,33.575441568768618
0.00011250000000000001,10.301626780361495,33.575444313239046
0.0001140625,10.30162736713004,33.575447096093711
0.00011562500000000001,10.301627961993022,33.575449917332648
0.00011718750000000001,10.301628564950468,33.575452776955828
0.00011875,10.301629176002541,33.575455674963223
0.0001203125,10.301629795149164,33.575458611354968
0.00012187500000000001,10.301630422390444,33.575461586130878
0.00012343750000000001,10.301631057726432,33.57546459929106
0.000125,10.30163170115714,33.575467650835606
0.00012656249999999999,10.301632352682674,33.575470740764352
0.00012812500000000001,10.301633012303043,33.575473869077257
0.0001296875,10.301633680018284,33.575477035774576
0.00013125000000000002,10.301634355828476,33.575480240856272
0.00013281250000000001,10.301635039733634,33.575483484322135
0.000134375,10.301635731733922,33.575486766172077
0.00013593750000000002,10.301636431829248,33.575490086406475
0.00013750000000000001,10.301637140019768,33.575493445025046
0.0001390625,10.301637856305431,33.57549684202813
0.00014062500000000002,10.301638580686395,33.575500277415237
0.00014218750000000001,10.301639313162694,33.575503751186808
0.00014375,10.3016400537343,33.575507263342566
0.00014531250000000002,10.301640802401424,33.575510813882694
0.00014687500000000001,10.301641559164,33.575514402807173
0.0001484375,10.301642324022112,33.575518030115703
0.00015000000000000001,10.30164309697583,33.57552169580876
0.0001515625,10.301643878025168,33.575525399886047
0.000153125,10.301644667170297,33.575529142347555
0.00015468750000000001,10.301645464411202,33.575532923193421
0.00015625,10.301646269747906,33.575536742423751
0.00015781250000000002,10.301647083180567,33.575540600038231
0.00015937500000000001,10.301647904709112,33.57554449603704
0.0001609375,10.301648734333758,33.575548430420206
0.00016250000000000002,10.30164957205449,33.575552403187714
0.00016406250000000001,10.30165041787134,33.575556414339502
0.000165625,10.30165127178442,33.57556046387564
0.00016718750000000002,10.301652133793837,33.575564551795992
0.00016875000000000001,10.301653003899554,33.575568678100794
0.0001703125,10.301653882101672,33.575572842789875
0.00017187500000000002,10.301654768400292,33.575577045863405
0.00017343750000000001,10.301655662795486,33.575581287321263
0.000175,10.30165656528726,33.57558556716328
0.00017656250000000002,10.301657475875791,33.575589885389761
0.00017812500000000001,10.30165839456102,33.57559424200069
0.0001796875,10.301659321343115,33.575598636995949
0.00018125000000000001,10.301660256222053,33.575603070375401
0.00018281250000000001,10.301661199197993,33.575607542139103
0.000184375,10.301662150270982,33.575612052287447
0.00018593750000000001,10.301663109441089,33.575616600820027
0.0001875,10.301664076708372,33.575621187737006
0.00018906250000000002,10.301665052072899,33.575625813038364
0.00019062500000000001,10.301666035534764,33.575630476724164
0.0001921875,10.301667027094082,33.575635178794307
0.00019375000000000002,10.301668026750855,33.575639919248765
0.00019531250000000001,10.301669034505178,33.575644698087522
0.000196875,10.301670050357192,33.575649515310843
0.00019843750000000002,10.301671074306856,33.575654370918414
0.00020000000000000001,10.301672106354379,33.575659264910577
0.0002015625,10.301673146499741,33.575664197287033
0.00020312500000000002,10.301674194743072,33.57566916804786
0.00020468750000000001,10.301675251084404,33.575674177193193
0.00020625,10.301676315523867,33.575679224722947
0.00020781250000000002,10.301677388061547,33.575684310637044
0.00020937500000000001,10.301678468697464,33.575689434935519
0.0002109375,10.301679557431791,33.575694597618309
0.00021250000000000002,10.301680654264509,33.575699798685633
0.00021406250000000001,10.301681759195763,33.575705038137492
0.00021562500000000002,10.301682872225646,33.575710315973716
0.00021718750000000001,10.301683993354251,33.575715632194388
0.00021875,10.30168512258156,33.575720986799482
0.00022031250000000002,10.301686259907749,33.575726379789046
0.00022187500000000001,10.301687405332963,33.575731811162981
0.0002234375,10.301688558857187,33.575737280921345
0.00022500000000000002,10.30168972048056,33.575742789064257
0.00022656250000000001,10.301690890203046,33.575748335591612
0.000228125,10.301692068024961,33.575753920503402
0.00022968750000000002,10.301693253946224,33.575759543799663
0.00023125000000000001,10.301694447966936,33.575765205480423
0.0002328125,10.301695650087277,33.575770905545568
0.00023437500000000002,10.301696860307292,33.575776643995312
0.00023593750000000001,10.30169807862703,33.575782420829427
0.0002375,10.30169930504662,33.575788236048119
0.00023906250000000002,10.301700539566175,33.575794089651218
0.00024062500000000001,10.301701782185766,33.575799981638852
0.0002421875,10.301703032905491,33.575805912010964
0.00024375000000000002,10.301704291725439,33.575811880767588
0.00024531250000000003,10.301705558645748,33.575817887908705
0.00024687500000000002,10.301706833666442,33.575823933434371
0.00024843750000000001,10.301708116787669,33.575830017344472
0.00025000000000000001,10.301709408009513,33.575836139639101
0.0002515625,10.301710707332125,33.575842300318314
0.00025312499999999999,10.301712014755498,33.575848499382111
0.00025468750000000003,10.301713330279791,33.575854736830493
0.00025625000000000002,10.301714653905117,33.575861012663154
0.00025781250000000001,10.301715985631564,33.57586732688037
0.000259375,10.301717325459176,33.575873679482285
0.00026093749999999999,10.30171867338816,33.575880070468699
0.00026250000000000004,10.301720029418579,33.575886499839633
0.00026406250000000003,10.301721393550478,33.575892967595102
0.00026562500000000002,10.301722765784055,33.575899473735227
0.00026718750000000001,10.301724146119335,33.575906018259737
0.00026875,10.301725534556468,33.575912601168994
0.00027031249999999999,10.301726931095519,33.575919222462893
0.00027187500000000004,10.301728335736673,33.575925882141327
0.00027343750000000003,10.301729748479973,33.575932580204132
0.00027500000000000002,10.301731169325512,33.575939316651748
