x,y,J,P_finish,P_onsite,P_H,P_N,P_normal,P_finish_N,P_finish_normal,probability_residual,mec_gap,angle_calls,root_count,depth_capped,distance_K1,x_global,y_global,level,scan
683.76940401012,11.8479773107384,253.694083667368,0.0336914859910043,0.00152301567049265,0.00152008349635652,0.0,0.99847992076442,0.0,0.0321714024946478,4.26077639836819e-09,9.11893494048854e-09,3570.0,6.0,0.0,0.0,1188.15202268926,683.76940401012,5,64
-1500.0,-1600.0,678.875089804954,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.55431223447522e-15,1.13686837721616e-13,12.0,0.0,0.0,2196.52987162122,2800.0,-1500.0,2,6
-1500.0,-1500.0,678.875089804954,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.55431223447522e-15,1.13686837721616e-13,12.0,0.0,0.0,2124.79667952743,2700.0,-1500.0,2,6
-1500.0,-1400.0,678.875089804954,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.55431223447522e-15,1.13686837721616e-13,12.0,0.0,0.0,2055.42656928853,2600.0,-1500.0,2,6
-1500.0,-1300.0,678.875089804954,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.55431223447522e-15,1.13686837721616e-13,12.0,0.0,0.0,1988.66684845493,2500.0,-1500.0,2,6
-1500.0,-1200.0,678.875089804954,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.55431223447522e-15,1.13686837721616e-13,12.0,0.0,0.0,1924.78915379064,2400.0,-1500.0,2,6
-1500.0,-1100.0,678.875089804954,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.55431223447522e-15,1.13686837721616e-13,12.0,0.0,0.0,1864.08978833009,2300.0,-1500.0,2,6
-1500.0,-1000.0,678.875089804954,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.55431223447522e-15,1.13686837721616e-13,12.0,0.0,0.0,1806.88909215894,2200.0,-1500.0,2,6
-1500.0,-900.0,678.875089804954,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.55431223447522e-15,1.13686837721616e-13,12.0,0.0,0.0,1753.52948186491,2100.0,-1500.0,2,6
-1500.0,-800.0,678.875089804954,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.55431223447522e-15,1.13686837721616e-13,12.0,0.0,0.0,1704.37175996783,2000.0,-1500.0,2,6
-1500.0,-700.0,678.875089804954,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.55431223447522e-15,1.13686837721616e-13,12.0,0.0,0.0,1659.78930849138,1900.0,-1500.0,2,6
