disk_sides,epsilon_deg,reading_bin_deg,radius_upper_m,candidate_still_valid
180,1.0,0.2,126.94283176395706,True
360,1.0,0.2,126.90738397397303,True
720,1.0,0.2,126.90738397397303,True
360,1.0,0.5,132.5134217849251,True
360,1.0,0.1,125.65259792924742,True
360,1.0,0.05,124.45957875751367,True
360,1.005,0.05,124.66243528588146,True
360,0.5,0.05,68.76122946254473,True
360,1.5,0.05,171.64319127178695,True
