theta,pdf,radius_upper,radius_lower,center_x,center_y
3.69058132437493,1.26494034887656e-08,0.00413609950781378,0.00413609950781341,5.00280205404528,0.0851655866929807
3.69058802205271,1.13884692262465e-07,0.0124147770132952,0.0124147770132952,5.0099235568524,0.0809691449264241
3.69059471973049,3.16457825947341e-07,0.020702116046034,0.020702116046034,5.01703750159033,0.0767679560325347
3.69060141740827,6.20476148951723e-07,0.0289981450574962,0.0289981450574962,5.02414386435685,0.0725620045967658
3.69060811508605,1.02604735269966e-06,0.0373028927332749,0.0373028927332745,5.03124262105341,0.0683512750782993
3.69061481276383,1.53327947846439e-06,0.0456163879947844,0.045616387994784,5.03833374738248,0.0641357518091054
3.69062151044161,2.14228092026317e-06,0.0539386600020983,0.053938660002098,5.04541721884566,0.0599154189924219
3.69062820811939,2.85316042776706e-06,0.0622697381563777,0.0622697381563777,5.05249301074155,0.0556902607014459
3.69063490579717,3.66602710923796e-06,0.0706096521023743,0.070609652102374,5.05956109816343,0.0514602608779765
3.69064160347494,4.58099043452269e-06,0.0789584317312275,0.0789584317312275,5.06662145599734,0.0472254033309146
3.69064830115272,5.59816023814557e-06,0.0873161071837199,0.0873161071837199,5.07367405892025,0.0429856717345281
3.6906549988305,6.71764672200388e-06,0.0956827088501701,0.0956827088501697,5.08071888139558,0.0387410496284172
3.69066169650828,7.93956045895307e-06,0.104058267377342,0.104058267377341,5.08775589767433,0.0344915204139287
3.69066839418606,9.26401239554166e-06,0.11244281366816,0.11244281366816,5.09478508179026,0.0302370673541995
3.69067509186384,1.0691113855301e-05,0.120836378885662,0.120836378885662,5.1018064075585,0.0259776735720778
3.69068178954162,1.22209765418785e-05,0.129238994455539,0.129238994455539,5.10881984857288,0.0217133220487333
3.6906884872194,1.38537125422201e-05,0.137650692068907,0.137650692068907,5.11582537820345,0.017443995622161
3.69069518489718,1.55894343299481e-05,0.146071503685895,0.146071503685895,5.12282296959455,0.0131696769852667
3.69070188257496,1.74282547684357e-05,0.154501461537565,0.154501461537565,5.12981259566144,0.00889034868480314
3.69070858025274,1.93702871142685e-05,0.162940598129667,0.162940598129667,5.13679422908841,0.00460599311936116
3.69158124487873,0.000331984014682503,1.06015274236569,1.06015274236569,6.05411128871543,0.0184128734407652
