x,y,expected_radius,worst_lower,worst_upper,normal_lower,no_signal_radius,P_N,worst_calls
902,481.9294006882276,25.32647257644032,54.36649172390975,54.36806974645224,54.36649172390975,10.52391944400337,5.7172376735186e-06,475
898.0000000000001,482.7820145990307,25.32642859968107,54.61299167948879,54.61458314824262,54.61299167948879,8.741587432617861,3.548915783405713e-06,475
892,484.7109302413246,25.32645126076256,54.94974945453698,54.95135988312703,54.94974945453698,6.250910472772394,1.530743393269865e-06,471
888,486.4620656018277,25.32643407075667,55.15021160055923,55.15183376723855,55.15021160055923,4.722765593480129,7.736305314612118e-07,471
882,489.8058093422102,25.32649111917438,55.41345879821392,55.41509712884161,55.41345879821392,2.638332558034352,1.979324304227574e-07,471
878.0000000000001,492.5754310756584,25.32644248652388,55.56075379216163,55.56240179073315,55.56075379216163,1.408519725762671,4.847104444994921e-08,471
874,495.7946720700009,25.326447333909,55.68477557862865,55.68643230877309,55.68477557862865,0.3220922120715442,1.793848797995877e-09,471
870,499.5193024953625,25.32646029197527,55.7830059246902,55.7846703328696,55.7830059246902,0,0,471
867.6209852856299,502,25.32647049860531,55.82810755008308,55.82977597340692,55.82810755008308,0,0,467
864,506.209560624785,25.32645893290691,55.8754223450408,55.87709598726625,55.8754223450408,0,0,467
860,511.5530269619315,25.32643830326047,55.89445865576367,55.89613665666882,55.89445865576367,0,0,467
858,514.5393718546593,25.32644350593669,55.8893085270713,55.8909880801188,55.8893085270713,0,0,467
854.7144599323062,520,25.32644683857251,55.85570216917496,55.85738319081891,55.85570216917496,0,0,467
852,525.1388970359549,25.32645756213289,55.80028886886693,55.80196990891016,55.80028886886693,0,0,463
850,529.3895947503006,25.32644691442556,55.7395411864571,55.74122137788168,55.7395411864571,0,0,463
847.9999999999999,534.1255028112693,25.32645895037213,55.65855742126999,55.66023588507773,55.65855742126999,0,0,459
846,539.5125550678117,25.32644272412584,55.55093572468585,55.55261130730486,55.55093572468585,0,0,459
844,545.778666432029,25.32645805588853,55.40830902757551,55.40998021208275,55.40830902757551,0.5788247568917395,6.513671104952201e-09,459
842.3427659255235,552,25.32644803128954,55.24988056376533,55.25154636804829,55.24988056376533,1.803303261790997,7.957919066153762e-08,459
841.4380588075635,556,25.32644069698805,55.14018581218326,55.1418476810531,55.14018581218326,2.692207594039769,1.960262134683432e-07,459
840,563.8586534705147,25.32648230139269,54.90909039359527,54.91079517766261,54.90909039359527,4.653007422547197,7.001812021979011e-07,479
839.4287157383449,568,25.3264442068891,54.77884043581219,54.78057326378072,54.77884043581219,5.803547916529278,1.190957748193088e-06,483
838.65137918379,576,25.32644730699431,54.51367573466807,54.51545569432731,54.51367573466807,8.236535839141718,2.825208999669279e-06,491
838.3079510301291,584,25.32645811553492,54.23097480466587,54.23280139296763,54.23097480466587,10.95002098393399,5.821048732234693e-06,503
838.3360276366684,590,25.32644941653806,54.00780592973581,54.0096659410631,54.00780592973581,13.17055759632726,9.390062586772318e-06,503
838.7572823527763,598,25.32642189571249,53.69576876138171,53.69767123790516,53.69576876138171,16.38126878928726,1.666979159409837e-05,507
839.6212473685023,606,25.32643596483249,53.36758466229751,53.36952716955048,53.36758466229751,19.88127714471587,2.795425263320315e-05,507
840.2277208189723,610,25.32645033224927,53.19714662449695,53.19910821711436,53.19714662449695,21.7446094583024,3.558585513735734e-05,515
841.8141306050754,618,25.3264857487207,52.84259716850417,52.84459502633899,52.84259716850417,25.71149476779656,5.608530029335861e-05,515
842.8162795535202,622,25.3264518252172,52.65738113575326,52.65909031399649,52.65738113575326,27.82679580155767,6.961393844734566e-05,519
844.5932462444812,628,25.32642670557514,52.36925097729429,52.37095951146939,52.36925097729429,31.17165868902188,9.507907193206382e-05,519
846.7413527693502,634.0000000000001,25.3264200141602,52.0666881627567,52.06839500720345,52.0666881627567,34.74525383029931,0.0001282961497977265,519
