x,y,J,J_lower,P_H,P_N,P_A,P_loc,E_radius_loss,safe_margin,angle_calls
800,450,2574.72643247144,2574.72643247144,0,0,1.00000000382983,0,26.3721853592559,86.4329503163347,558
800,455,2558.93600619779,2558.93600619779,0,0,0.999999999666352,0,26.3186944462141,83.9592657048277,558
800,460,2543.83228663874,2543.83228663874,0,0,0.999999997518322,0,26.2679022237069,81.4650254299729,558
800,465,2529.38856577193,2529.38856577193,0,0,0.99999999135378,0,26.2197212263304,78.9503964885049,558
800,470,2515.57959097526,2515.57959097526,0,0,1.00000001384304,0,26.1740687778296,76.4155454161195,558
800,475,2502.38120931526,2502.38120931526,0,0,0.999999999500333,0,26.1308633494342,73.8606382572189,558
800,480,2489.77106970683,2489.77106970683,0,0,0.999999998852792,0,26.0900332547486,71.2858405356103,558
800,485,2477.72791289531,2477.72791289531,0,0,0.999999994539712,0,26.0515091178465,68.6913172261467,558
800,490,2466.23035612376,2466.23035612376,0,0,0.999999992670593,0,26.0152130839412,66.0772327273033,558
800,495,2455.25884564465,2455.25884564464,0,0,1.00000001125168,0,25.9810782944215,63.4437508346798,558
800,500,2444.79465752773,2444.79465752773,0,0,1.00000000606376,0,25.9490390966483,60.7910347154179,558
800,505,2434.82008691274,2434.82008691273,0,0,0.999999994693193,0,25.9190340100789,58.1192468835255,594
800,510,2425.31827216633,2425.31827216633,0,0,0.999999995832337,0,25.8910040421235,55.4285491760938,594
800,515,2416.27308315754,2416.27308315753,0,0,0.999999992613692,0,25.8648917019132,52.7191027303987,594
800,520,2407.66921128456,2407.66921128455,0,0,1.00000000306684,0,25.8406426221085,49.991067961873,594
800,525,2399.49199714742,2399.49199714742,0,0,1.00000001458923,0,25.8182037996903,47.2446045429369,594
800,530,2391.72742368412,2391.72742368411,0,0,0.99999999674044,0,25.797523858932,44.4798713826765,558
800,535,2384.36225348749,2384.36225348749,0,0,0.999999996247778,0,25.7785552479922,41.697026607353,558
800,540,2377.38373152383,2377.38373152382,0,0,0.999999996986045,0,25.7612507242951,38.8962275417341,558
800,545,2370.77968958866,2370.77968958865,0,0,0.999999992234227,0,25.7455650407335,36.0776306912303,558
800,550,2364.53855777365,2364.53855777364,0,0,1.00000000678505,0,25.7314554050703,33.2413917248247,558
800,555,2358.6491590942,2358.64915909419,0,0,1.00000000324074,0,25.7188791053688,30.3876654587795,558
800,560,2353.1009087702,2353.1009087702,0,0,1.00000000136656,0,25.7077963655122,27.5166058411087,558
800,565,2347.88364907566,2347.88364907566,0,0,1.00000000380613,0,25.6981684561575,24.6283659367987,558
800,570,2342.9876317991,2342.98763179909,0,0,1.00000000006726,0,25.6899577167458,21.7230979137648,558
