time_s,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_20
12,2.5500000000000003,2.5499999999999998,2.5499999999999998,2.5499999999999989,2.5500000000000012,2.5500000000000016,2.5500000000000007,2.5499999999999994,2.5499999999999998,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999999963,2.5500000000000003,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.5499999998473588,2.5498481943461098,2.4401468828250441
13,2.5500000000000003,2.5499999999999998,2.5499999999999998,2.5499999999999989,2.5500000000000012,2.5500000000000016,2.5500000000000007,2.5499999999999994,2.5499999999999998,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999999963,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999993759266,2.5497675525294512,2.435775383013024
14,2.5500000000000003,2.5499999999999998,2.5499999999999998,2.5499999999999989,2.5500000000000012,2.5500000000000016,2.5500000000000007,2.5499999999999994,2.5499999999999998,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999999963,2.5499999999999994,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.5499999978973276,2.5496630151867272,2.4315773440381667
15,2.5500000000000003,2.5499999999999998,2.5499999999999998,2.5499999999999989,2.5500000000000012,2.5500000000000016,2.5500000000000007,2.5499999999999994,2.5499999999999998,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999999963,2.5500000000000003,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.5499999939350242,2.549532605521482,2.4275344583980689
16,2.5500000000000003,2.5499999999999998,2.5499999999999998,2.5499999999999989,2.5500000000000012,2.5500000000000016,2.5500000000000007,2.5499999999999994,2.5499999999999998,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999999963,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.549999984588351,2.5493748597462687,2.4236314268292296
17,2.5500000000000003,2.5499999999999998,2.5499999999999998,2.5499999999999989,2.5500000000000012,2.5500000000000016,2.5500000000000007,2.5499999999999994,2.5499999999999998,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999999963,2.5499999999999994,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.549999964732717,2.5491887798958248,2.4198553087182533
18,2.5500000000000003,2.5499999999999998,2.5499999999999998,2.5499999999999989,2.5500000000000012,2.5500000000000016,2.5500000000000007,2.5499999999999994,2.5499999999999998,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999999963,2.5500000000000003,2.5499999999999994,2.5499999999999998,2.5499999999999909,2.5499999260668447,2.5489737753750168,2.4161950424457026
19,2.5500000000000003,2.5499999999999998,2.5499999999999998,2.5499999999999989,2.5500000000000012,2.5500000000000016,2.5500000000000007,2.5499999999999994,2.5499999999999998,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999999963,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999061,2.5499998560729025,2.5487296018372803,2.4126410842959496
20,2.5500000000000003,2.5499999999999998,2.5499999999999998,2.5499999999999989,2.5500000000000012,2.5500000000000016,2.5500000000000007,2.5499999999999994,2.5499999999999998,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999999963,2.5499999999999994,2.5499999999999994,2.5499999999999998,2.5499999999996041,2.5499997369680596,2.5484563024659193,2.4091851319661757
21,2.5500000000000003,2.5499999999999998,2.5499999999999998,2.5499999999999989,2.5500000000000012,2.5500000000000016,2.5500000000000007,2.5499999999999994,2.5499999999999998,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999999963,2.5500000000000003,2.5499999999999994,2.5499999999999998,2.5499999999987013,2.5499995447251833,2.5481541543472597,2.4058199096415254
