x,y
800,400
806,400
812,400
818,400
824,400
830,400
836,400
842,400
848,400
854,400
860,400
866,400
872,400
878,400
884,400
890,400
896,400
902,400
908,400
914,400
920,400
926,400
932,400
938,400
944,400
950,400
956,400
962,400
968,400
974,400
980,400
986,400
992,400
998,400
1004,400
1010,400
1016,400
1022,400
1028,400
1034,400
1040,400
804,402
810,402
816,402
822,402
828,402
834,402
840,402
846,402
852,402
858,402
864,402
870,402
876,402
882,402
888,402
894,402
900,402
906,402
912,402
918,402
924,402
930,402
936,402
942,402
948,402
954,402
960,402
966,402
972,402
978,402
984,402
990,402
996,402
1002,402
1008,402
1014,402
1020,402
1026,402
1032,402
1038,402
802,404
808,404
814,404
820,404
826,404
832,404
838,404
844,404
850,404
856,404
862,404
868,404
874,404
880,404
886,404
892,404
898,404
904,404
910,404
916,404
922,404
928,404
934,404
940,404
946,404
952,404
958,404
964,404
970,404
976,404
982,404
988,404
994,404
1000,404
1006,404
1012,404
1018,404
1024,404
1030,404
1036,404
800,406
806,406
812,406
818,406
824,406
830,406
836,406
842,406
848,406
854,406
860,406
866,406
872,406
878,406
884,406
890,406
896,406
902,406
908,406
914,406
920,406
926,406
932,406
938,406
944,406
950,406
956,406
962,406
968,406
974,406
980,406
986,406
992,406
998,406
1004,406
1010,406
1016,406
1022,406
1028,406
1034,406
1040,406
804,408
810,408
816,408
822,408
828,408
834,408
840,408
846,408
852,408
858,408
864,408
870,408
876,408
882,408
888,408
894,408
900,408
906,408
912,408
918,408
924,408
930,408
936,408
942,408
948,408
954,408
960,408
966,408
972,408
978,408
984,408
990,408
996,408
1002,408
1008,408
1014,408
1020,408
1026,408
1032,408
1038,408
802,410
808,410
814,410
820,410
826,410
832,410
838,410
844,410
850,410
856,410
862,410
868,410
874,410
880,410
886,410
892,410
898,410
904,410
910,410
916,410
922,410
928,410
934,410
940,410
946,410
952,410
958,410
964,410
970,410
976,410
982,410
988,410
994,410
1000,410
1006,410
1012,410
1018,410
1024,410
1030,410
1036,410
800,412
806,412
812,412
818,412
824,412
830,412
836,412
842,412
848,412
854,412
860,412
866,412
872,412
878,412
884,412
890,412
896,412
902,412
908,412
914,412
920,412
926,412
932,412
938,412
944,412
950,412
956,412
962,412
968,412
974,412
980,412
986,412
992,412
998,412
1004,412
1010,412
1016,412
1022,412
1028,412
1034,412
1040,412
804,414
810,414
816,414
822,414
828,414
834,414
840,414
846,414
852,414
858,414
864,414
870,414
876,414
882,414
888,414
894,414
900,414
906,414
912,414
918,414
924,414
930,414
936,414
942,414
948,414
954,414
960,414
966,414
972,414
978,414
984,414
990,414
996,414
1002,414
1008,414
1014,414
1020,414
1026,414
1032,414
1038,414
802,416
808,416
814,416
820,416
826,416
832,416
838,416
844,416
850,416
856,416
862,416
868,416
874,416
880,416
886,416
892,416
898,416
904,416
910,416
916,416
922,416
928,416
934,416
940,416
946,416
952,416
958,416
964,416
970,416
976,416
982,416
988,416
994,416
1000,416
1006,416
1012,416
1018,416
1024,416
1030,416
1036,416
800,418
806,418
812,418
818,418
824,418
830,418
836,418
842,418
848,418
854,418
860,418
866,418
872,418
878,418
884,418
890,418
896,418
902,418
908,418
914,418
920,418
926,418
932,418
938,418
944,418
950,418
956,418
962,418
968,418
974,418
980,418
986,418
992,418
998,418
1004,418
1010,418
1016,418
1022,418
1028,418
1034,418
1040,418
804,420
810,420
816,420
822,420
828,420
834,420
840,420
846,420
852,420
858,420
864,420
870,420
876,420
882,420
888,420
894,420
900,420
906,420
912,420
918,420
924,420
930,420
936,420
942,420
948,420
954,420
960,420
966,420
972,420
978,420
984,420
990,420
996,420
1002,420
1008,420
1014,420
1020,420
1026,420
1032,420
1038,420
802,422
808,422
814,422
820,422
826,422
832,422
838,422
844,422
850,422
856,422
862,422
868,422
874,422
880,422
886,422
892,422
898,422
904,422
910,422
916,422
922,422
928,422
934,422
940,422
946,422
952,422
958,422
964,422
970,422
976,422
982,422
988,422
994,422
1000,422
1006,422
1012,422
1018,422
1024,422
1030,422
1036,422
800,424
806,424
812,424
818,424
824,424
830,424
836,424
842,424
848,424
