time_s,j_water_kg_m2_s,T_surface_C,latent_W_m2,convective_W_m2,mean_T_C,mean_T0_C,cum_conv_J,cum_latent_J,energy_balance_J,max_linear_backward_error,max_scaled_residual
25,0.00043856912620862887,21.543425737900929,1074.4251008138142,166.91435655247676,26.848894424402513,28.002961055824588,89.447287750286335,860.44347533375696,1.4576119304231939e-09,1.6428841111298812e-16,1.1061278322108099e-14
26,0.00043801450594699038,21.432291782077566,1073.1817362927432,169.91270544806082,26.806428103768042,28.003197305623832,94.738337821714481,894.17793841965863,1.5896912758778406e-09,1.6428841111298812e-16,1.1061278322108099e-14
27,0.00043747118504447306,21.323873045744872,1071.9629520515107,172.84317385637823,26.764158548365035,28.003442309314696,100.12250716294685,927.87372987224023,1.7254385946400617e-09,1.6428841111298812e-16,1.1061278322108099e-14
28,0.00043693854010202782,21.218018293224322,1070.7673961907094,175.70954266939191,26.722081543657801,28.003696039386789,105.59772357291776,961.53160033416486,1.857138852387331e-09,1.6428841111298812e-16,1.1061278322108099e-14
29,0.00043641600294099967,21.114589717232288,1069.5938364650694,178.51525706919276,26.680193104949691,28.003958468911794,111.16202824322943,995.15225989710552,1.9891197527536216e-09,1.6428841111298812e-16,1.1061278322108099e-14
30,0.00043590305399009323,21.013461328992051,1068.4411459591656,181.26346677519871,26.638489457340174,28.004229571511967,116.81356586100972,1028.7363816296286,2.1218167997192655e-09,1.6428841111298812e-16,1.1061278322108099e-14
31,0.00043539921665692634,20.914517588190716,1067.3082908953729,183.95706029523211,26.596967018043628,28.00450932133208,122.55057587888972,1062.2846046896714,2.2530202977957062e-09,1.6428841111298812e-16,1.1061278322108099e-14
32,0.00043490405251074397,20.81765223051044,1066.1943201985439,186.59869423723902,26.555622380724312,28.004797693012431,128.37138478096486,1095.7975370824581,2.382480602795198e-09,1.6428841111298812e-16,1.1061278322108099e-14
33,0.0004344171802660113,20.722767203718046,1065.0984132798703,189.19081990704879,26.514452300001803,28.005094661662973,134.27439910556328,1129.275759061431,2.1547660394446096e-09,1.6428841111298812e-16,1.1061278322108099e-14
34,0.00043393820080119347,20.629771927672483,1064.0196970953423,191.73570180818791,26.473453681243146,28.005400202847913,140.25809965993736,1162.7198241809006,1.931582914846634e-09,1.6428841111298812e-16,1.1061278322108099e-14
35,0.00043346676767019111,20.538582455796796,1062.9574199757296,194.23543860508002,26.432623569869428,28.005714292558199,146.32103561288923,1196.1302605498199,1.7054898615607702e-09,1.6428841111298812e-16,1.1061278322108099e-14
36,0.00043300255900717864,20.449120808911175,1061.9108835349512,196.69197977722055,26.391959140166428,28.006036907194378,152.46181968228146,1229.5075735141261,1.4789889020540637e-09,1.6428841111298812e-16,1.1061278322108099e-14
37,0.00043254527515295397,20.361314404671916,1060.8794375203249,199.10713988320214,26.351457686252381,28.006368023549701,158.67912367610725,1262.852247247981,1.2489611843155961e-09,1.6428841111298812e-16,1.1061278322108099e-14
38,0.00043209463656823546,20.275095550624908,1059.8624752907997,201.48261123437737,26.311116613902513,28.006707618792969,164.97167445702371,1296.1647461933997,1.0235329187654524e-09,1.6428841111298812e-16,1.1061278322108099e-14
39,0.00043165038199249244,20.190400996274871,1058.8594298278063,203.81997509312822,26.270933433133532,28.007055670453482,171.33825028133845,1329.4455163663952,7.9549328607084968e-10,1.6428841111298812e-16,1.1061278322108099e-14
40,0.00043121226681381398,20.10717153636784,1057.8697702034024,206.12071159080401,26.230905751458629,28.007412156406478,177.77767746920549,1362.6949865451707,5.6187916754930461e-10,1.6428841111298812e-16,1.1061278322108099e-14
41,0.00043078006162107073,20.025351658503663,1056.8929984433375,208.38620853740846,26.191031267736051,28.007777054859936,184.28882736857676,1395.913569353706,3.330810978498099e-10,1.6428841111298812e-16,1.1061278322108099e-14
42,0.00043035355091400844,19.944889229203731,1055.9286467322163,210.61776926990666,26.151307766548044,28.008150344342109,190.87061358046435,1429.1016622522943,1.0534421214083432e-10,1.6428841111298812e-16,1.1061278322108099e-14
43,0.00042993253195068581,19.865735213440189,1054.9762749161484,212.81661966399525,26.111733113050928,28.008532003689012,197.521989417323,1462.2596484450542,-1.2369399730474829e-10,1.6428841111298812e-16,1.1061278322108099e-14
44,0.0004295168137148994,19.787843423375755,1054.0354682653224,214.98391441560614,26.072305248248167,28.008922012034212,204.24194556998677,1495.3878977131644,-3.53821468082259e-10,1.6428841111298812e-16,1.1061278322108099e-14
45,0.0004291062159885491,19.711170292684074,1053.1058354638735,217.1207426828982,26.033022184641382,28.009320348797566,211.02950796168014,1528.4867671814504,-5.8440480327245942e-10,1.6428841111298812e-16,1.1061278322108099e-14
46,0.0004287005685163088,19.635674673339693,1052.1870067997177,219.22813316650763,25.993882002222833,28.009726993675741,217.88373577026582,1561.5566020250324,-8.16770962445417e-10,1.6428841111298812e-16,1.1061278322108099e-14
47,0.00042829971025152268,19.561317652205787,1051.2786325303239,221.3070586948553,25.954882844774861,28.010141926632798,224.80371960215587,1594.5977361219248,-1.0468818658475623e-09,1.6428841111298812e-16,1.1061278322108099e-14
48,0.00042790348867397193,19.488062385111391,1050.3803814041944,223.35844037221523,25.916022916446156,28.010565127891578,231.78857980326774,1627.6104926567932,-1.2741323682944905e-09,1.6428841111298812e-16,1.1061278322108099e-14
49,0.00042751175917123206,19.415873946425251,1049.4919393200951,225.38315133936865,25.877300478580565,28.010996577924761,238.83746489408779,1660.5951846804653,-1.5059901706338634e-09,1.6428841111298812e-16,1.1061278322108099e-14
50,0.00042712438447659349,19.344719192392429,1048.6130081088349,227.38202019018922,25.83871384677278,28.011436257447425,245.94955011736931,1693.5521156292848,-1.7390012366921027e-09,1.6428841111298812e-16,1.1061278322108099e-14
51,0.00042674123415728673,19.274566636727243,1047.7433044240213,229.35583408181887,25.800261388132881,28.011884147409763,253.12403608826119,1726.4815798079369,-1.9719847485892078e-09,1.6428841111298812e-16,1.1061278322108099e-14
52,0.00042636218414767802,19.205386337144564,1046.8825587302592,231.3053415713859,25.761941518737935,28.012340228988933,260.36014753776959,1759.3838628389901,-2.2048667635130209e-09,1.6428841111298812e-16,1.1061278322108099e-14
53,0.00042598711632262917,19.137149791678823,1046.0305143783555,233.23125520802944,25.723752701259158,28.01280448358327,267.65713214142289,1792.259242082037,-2.4355395625301951e-09,1.6428841111298812e-16,1.1061278322108099e-14
54,0.00042561591810698769,19.069829843776947,1045.1869267588309,235.13425390557634,25.685693442743073,28.013276892805614,275.01425942586064,1825.1079870250378,-2.670035065421187e-09,1.6428841111298812e-16,1.1061278322108099e-14
55,0.00042524848211737741,19.003400595275902,1044.3515625253924,237.01498511810249,25.647762292541277,28.013757438476791,282.43081974681178,1857.9303596501813,-2.8992910922544703e-09,1.6428841111298812e-16,1.1061278322108099e-14
56,0.00042488470583323441,18.937837326479013,1043.5241988817943,238.87406683802465,25.609957840369628,28.014246102619722,289.90612333258355,1890.7266147763764,-3.1303287223165362e-09,1.6428841111298812e-16,1.1061278322108099e-14
57,0.00042452449129415365,18.873116422635565,1042.7046229257112,240.71208943411085,25.572278714491976,28.014742867454615,297.43949938776564,1923.4970003802423,-3.3637133390909125e-09,1.6428841111298812e-16,1.1061278322108099e-14
58,0.00042416774482100677,18.80921530620887,1041.8926310441148,242.52961734477827,25.534723580013864,28.015247715392317,305.03029525236451,1956.2417578973061,-3.5919897980565301e-09,1.6428841111298812e-16,1.1061278322108099e-14
59,0.00042381437675861612,18.746112374384428,1041.0880283553688,244.32719064038926,25.497291137281778,28.015760629030634,312.6778756120458,1988.9611225049598,-3.8229125028515868e-09,1.6428841111298812e-16,1.1061278322108099e-14
