time_s,r_m,T_C,C_kg_kg
1800,0,33.575358924257486,2.5499924007672705
1800,1.5625000000000001e-06,33.575358943449551,2.5499924007609809
1800,3.1250000000000001e-06,33.575359001025753,2.5499924007421124
1800,4.6875000000000004e-06,33.575359096986091,2.5499924007106656
1800,6.2500000000000003e-06,33.575359231330552,2.5499924006666399
1800,7.8125000000000002e-06,33.575359404059157,2.5499924006100345
1800,9.3750000000000009e-06,33.575359615171898,2.5499924005408499
1800,1.09375e-05,33.575359864668776,2.5499924004590864
1800,1.2500000000000001e-05,33.575360152549784,2.5499924003647432
1800,1.4062500000000001e-05,33.575360478814936,2.5499924002578211
1800,1.5625e-05,33.575360843464217,2.549992400138319
1800,1.7187500000000001e-05,33.575361246497636,2.5499924000062371
1800,1.8750000000000002e-05,33.575361687915191,2.5499923998615746
1800,2.0312500000000002e-05,33.575362167716875,2.5499923997043314
1800,2.1875e-05,33.575362685902704,2.5499923995345073
1800,2.34375e-05,33.575363242472669,2.5499923993521021
1800,2.5000000000000001e-05,33.575363837426778,2.5499923991571145
1800,2.6562500000000002e-05,33.575364470765031,2.549992398949545
1800,2.8125000000000003e-05,33.575365142487421,2.5499923987293927
1800,2.96875e-05,33.575365852593947,2.549992398496657
1800,3.1250000000000001e-05,33.575366601084617,2.5499923982513373
1800,3.2812500000000005e-05,33.575367387959432,2.5499923979934334
1800,3.4375000000000002e-05,33.575368213218383,2.5499923977229453
1800,3.5937499999999999e-05,33.57536907686147,2.549992397439873
1800,3.7500000000000003e-05,33.575369978888702,2.5499923971442149
1800,3.9062500000000001e-05,33.575370919300077,2.5499923968359703
1800,4.0625000000000005e-05,33.57537189809559,2.549992396515139
1800,4.2187500000000002e-05,33.575372915275246,2.5499923961817195
1800,4.375e-05,33.575373970839046,2.5499923958357114
1800,4.5312500000000004e-05,33.575375064786989,2.5499923954771142
1800,4.6875000000000001e-05,33.575376197119077,2.5499923951059271
1800,4.8437500000000005e-05,33.575377367835316,2.5499923947221488
