check,time_s,radius_cm,coarse,fine
thermal_time_coarse,84,1.9,19.33834989385387,19.338350009959743
thermal_time_coarse,281,0.3,25.640550063323595,25.640549959319006
thermal_time_coarse,342,1.4,17.932549967130093,17.932550017881173
thermal_time_coarse,377,0.1,23.78455001527809,23.784549926045198
thermal_time_coarse,417,0.4,22.35885000558702,22.358849948147824
thermal_time_coarse,716,1.5,11.964749991790612,11.964750045890183
thermal_time_coarse,780,0.2,15.712249989033028,15.712250016448333
thermal_time_coarse,862,0.4,14.345649962404714,14.345650008498087
thermal_time_coarse,872,0.1,14.502649998484854,14.502650044167625
thermal_time_coarse,920,1.9,9.245249946594663,9.245250001866737
thermal_time_coarse,986,0.7,12.5066499597905,12.506650015224412
thermal_time_coarse,1067,1.9,9.214049938893398,9.21405000251693
thermal_time_coarse,1114,1.5,10.038049999261068,10.038050064481602
thermal_time_coarse,1143,1.5,9.990649966432832,9.990650021759668
thermal_time_coarse,1233,0.5,11.100949959752171,11.100950025897054
thermal_time_coarse,1301,2.0,9.56574994810312,9.56575000664227
thermal_time_coarse,1333,1.6,9.826649997716274,9.826650066165058
thermal_time_coarse,1542,0.7,10.222049979325359,10.222050049558202
thermal_time_coarse,1586,0.8,10.203949942008276,10.20395000167306
thermal_time_coarse,1663,0.9,10.254149948681286,10.25415000923106
thermal_time_coarse,1718,0.0,10.236449985438416,10.236450053244864
thermal_time_coarse,1775,0.4,10.299049998466836,10.299050056654345
thermal_time_coarse,1795,1.3,10.689949966023237,10.6899500204387
thermal_time_final,94,1.4,25.348850009772114,25.34884999968527
thermal_time_final,240,0.8,24.881150000783194,24.88114998439562
thermal_time_final,517,0.0,20.660250007947067,20.66024999965658
thermal_time_final,903,1.4,11.122049994178665,11.122050006854304
thermal_time_final,1040,1.3,10.73624998823891,10.736250000876687
thermal_time_final,1326,1.3,10.061449988393804,10.061450000525022
thermal_time_final,1449,0.8,10.267149982501778,10.267150000278727
thermal_time_final,1534,0.1,10.30474998234037,10.304750001895838
thermal_time_final,1534,0.8,10.206949992553826,10.206950011171996
thermal_time_final,1647,1.4,10.364849989882831,10.364850000996654
thermal_space_final,5,1.8,27.775750049104982,27.77574996139757
thermal_space_final,94,1.4,25.34885007410309,25.34884999968527
thermal_space_final,517,0.0,20.66025001322312,20.66024999965658
thermal_space_final,903,1.4,11.12204999607161,11.122050006854304
thermal_space_final,920,1.9,9.245249984517173,9.245250016072585
thermal_space_final,1040,1.3,10.736249993329013,10.736250000876687
thermal_space_final,1067,1.9,9.214049988737282,9.214050018918604
thermal_space_final,1190,0.5,11.327450008714257,11.327449998989497
thermal_space_final,1267,0.2,11.092150003071781,11.092149992183941
thermal_space_final,1301,2.0,9.56574999382993,9.5657500218932
thermal_space_final,1321,0.0,10.875850002994941,10.875849992855317
thermal_space_final,1326,1.3,10.061449992874985,10.061450000525022
thermal_space_final,1647,1.4,10.364849992536186,10.364850000996654
moisture_time_coarse_T,6,1.8,27.66904999454432,27.669050001397128
moisture_time_coarse_T,488,0.0,21.29534999982482,21.29535000458971
moisture_time_coarse_T,903,1.4,11.122049998823147,11.12205000515944
moisture_time_coarse_T,1534,0.1,10.304749996312326,10.304750000704052
moisture_time_coarse_T,1647,1.4,10.364849997782793,10.364850000290025
moisture_time_final_T,1040,1.3,10.73624999933694,10.736250000876687
moisture_time_final_T,1326,1.3,10.061449999378784,10.061450000525022
moisture_time_final_T,1449,0.8,10.267149999096528,10.267150000278727
moisture_space_final_T,6,1.8,27.66904956482433,27.66905000374747
moisture_space_final_T,9,2.0,23.922849558642476,23.92285200482621
moisture_space_final_T,14,1.9,25.2608488579805,25.260850476081618
moisture_space_final_T,16,1.5,27.909449973023793,27.909450066336504
moisture_space_final_T,17,2.0,22.554749990615974,22.554752334675133
moisture_space_final_T,37,1.8,24.29784961692629,24.297850999554893
moisture_space_final_T,38,1.5,27.12084990251297,27.12085035569688
moisture_space_final_T,47,1.6,25.93834948324332,25.938350302173813
moisture_space_final_T,68,1.3,26.93634965343382,26.936350069282565
moisture_space_final_T,80,1.2,27.00124967187507,27.00125004123167
moisture_space_final_T,84,1.9,19.33834829320642,19.33835003875449
moisture_space_final_T,85,1.6,23.818749416587316,23.818750508729938
moisture_space_final_T,97,1.7,21.9231489034022,21.92315024048397
moisture_space_final_T,117,1.3,25.250749853056877,25.250750562349324
moisture_space_final_T,141,1.7,20.014649802948075,20.01465118034543
moisture_space_final_T,148,1.0,26.113549589127416,26.11355007403592
moisture_space_final_T,149,1.8,18.255849013582015,18.255850523602366
moisture_space_final_T,159,1.4,22.90864930199588,22.908650288480363
moisture_space_final_T,162,2.0,14.618048989542421,14.618050688835725
moisture_space_final_T,173,0.5,27.181649942218016,27.181650179095254
moisture_space_final_T,176,1.8,17.36864966655719,17.368651153054955
moisture_space_final_T,177,1.6,20.055049767746688,20.05505103063996
moisture_space_final_T,188,1.8,17.011349510485285,17.011350985705032
moisture_space_final_T,194,1.6,19.5106492587055,19.510650528576722
moisture_space_final_T,196,1.8,16.783848902310734,16.783850369854857
moisture_space_final_T,216,0.1,27.032749922274917,27.032750184412933
moisture_space_final_T,220,1.7,17.486049389698078,17.48605075287767
moisture_space_final_T,220,2.0,13.262149975168485,13.262151549032216
moisture_space_final_T,224,1.8,16.046449008951186,16.046450449164922
moisture_space_final_T,230,1.5,19.622948983705953,19.622950169467835
moisture_space_final_T,237,0.4,26.31234979454467,26.312350185649343
moisture_space_final_T,245,0.9,24.230949635011335,24.230950325924216
moisture_space_final_T,245,1.6,18.066449528244974,18.06645080232032
moisture_space_final_T,273,0.0,26.066549904486184,26.066550331270893
moisture_space_final_T,291,0.3,25.431549655431464,25.431550170517195
moisture_space_final_T,296,0.4,25.106349883932378,25.10635044055928
moisture_space_final_T,301,1.7,15.606449432927075,15.606450751039867
moisture_space_final_T,306,0.2,25.268449961830484,25.268450497097664
moisture_space_final_T,312,0.3,24.979649735058935,24.979650305585892
moisture_space_final_T,319,0.8,22.999749756960483,22.999750540847696
moisture_space_final_T,325,0.5,24.166749488157834,24.16675014980843
moisture_space_final_T,326,1.2,20.078049934727794,20.07805096168431
moisture_space_final_T,330,1.8,13.927648843416495,13.927650184010279
moisture_space_final_T,335,1.4,18.082549920124293,18.082551068615675
moisture_space_final_T,335,1.5,17.097749715429106,17.097750917733958
moisture_space_final_T,335,1.9,12.691549567038507,12.691550935042066
moisture_space_final_T,339,1.5,17.01604962493975,17.01605082699342
moisture_space_final_T,340,1.4,17.975149231375582,17.975150380962596
moisture_space_final_T,342,1.4,17.93254888058514,17.932550030584206
moisture_space_final_T,345,1.7,14.798949707020158,14.798950998201676
moisture_space_final_T,347,1.6,15.832249062663344,15.832250310794182
moisture_space_final_T,352,0.5,23.546949438133904,23.546950158292844
moisture_space_final_T,352,1.4,17.722548945232536,17.722550097077693
moisture_space_final_T,354,1.6,15.703449659004583,15.70345090462407
moisture_space_final_T,355,1.0,20.9195491770429,20.919550120927095
moisture_space_final_T,363,1.0,20.736049132347596,20.7360500852825
moisture_space_final_T,375,1.1,19.753649731091304,19.75365074447879
moisture_space_final_T,387,0.8,21.414649991636193,21.414650883806935
moisture_space_final_T,390,1.2,18.663149735438804,18.663150805078804
moisture_space_final_T,398,0.4,22.79364948684545,22.793650268415316
moisture_space_final_T,400,1.2,18.456549071332642,18.456550145897932
moisture_space_final_T,404,0.7,21.537549667864177,21.537550545903
moisture_space_final_T,417,0.1,22.86744981668011,22.8674505913465
moisture_space_final_T,424,1.1,18.715449728677847,18.71545077587125
moisture_space_final_T,428,0.3,22.34494979293882,22.34495060775864
moisture_space_final_T,429,1.8,12.556649987617117,12.556651247819918
moisture_space_final_T,432,0.9,19.85334978488523,19.85335076503884
moisture_space_final_T,435,1.2,17.76214960466903,17.762150693494558
moisture_space_final_T,436,1.2,17.74294991957223,17.74295100874261
moisture_space_final_T,440,0.1,22.34174969948124,22.341750514237788
moisture_space_final_T,451,1.9,11.355449097923922,11.355450352925034
moisture_space_final_T,456,0.8,19.899449201889535,19.89945017212348
moisture_space_final_T,456,1.5,14.953949344444181,14.95395052632317
moisture_space_final_T,462,1.6,13.993049133777792,13.993050336684687
moisture_space_final_T,463,1.8,12.16924986288558,12.16925109827861
moisture_space_final_T,464,1.7,13.071949198545413,13.071950419087154
moisture_space_final_T,472,0.2,21.519349916233075,21.51935078682368
moisture_space_final_T,480,0.1,21.440149295244805,21.440150170745454
moisture_space_final_T,486,1.2,16.825449479944268,16.825450582541308
moisture_space_final_T,488,0.0,21.29534912156495,21.295350005945053
moisture_space_final_T,491,0.0,21.228949546163577,21.22895043453983
moisture_space_final_T,492,2.0,10.089748889537237,10.089750111660459
moisture_space_final_T,494,1.2,16.685949715987018,16.685950820101745
moisture_space_final_T,505,0.8,18.894249051620953,18.894250061851995
moisture_space_final_T,506,0.2,20.770149099331437,20.77015001407538
moisture_space_final_T,506,0.5,20.097549413831203,20.097550364822865
moisture_space_final_T,513,2.0,9.956249894410176,9.956251098109608
moisture_space_final_T,517,1.5,14.077749291941211,14.077750457382455
moisture_space_final_T,518,0.2,20.510849584563623,20.5108505132167
moisture_space_final_T,519,1.9,10.761649656015795,10.761650856136743
moisture_space_final_T,520,1.2,16.245649539870495,16.24565064786613
moisture_space_final_T,527,1.5,13.945149396795731,13.945150559305276
moisture_space_final_T,540,0.8,18.214349260990314,18.21435029333036
moisture_space_final_T,546,0.5,19.271449064763463,19.271450052177457
moisture_space_final_T,548,1.2,15.79384955592109,15.79385066645542
moisture_space_final_T,551,1.6,12.883749644226686,12.883750809760434
moisture_space_final_T,554,1.7,12.081149766148913,12.081150937318544
moisture_space_final_T,558,0.9,17.386849711929777,17.386850771023106
moisture_space_final_T,560,1.2,15.60734940890492,15.607350520054068
moisture_space_final_T,563,2.0,9.685849091229162,9.685850253923576
moisture_space_final_T,573,1.9,10.391849384527651,10.391850545355044
moisture_space_final_T,581,0.7,17.885349422057825,17.885350460209565
moisture_space_final_T,583,0.6,18.221949661833033,18.221950687952344
moisture_space_final_T,587,1.0,16.362849253877407,16.3628503375758
moisture_space_final_T,589,1.8,11.028449590248586,11.02845074329626
moisture_space_final_T,597,1.2,15.058649438903844,15.058650550344128
moisture_space_final_T,601,0.9,16.644449281651887,16.644450354838003
moisture_space_final_T,602,1.3,14.368149912593616,14.368151034801173
moisture_space_final_T,603,1.9,10.211849277986412,10.211850418308547
moisture_space_final_T,604,1.3,14.341849782956245,14.341850904896765
moisture_space_final_T,606,1.1,15.513049883910437,15.513050983441781
moisture_space_final_T,611,0.6,17.70394958108837,17.703950622056414
moisture_space_final_T,611,0.7,17.344249128872054,17.344250180751963
moisture_space_final_T,613,1.7,11.556949417431259,11.55695055789041
moisture_space_final_T,621,0.0,18.530949172212168,18.53095018582428
moisture_space_final_T,621,1.6,12.174049596325114,12.174050732101767
moisture_space_final_T,625,1.9,10.095249047467448,10.0952501733029
moisture_space_final_T,629,1.7,11.42974923031491,11.429750362640267
moisture_space_final_T,636,1.1,15.07614998362549,15.076151084228345
moisture_space_final_T,642,2.0,9.364549280571289,9.364550385203529
moisture_space_final_T,643,0.5,17.431749919701474,17.431750966454587
moisture_space_final_T,644,0.5,17.414049327601774,17.414050374786108
moisture_space_final_T,645,1.7,11.309649778531949,11.309650902796946
moisture_space_final_T,647,0.1,18.01204962502166,18.012050655101138
moisture_space_final_T,659,1.1,14.757548954166563,14.757550054555873
moisture_space_final_T,675,1.8,10.487949160125897,10.48795026338537
moisture_space_final_T,679,0.3,17.223449790702645,17.22345084154385
moisture_space_final_T,680,1.4,12.855949144818494,12.85595025606406
moisture_space_final_T,703,0.4,16.638949315775577,16.63895037877707
