theta,pdf,radius_upper,radius_lower,center_x,center_y
3.69003828511455,1.36499463875526e-08,0.00413981856857988,0.0041398185685795,5.00280639887961,0.0851656398833881
3.69004518053584,1.22892614233623e-07,0.0124259293231165,0.0124259293231165,5.00993658747562,0.080969307788304
3.69005207595712,3.41488278309215e-07,0.0207206950805542,0.0207206950805542,5.0170592128484,0.0767682329755572
3.69005897137841,6.69552418797738e-07,0.0290241442583744,0.0290241442583741,5.0241742511183,0.072562400057602
3.69006586679969,1.10720088992465e-06,0.0373363055086298,0.0373363055086298,5.03128167821027,0.0683517935204942
3.69007276222098,1.65454992301818e-06,0.0456572077190361,0.0456572077190361,5.03838146985064,0.0641363977232586
3.69007965764226,2.3117161296418e-06,0.0539868800158148,0.0539868800158148,5.04547360156532,0.0599161968963671
3.69008655306355,3.0788165045729e-06,0.0623253517643998,0.0623253517643998,5.05255804867608,0.0556911751412991
3.69009344848483,3.95596842923003e-06,0.07067265257518,0.0706726525751799,5.05963478630116,0.0514613164275514
3.69010034390611,4.94328967469924e-06,0.0790288123037859,0.0790288123037859,5.06670378935108,0.0472266045924058
3.6901072393274,6.04089840515216e-06,0.0873938610553365,0.0873938610553361,5.07376503252777,0.0429870233386942
3.69011413474868,7.24891318070026e-06,0.0957678291838944,0.0957678291838944,5.08081849031962,0.0387425562349897
3.69012103016997,8.56745296132594e-06,0.104150747299885,0.104150747299885,5.08786413700319,0.0344931867117572
3.69012792559125,9.99663710977319e-06,0.112542646269368,0.112542646269368,5.09490194663787,0.0302388980616319
3.69013482101254,1.15365853951665e-05,0.120943557218423,0.120943557218423,5.10193189306499,0.0259796734371153
3.69014171643382,1.31874179961073e-05,0.129353511534227,0.129353511534227,5.10895394990385,0.0217154958499295
3.69014861185511,1.49492555045717e-05,0.137772540870311,0.137772540870311,5.11596809055138,0.0174463481682672
3.69015550727639,1.68222189291928e-05,0.146200677148234,0.146200677148234,5.12297428817859,0.0131722131158392
3.69016240269768,1.88064296988179e-05,0.154637952560641,0.154637952560641,5.12997251572819,0.00889307327024923
3.69016929811896,2.09020096658028e-05,0.163084399573168,0.163084399573168,5.13696274591112,0.00460891106190867
3.69104196274496,0.000347156292707666,1.03518155978946,1.03518155978946,6.02905686447436,0.0179755468388982
