time_s,mean_T,mean_C,steps,iterations,cumulative_heat_per_2piL,cumulative_water_per_rhod_2piL,heat_balance_per_2piL,water_balance_per_rhod_2piL
71,28.150072282031655,1.1277121726988868,2273,4546,-4.0647926259164393,7.4927001540061507e-08,-6.7747688058464317e-10,1.3252667366240628e-18
72,28.149978984392529,1.1277069039830834,2305,4610,-4.1207712093790851,7.5980744700698061e-08,-6.8660301923151312e-10,1.3373290655948746e-18
73,28.149885744755331,1.1277016354846556,2337,4674,-4.1767149916899982,7.703444438633707e-08,-6.9551861665850812e-10,1.3597329358307951e-18
74,28.149792563084013,1.1276963672035929,2369,4738,-4.2326239944861541,7.80881005987989e-08,-7.0508029102744896e-10,1.3904381645120991e-18
75,28.149699439342488,1.1276910991398881,2401,4802,-4.2884982393910374,7.9141713339903469e-08,-7.1529555542571011e-10,1.4040179692413365e-18
76,28.149606373494759,1.1276858312935309,2433,4866,-4.3443377480146435,8.0195282611469976e-08,-7.2433251757653139e-10,1.4153375804949553e-18
77,28.149513365504831,1.1276805636645104,2465,4930,-4.4001425419535094,8.1248808415317016e-08,-7.3294976338234008e-10,1.4338115156406364e-18
78,28.149420415336763,1.1276752962528214,2497,4994,-4.4559126427907101,8.2302290753262639e-08,-7.4300866501064711e-10,1.4620312152152348e-18
79,28.149327522954579,1.1276700290584525,2529,5058,-4.5116480720958725,8.3355729627124419e-08,-7.5333741675343013e-10,1.4804962969434221e-18
80,28.149234688322345,1.1276647620813944,2561,5122,-4.5673488514251854,8.4409125038719241e-08,-7.623578001519915e-10,1.5053597434943293e-18
81,28.149141911404161,1.1276594953216386,2593,5186,-4.6230150023214103,8.5462476989863568e-08,-7.7113206271850476e-10,1.5157514455087711e-18
82,28.149049192164156,1.1276542287791762,2625,5250,-4.6786465463138871,8.6515785482373239e-08,-7.8101504950855993e-10,1.5474598310156002e-18
83,28.148956530566451,1.1276489624539978,2657,5314,-4.7342435049185418,8.7569050518063725e-08,-7.9074264323908405e-10,1.5620012525939761e-18
84,28.14886392657526,1.127643696346095,2689,5378,-4.7898058996379058,8.8622272098749938e-08,-7.997484636340646e-10,1.5778528377897566e-18
85,28.148771380154699,1.127638430455457,2721,5442,-4.8453337519611122,8.9675450226246357e-08,-8.0758595470686867e-10,1.5876474187995116e-18
86,28.148678891269029,1.1276331647820768,2753,5506,-4.9008270833639136,9.0728584902366941e-08,-8.1734835913338522e-10,1.5942444426785634e-18
87,28.148586459882406,1.1276278993259443,2785,5570,-4.9562859153086842,9.1781676128925135e-08,-8.2588889893653317e-10,1.6152901792838999e-18
88,28.148494085959179,1.1276226340870488,2817,5634,-5.0117102692444355,9.2834723907734132e-08,-8.349638255106262e-10,1.6368072149679355e-18
89,28.148401769463582,1.1276173690653863,2849,5698,-5.0671001666068163,9.3887728240606531e-08,-8.4510156685146942e-10,1.6515090255746158e-18
90,28.148309510359862,1.1276121042609419,2881,5762,-5.1224556288181304,9.4940689129354636e-08,-8.5598683002841014e-10,1.656737084926938e-18
91,28.148217308612406,1.1276068396737104,2913,5826,-5.1777766772873468,9.5993606575790213e-08,-8.6584310207693527e-10,1.6770048517038198e-18
92,28.148125164185501,1.1276015753036797,2945,5890,-5.2330633334100991,9.704648058172468e-08,-8.750811950064552e-10,1.6837461410515797e-18
93,28.148033077043564,1.1275963111508447,2977,5954,-5.2883156185687064,9.8099311148969101e-08,-8.8430572413311648e-10,1.7160009698258796e-18
94,28.147941047150965,1.1275910472151924,3009,6018,-5.3435335541321711,9.9152098279334127e-08,-8.9259096468230492e-10,1.7353827227691405e-18
95,28.147849074472056,1.1275857834967165,3041,6082,-5.398717161456192,1.0020484197463008e-07,-9.0227395867226168e-10,1.7476574174375283e-18
96,28.147757158971313,1.1275805199954059,3073,6146,-5.4538664618831731,1.012575422366668e-07,-9.1217356758266366e-10,1.7469721564611649e-18
97,28.147665300613227,1.1275752567112527,3105,6210,-5.5089814767422256,1.0231019906725385e-07,-9.2191781530907846e-10,1.7588643834938235e-18
98,28.147573499362203,1.1275699936442485,3137,6274,-5.5640622273491935,1.0336281246820043e-07,-9.3219620976407735e-10,1.7867483899113932e-18
99,28.147481755182749,1.1275647307943821,3169,6338,-5.6191087350066509,1.0441538244131536e-07,-9.4128180488754765e-10,1.8184559740870038e-18
100,28.147390068039403,1.1275594681616479,3201,6402,-5.6741210210039128,1.0546790898840718e-07,-9.5092472329576239e-10,1.8394010790009444e-18
101,28.147298437896669,1.1275542057460337,3233,6466,-5.7290991066170278,1.0652039211128411e-07,-9.6068622913551838e-10,1.8482390644063731e-18
102,28.147206864719216,1.1275489435475317,3265,6530,-5.7840430131088141,1.0757283181175395e-07,-9.7043621706191519e-10,1.8659818946751795e-18
103,28.147115348471502,1.1275436815661315,3297,6594,-5.8389527617288604,1.0862522809162423e-07,-9.8010415885627089e-10,1.877707147546376e-18
104,28.147023889118167,1.1275384198018263,3329,6658,-5.8938283737135251,1.0967758095270221e-07,-9.8936781120148587e-10,1.9037043485243637e-18
105,28.146932486623843,1.1275331582546066,3361,6722,-5.9486698702859577,1.1072989039679481e-07,-9.9884338430542008e-10,1.9258932810479911e-18
106,28.14684114095321,1.1275278969244615,3393,6786,-6.0034772726560917,1.1178215642570855e-07,-1.0062964294309251e-09,1.9517732614858921e-18
107,28.146749852070922,1.1275226358113841,3425,6850,-6.0582506020206548,1.1283437904124982e-07,-1.0146041120977223e-09,1.9819868928517466e-18
108,28.146658619941675,1.1275173749153649,3457,6914,-6.1129898795631918,1.1388655824522458e-07,-1.0248373829256641e-09,2.0092305516152752e-18
109,28.146567444530199,1.1275121142363933,3489,6978,-6.1676951264540625,1.1493869403943864e-07,-1.0337310465090288e-09,2.0371050066817093e-18
110,28.146476325801149,1.1275068537744624,3521,7042,-6.2223663638504396,1.1599078642569743e-07,-1.0429550604228177e-09,2.0578997650569698e-18
111,28.146385263719417,1.1275015935295611,3553,7106,-6.2770036128963564,1.1704283540580609e-07,-1.0525389357828041e-09,2.0724935187337868e-18
112,28.146294258249696,1.1274963335016828,3585,7170,-6.3316068947226629,1.1809484098156957e-07,-1.061556715361428e-09,2.0991549909800943e-18
113,28.146203309356807,1.1274910736908172,3617,7234,-6.386176230447079,1.1914680315479249e-07,-1.0714752119410365e-09,2.1236180950392229e-18
114,28.146112417005568,1.127485814096955,3649,7298,-6.4407116411741834,1.2019872192727926e-07,-1.0805303435855451e-09,2.1465129098933907e-18
115,28.146021581160856,1.127480554720087,3681,7362,-6.4952131479954147,1.2125059730083391e-07,-1.0894723036052045e-09,2.1694013270225083e-18
116,28.145930801787504,1.1274752955602054,3713,7426,-6.5496807719890917,1.2230242927726041e-07,-1.0984874117096755e-09,2.1983858907827312e-18
117,28.145840078850451,1.1274700366172992,3745,7490,-6.6041145342204128,1.2335421785836238e-07,-1.109069549306424e-09,2.2178270133219885e-18
118,28.14574941231454,1.1274647778913616,3777,7554,-6.6585144557414786,1.2440596304594315e-07,-1.1193708577238171e-09,2.2344246120327152e-18
119,28.145658802144805,1.1274595193823824,3809,7618,-6.7128805575912809,1.2545766484180578e-07,-1.1280845801757422e-09,2.2500286052690523e-18
120,28.145568248306102,1.1274542610903526,3841,7682,-6.7672128607957296,1.2650932324775313e-07,-1.137253688356793e-09,2.2538866208824394e-18
121,28.145477750763444,1.127449003015264,3873,7746,-6.82151138636765,1.2756093826558805e-07,-1.1469722597905185e-09,2.2815859592282566e-18
122,28.145387309481865,1.127443745157106,3905,7810,-6.8757761553067942,1.286125098971128e-07,-1.1578359724977172e-09,2.2899808149322527e-18
123,28.145296924426372,1.1274384875158712,3937,7874,-6.9300071885998493,1.2966403814412953e-07,-1.1686433361822457e-09,2.3101086395515967e-18
124,28.145206595561984,1.1274332300915499,3969,7938,-6.9842045072204524,1.3071552300844029e-07,-1.1763202005347917e-09,2.3393767323914693e-18
125,28.145116322853777,1.1274279728841323,4001,8002,-7.038368132129178,1.3176696449184672e-07,-1.1858042234767774e-09,2.3515064054963703e-18
126,28.145026106266872,1.1274227158936119,4033,8066,-7.092498084273573,1.3281836259615035e-07,-1.1955168222575752e-09,2.3744317420226716e-18
127,28.144935945766331,1.1274174591199764,4065,8130,-7.1465943845881403,1.338697173231526e-07,-1.20629227917321e-09,2.4044652741971883e-18
128,28.144845841317302,1.1274122025632192,4097,8194,-7.2006570539943739,1.3492102867465435e-07,-1.2161223083249906e-09,2.4147501794397313e-18
129,28.144755792884943,1.1274069462233305,4129,8258,-7.2546861134007505,1.359722966524566e-07,-1.2271753262009522e-09,2.4426649983351185e-18
130,28.144665800434417,1.1274016901003003,4161,8322,-7.3086815837027332,1.3702352125835996e-07,-1.2367695578600901e-09,2.4612591073141671e-18
131,28.14457586393096,1.1273964341941218,4193,8386,-7.3626434857827876,1.3807470249416487e-07,-1.2469117158069032e-09,2.4716327018280122e-18
