time_s,mean_T,mean_C,steps,iterations,cumulative_heat_per_2piL,cumulative_water_per_rhod_2piL,heat_balance_per_2piL,water_balance_per_rhod_2piL
0,28.600003906249984,1.1500009765624997,0,0,0,0,0,0
1,28.599404202606522,1.1497868427372098,17,51,0.33364202603706317,-9.5629273531422409e-10,-5.2468446254394507e-14,-1.1829303144967711e-20
2,28.598805097790308,1.149573014300568,33,99,0.66693302635911178,-1.9111043776182077e-09,-3.0489152869073166e-13,-1.4408452294908051e-20
3,28.598206591784976,1.1493594911150935,49,147,0.99987304585855141,-2.8644358832798534e-09,-9.717573967726878e-14,-4.1415899294764404e-20
4,28.597608683990959,1.149146272745011,65,195,1.3324624734838442,-3.8162896569622144e-09,2.9112129373842777e-14,-3.2880636144135988e-20
5,28.597011373809615,1.1489333587551753,81,243,1.6647016979551936,-4.7666681003330823e-09,1.0433633124140584e-12,-3.3341789335634301e-20
6,28.596414660643259,1.1487207487110613,97,291,1.9965911076322993,-5.7155736114646326e-09,-9.1319313222371079e-14,-4.423410364173257e-20
7,28.595818543894801,1.1485084421787679,113,339,2.3281310904673167,-6.6630085845851478e-09,-1.1215681161580449e-13,-6.1951485182005869e-20
8,28.595223022967904,1.148296438725015,129,387,2.6593220339833428,-7.6089754099685514e-09,2.834295298459466e-13,-6.1113964811795929e-20
9,28.594628097266867,1.1480847379171386,145,435,2.9901643252631063,-8.5534764738820173e-09,-7.5824763134946238e-14,-7.0597590534716391e-20
10,28.594033766196549,1.1478733393230964,161,483,3.3206583509425194,-9.4965141585600111e-09,-1.2728360032632224e-13,-7.8299469218197632e-20
11,28.593440029162508,1.14766224251146,177,531,3.6508044972067579,-1.0438090842191588e-08,6.5656854952855781e-13,-7.0454901879050994e-20
12,28.59284688557085,1.1474514470514197,193,579,3.9806031497878691,-1.1378208898914838e-08,7.3233433206532084e-13,-7.1044268065495026e-20
13,28.592254334828368,1.1472409525127776,209,627,4.3100546939632505,-1.2316870698815461e-08,3.1907462783031804e-13,-6.0664805739179635e-20
14,28.591662376342391,1.1470307584659534,225,675,4.6391595145547218,-1.3254078607927965e-08,-3.8164263416184951e-13,-7.7950398999700254e-20
15,28.591071009520892,1.1468208644819784,241,723,4.967917995927988,-1.418983498823839e-08,5.2870902100821127e-14,-1.0092864923581081e-19
