x,y,J,J_lower,P_H,P_N,P_A,P_loc,E_radius_loss,safe_margin,angle_calls
5,0,1743802.81437254,1743802.81437249,4.7362756278005e-05,0,0.999952637243699,5.01657090784538e-05,745.004187821587,4.99923464932147,918
5,2,1602914.8458246,1602914.8458246,4.22010021968011e-05,0,0.999957655247501,0.000224651946691376,712.702878945451,4.9621451049286,792
5,5,1418852.35305318,1418852.35305318,2.26266409559907e-06,0,0.99999762938206,0.000281548233027628,667.000220539163,4.89897642861968,1620
5,10,1190454.49246629,1190454.49246629,0,0,0.999999381837544,0.000258667530869324,605.178687954865,4.77360807845241,1260
5,15,1020222.66782196,1020222.66782196,0,0,0.999997947167326,0.000170422988552265,555.173273857906,4.62313908673036,1368
5,20,887148.589874991,887148.589874991,0,0,0.999998011417877,1.19514729740251e-19,513.38784105286,4.44758083467673,1116
5,25,780023.425635128,780023.425635128,0,0,1.00000514623754,0,477.732912663262,4.24694659252975,1170
5,30,691960.155598859,691960.155598859,0,0,0.999995647873275,0,446.830495804863,4.02125151453504,954
5,40,556180.328315154,556180.328315154,0,0,0.99999971076142,0,395.74189641412,3.49474885306358,954
5,50,457058.004707659,457058.004707658,0,0,1.00000252065758,0,355.076483981483,2.86823152997249,882
30,0,1683003.69615162,1683003.69615161,0.000378240460119137,0,0.999647703948352,0.000560223035886079,731.390809308469,29.9952895523566,1386
30,2,1572509.62955379,1572509.62955379,0.000346406017918542,0,0.999654114307747,0.00101534520265627,705.116222024752,29.9572442843739,918
30,5,1384017.13936242,1384017.13936241,5.70116152267757e-05,0,0.999942776548849,0.00120407048602499,657.572676432355,29.892448047646,1638
30,10,1154765.19974728,1154765.19974728,0,0,0.999999371831642,0.00115764491581626,594.528069601012,29.7638501790597,1278
30,15,985956.177922772,985956.177922772,0,0,0.999998165806553,0.000879602350427218,544.121078983369,29.6095061864347,1098
30,20,854932.694493657,854932.694493657,0,0,1.00000349515467,0,502.279023572675,29.4294283525243,1062
30,25,749966.186638558,749966.186638558,0,0,0.999994437200215,0,466.723745301115,29.2236309981167,1062
30,30,664027.143477178,664027.143477178,0,0,1.00000832360732,0,436.026927014079,28.9921304763521,1062
30,40,532053.782450695,532053.782450694,0,0,1.00000511868107,0,385.441349712939,28.4520954653862,1206
30,50,436131.135505559,436131.135505558,0,0,0.999998195270617,0,345.321037707003,27.8094945257154,990
55,0,1620060.18395,1620060.18395,0.000690421365837216,0,0.999169224878331,0.00116082466118183,716.486045495629,54.991135738507,1494
55,2,1541624.09496876,1541624.09496876,0.000631116828945375,0,0.999371184613457,0.00165362951159574,697.107680523941,54.9520841996708,990
55,5,1348694.67761588,1348694.67761588,0.000139449747581892,0,0.999860419165116,0.00207583432341974,647.745580625667,54.885574336541,1638
55,10,1118922.44535607,1118922.44535607,0,0,1.00000002939309,0.00202613018736414,583.575323683801,54.7535762238808,1206
55,15,951767.001356153,951767.001356153,0,0,0.999998085154479,0.0015085080383465,532.841182620222,54.5951524738645,1062
55,20,822939.882849509,822939.882849509,0,0,1.0000070298136,0,490.997480520352,54.4103163685169,1134
55,25,720237.534472322,720237.534472322,0,0,0.99998970793087,0,455.590434757464,54.1990833929896,1170
55,30,636467.988371784,636467.988371784,0,0,1.00000595656937,0,425.122776592522,53.9614712290868,1170
55,40,508362.633110528,508362.633110528,0,0,1.00000236610711,0,375.09155864951,53.4071910014425,1062
55,50,415657.705017965,415657.705017965,0,0,1.00000083442003,0,335.553272815631,52.7476607700959,990
80,0,1556358.62198352,1556358.62198352,0.00099720089928156,0,0.998908942469413,0.00179164952624131,700.837833777992,79.986756195881,1638
80,2,1510603.90051706,1510603.90051706,0.000908598616684783,0,0.999095453698877,0.00215134821783681,688.780408314237,79.9466437207424,1170
80,5,1312991.19911158,1312991.19911158,0.000241091663154989,0,0.999759140175488,0.00281782543848485,637.554639342127,79.8783271548538,1602
80,10,1082989.69150132,1082989.69150132,0,0,1.00000139871859,0.00279626535058261,572.34084448372,79.7427441721945,1242
80,15,917703.637092719,917703.637092719,0,0,0.999998321820829,0.00203257091492136,521.349913712716,79.5800192476828,990
80,20,791209.471012769,791209.471012769,0,0,1.00000496836586,0,479.556546939203,79.3901667739646,1350
80,25,690862.952888686,690862.952888686,0,0,0.999989962339147,0,444.343076838904,79.1732035301961,1098
80,30,609316.186361009,609316.186361009,0,0,1.00000621906781,0,414.136339081836,78.9291486746449,1026
80,40,485126.110915366,485126.110915366,0,0,1.0000011000343,0,364.705083836277,78.3598526051721,990
80,50,395646.948894604,395646.948894603,0,0,1.00000374172856,0,325.779875996476,77.6824790676989,954
105,0,1492055.52084605,1492055.52084605,0.00129594909716829,0,0.998672469833847,0.00243347394896318,684.471771779993,104.98213201235,1710
105,2,1478134.13317713,1478134.13317713,0.00117492434345315,0,0.99879946684026,0.00262578092392427,679.831880743658,104.94089935753,1242
105,5,1277013.36154342,1277013.36154342,0.000357174892719891,0,0.999643275172817,0.00345291182802246,627.041601655412,104.870675219759,1638
105,10,1047028.03642621,1047028.03642621,0,0,1.00000280711082,0.00347596704057964,560.847863800641,104.731307290429,1314
105,15,883812.98297562,883812.98297562,0,0,0.999999313906632,0.00245079824927866,509.665758895198,104.564041256843,1062
105,20,759779.620033907,759779.620033907,0,0,1.0000004248607,0,467.972841107634,104.36889274956,1314
105,25,661870.673130411,661870.673130411,0,0,0.999992973240105,0,432.994379298422,104.145879989927,1098
105,30,582594.318500429,582594.318500429,0,0,1.00000838297939,0,403.079309341017,103.895023781591,1098
