time_s,j_water_kg_m2_s,T_surface_C,latent_W_m2,convective_W_m2,mean_T_C,mean_T0_C,cum_conv_J,cum_latent_J,energy_balance_J,max_linear_backward_error,max_scaled_residual
16,0.00044421254549957355,22.700679940031719,1087.0322484747473,136.00300149920707,27.240791591141804,28.001233611196991,46.434225142541244,554.94256810648915,1.2049816309720164e-08,1.5320262148437906e-16,1.0661674123910048e-14
17,0.00044351358094947037,22.554752334675133,1085.4752012248794,139.87119163312167,27.196312167132998,28.001389721650259,50.768000581862637,589.06810814627511,1.3540087692494463e-08,1.5320262148437906e-16,1.0661674123910048e-14
18,0.00044283602276023613,22.413995039113139,1083.9646424521009,143.61012402217145,27.152083027536825,28.001554866886416,55.221238301966871,623.14547308220517,1.5022416043342356e-08,1.5320262148437906e-16,1.0661674123910048e-14
19,0.00044217810759496895,22.27797940011844,1082.4967508741818,147.23051499703902,27.108096278180398,28.001729012054469,59.790049906253181,657.17606193667893,1.6505494482109925e-08,1.5320262148437906e-16,1.0661674123910048e-14
20,0.00044153830147429415,22.146332605468913,1081.0682019815288,150.74168486327721,27.064344660932566,28.00191212337926,64.470861019221928,691.16116173996443,1.797765757101544e-08,1.5320262148437906e-16,1.0661674123910048e-14
21,0.00044091526006971398,22.018728010205152,1079.676082055101,154.1517997448712,27.020821472925928,28.002104168077604,69.260371382772121,725.10196173114502,1.9441744195225322e-08,1.5320262148437906e-16,1.0661674123910048e-14
22,0.00044030779742042225,21.894877515866412,1078.3178204224255,157.46806210333961,26.977520499443425,28.002305114284383,74.155521704863418,758.999565158255,2.0894723920195078e-08,1.5320262148437906e-16,1.0661674123910048e-14
23,0.00043971486098735803,21.774525494123395,1076.9911354350911,160.69686264691515,26.934435957635483,28.002514930985818,79.153465859050172,792.85499917565414,2.2340984833282052e-08,1.5320262148437906e-16,1.0661674123910048e-14
24,0.00043913551154272322,21.657443888728846,1075.6939909163366,163.84390278177889,26.891562448917789,28.002733587963153,84.251547373341523,826.66922321591755,2.3784455080984591e-08,1.5320262148437906e-16,1.0661674123910048e-14
25,0.00043856890679644882,21.543428228034671,1074.4245607003568,166.91429429913319,26.848894918402031,28.00296105573943,89.447279393422335,860.44313612590713,2.5222253553128268e-08,1.5320262148437906e-16,1.0661674123910048e-14
26,0.00043801428794446067,21.432294349383032,1073.1811994984489,169.91264126542421,26.806428620077529,28.003197305533867,94.738327486884444,894.17758229218305,2.6649447073907042e-08,1.5320262148437906e-16,1.0661674123910048e-14
27,0.0004374709685256686,21.323875685966453,1071.9624187645707,172.84310785083869,26.764159086735361,28.003442309219757,100.12249479076019,927.87335693268346,2.8065255189146119e-08,1.5320262148437906e-16,1.0661674123910048e-14
28,0.00043693832512111389,21.218021002451461,1070.7668665500996,175.70947493871341,26.722082103836815,28.003696039286769,105.59770910723111,961.53121069516544,2.9483578842342673e-08,1.5320262148437906e-16,1.0661674123910048e-14
29,0.00043641578953621055,21.114592491862638,1069.5933105703293,178.51518770343401,26.680193686684444,28.003958468806559,111.16201163088525,995.15185367501272,3.0892112070464498e-08,1.5320262148437906e-16,1.0661674123910048e-14
30,0.00043590284218687975,21.013464165699951,1068.4406238781382,181.26339585750122,26.63849006037788,28.004229571401488,116.81354705160251,1028.7359589433922,3.2306102592031731e-08,1.5320262148437906e-16,1.0661674123910048e-14
31,0.00043539900647046744,20.914520483899075,1067.3077726703868,183.95698790252314,26.596967642132292,28.004509321216396,122.55055482455597,1062.284165659946,3.3700793080461945e-08,1.5320262148437906e-16,1.0661674123910048e-14
32,0.00043490384394794332,20.817655182366398,1066.1938058513299,186.59862044084008,26.555623025614793,28.004797692891191,128.37136143619429,1095.7970818308852,3.5093356732079608e-08,1.5320262148437906e-16,1.0661674123910048e-14
33,0.00043441695019205999,20.722770262664913,1065.0978460381436,189.19074343337715,26.514452966948745,28.005094661536333,134.27437349647192,1129.2752867730931,3.5621660336817626e-08,1.5320262148437906e-16,1.0661674123910048e-14
34,0.00043393795122534303,20.629775125378213,1064.0190818448741,191.73562186554466,26.47345437245508,28.005400202715567,140.25807168368266,1162.7193332737027,3.6153458262610376e-08,1.5320262148437906e-16,1.0661674123910048e-14
35,0.00043346650038500033,20.538585807332261,1062.9567610896031,194.23535481669339,26.432624287313494,28.005714292419999,146.32100515014062,1196.1297495868739,3.6683847699906918e-08,1.5320262148437906e-16,1.0661674123910048e-14
36,0.00043300227561615347,20.449124323150738,1061.9101849303502,196.6918919212315,26.391959885602667,28.006036907050454,152.46178660483997,1229.507041188517,3.721929855757434e-08,1.5320262148437906e-16,1.0661674123910048e-14
37,0.00043254497709429776,20.361318086943385,1060.8787027138312,199.10704782641542,26.351458461258808,28.006368023399752,158.67908785055261,1262.8516923693419,3.7758029145187157e-08,1.5320262148437906e-16,1.0661674123910048e-14
38,0.00043209432513514938,20.275099403952986,1059.861707446717,201.48251490117542,26.31111741989605,28.006707618636973,164.97163574693761,1296.1641676761071,3.8287791725317894e-08,1.5320262148437906e-16,1.0661674123910048e-14
39,0.00043165005835057112,20.19040502209047,1058.8586317999436,203.81987444773824,26.270934271388512,28.007055670291294,171.33820854879215,1329.4449132191837,3.8819221332197255e-08,1.5320262148437906e-16,1.0661674123910048e-14
40,0.00043121193201603561,20.107175734957796,1057.868944571248,206.12060662605512,26.230906623120891,28.007412156238072,177.77763257580426,1362.6943578619687,3.9356482306418437e-08,1.5320262148437906e-16,1.0661674123910048e-14
41,0.00043077971662071671,20.025356029314796,1056.8921475433274,208.38609926713013,26.191032173837336,28.007777054685306,184.28877917621639,1395.9129143055238,3.9889902527046323e-08,1.5320262148437906e-16,1.0661674123910048e-14
42,0.00043035319657586124,19.944893771058151,1055.9277726848857,210.61765572354619,26.151308708016643,28.008150344160875,190.87056195188728,1429.1009800800296,4.0422861825852196e-08,1.5320262148437906e-16,1.0661674123910048e-14
43,0.00042993216906076474,19.865739924691777,1054.9753796497737,212.81650188270555,26.111734090722496,28.008532003501408,197.52193421653178,1462.2589384530968,4.0953980663648379e-08,1.5320262148437906e-16,1.0661674123910048e-14
44,0.00042951644298894469,19.787848302028049,1054.0345535365441,214.98379244929876,26.072306262874275,28.008922011839989,204.24188666255196,1495.3871592636879,4.1485514819385973e-08,1.5320262148437906e-16,1.0661674123910048e-14
45,0.00042910583807943603,19.711175336478547,1053.1049028757334,217.12061658803634,26.033023236897524,28.009320348596507,211.02944521496872,1528.4859996893138,4.2020719607930862e-08,1.5320262148437906e-16,1.0661674123910048e-14
46,0.00042870018402055499,19.635679879824956,1052.1860578175024,219.22800300437606,25.993883092715777,28.009726993468075,217.88366905360965,1561.5558049532137,4.2550767844491587e-08,1.5320262148437906e-16,1.0661674123910048e-14
47,0.00042829931971501676,19.561323018790517,1051.2776684955188,221.30692453023704,25.954883974048524,28.010141926418449,224.80364878697344,1594.596908977423,4.3082602392903566e-08,1.5320262148437906e-16,1.0661674123910048e-14
48,0.0004279030925970163,19.488067909106398,1050.3794035467761,223.35830227234004,25.916024084987829,28.010565127670116,231.78850476314912,1627.6096349869324,4.3614680481733413e-08,1.5320262148437906e-16,1.0661674123910048e-14
49,0.00042751135801300861,19.415879625076467,1049.4909487694188,225.38300937308824,25.877301686825287,28.010996577696368,238.83738550485083,1660.5942960695718,4.4146510844703197e-08,1.5320262148437906e-16,1.0661674123910048e-14
50,0.00042712397865910597,19.344725022907213,1048.6120059032523,227.38187442731964,25.838715095108707,28.011436257212146,245.949466257094,1693.5511956956814,4.4675451683015806e-08,1.5320262148437906e-16,1.0661674123910048e-14
51,0.00042674082406887813,19.274572616294716,1047.7422915194657,229.35568459263206,25.800262676904055,28.011884147167187,253.1239476373062,1726.4806282012255,4.5205812781380801e-08,1.5320262148437906e-16,1.0661674123910048e-14
52,0.00042636177014615317,19.205392462952805,1046.8815360078654,231.30518842617985,25.761942848249774,28.012340228739014,260.36005437877355,1759.3828792375837,4.5736925864193961e-08,1.5320262148437906e-16,1.0661674123910048e-14
53,0.0004259866987380532,19.137156060927296,1046.0294826512957,233.23109847681761,25.72375407177978,28.012804483326221,267.65703415929607,1792.258226190924,4.6264294371387668e-08,1.5320262148437906e-16,1.0661674123910048e-14
54,0.00042561549724415407,19.069836253687416,1045.1858867783426,235.13409365781462,25.685694854508284,28.013276892541008,275.01415650776732,1825.1069385737396,4.6796371588250393e-08,1.5320262148437906e-16,1.0661674123910048e-14
55,0.00042524805825806426,19.003407143100645,1044.3505149862913,237.01482142248392,25.647763745755636,28.013757438204898,282.43071178214467,1857.9292783909016,4.7318799180929818e-08,1.5320262148437906e-16,1.0661674123910048e-14
56,0.00042488427923819847,18.937844009506883,1043.5231444273484,238.87389976232791,25.60995933521,28.014246102340433,289.90601021293446,1890.7255004823057,4.784752534093637e-08,1.5320262148437906e-16,1.0661674123910048e-14
57,0.00042452406220493084,18.873123238197369,1042.7035621520415,240.71191904506577,25.572280251109213,28.014742867167712,297.43938100689064,1923.4958528440081,4.8369052714756462e-08,1.5320262148437906e-16,1.0661674123910048e-14
58,0.00042416731346153579,18.809222251680993,1041.8915645041673,242.52944370797519,25.53472515853532,28.015247715097889,305.03017150614676,1956.2405769295626,4.8891207992102904e-08,1.5320262148437906e-16,1.0661674123910048e-14
59,0.00042381394333671022,18.74611944719198,1041.0869565625128,244.32701382020045,25.497292757812811,28.015760628728536,312.67774639845538,1988.9599079330806,4.9415839656082931e-08,1.5320262148437906e-16,1.0661674123910048e-14
60,0.00042346386594665147,18.683794138951555,1040.2895516249632,246.10514652621109,25.459981783003077,28.016281590838076,320.381486974609,2021.6540750554514,4.9939808450654914e-08,1.5320262148437906e-16,1.0661674123910048e-14
61,0.00042311663260148434,18.622275379386195,1039.4982216267811,247.91978218201169,25.422792328539501,28.016811890743131,328.14166516317368,2054.323286974728,5.0464976723203362e-08,1.5320262148437906e-16,1.0661674123910048e-14
62,0.00042277253335575661,18.56153512900449,1038.7137105355889,249.71495510822103,25.385724483557496,28.017352781026105,335.95854299111778,2086.9677460164075,5.0988982314787998e-08,1.5320262148437906e-16,1.0661674123910048e-14
63,0.00042243149149941356,18.501540864416867,1037.935865690212,251.49147838957822,25.348777040137652,28.017904209404104,343.83152326423971,2119.5876640353986,5.1508951570553316e-08,1.5320262148437906e-16,1.0661674123910048e-14
64,0.00042209343392006303,18.442269978446816,1037.1645331678596,253.24991720549619,25.311948828128813,28.018466133164779,351.76002922920372,2152.1832480310204,5.2031782622421246e-08,1.5320262148437906e-16,1.0661674123910048e-14
65,0.00042175829048056917,18.383702701210755,1036.3995633760569,254.99076580306445,25.275238709148013,28.019038514196975,359.74350063915745,2184.7547002314045,5.2557603387968958e-08,1.5320262148437906e-16,1.0661674123910048e-14
