r_m,T_C,T0_C
0,10.301614507243952,33.575344825406717
1.5625000000000001e-06,10.301614511290337,33.575344844598739
3.1250000000000001e-06,10.301614523429588,33.575344902174983
4.6875000000000004e-06,10.301614543661682,33.575344998135492
6.2500000000000003e-06,10.301614571986605,33.575345132480059
7.8125000000000002e-06,10.301614608404364,33.575345305208906
9.3750000000000009e-06,10.30161465291499,33.575345516321882
1.09375e-05,10.30161470551845,33.575345765819009
1.2500000000000001e-05,10.30161476621476,33.575346053700287
1.4062500000000001e-05,10.301614835003896,33.575346379965808
1.5625e-05,10.301614911885899,33.575346744615501
1.7187500000000001e-05,10.301614996860781,33.575347147649403
1.8750000000000002e-05,10.301615089928546,33.575347589067519
2.0312500000000002e-05,10.30161519108918,33.575348068869651
2.1875e-05,10.301615300342682,33.575348587056176
2.34375e-05,10.301615417689082,33.575349143626937
2.5000000000000001e-05,10.30161554312841,33.5753497385816
2.6562500000000002e-05,10.301615676660678,33.575350371920543
2.8125000000000003e-05,10.301615818285788,33.575351043643835
2.96875e-05,10.301615968003919,33.5753517537512
3.1250000000000001e-05,10.301616125814915,33.57535250224263
3.2812500000000005e-05,10.301616291718917,33.575353289118361
3.4375000000000002e-05,10.30161646571589,33.575354114378186
3.5937499999999999e-05,10.30161664780584,33.575354978022197
3.7500000000000003e-05,10.301616837988782,33.575355880050573
3.9062500000000001e-05,10.301617036264728,33.575356820463092
4.0625000000000005e-05,10.301617242633725,33.575357799259677
4.2187500000000002e-05,10.301617457095725,33.575358816440463
4.375e-05,10.301617679650819,33.575359872005443
4.5312500000000004e-05,10.301617910299008,33.575360965954644
4.6875000000000001e-05,10.301618149040252,33.575362098288068
4.8437500000000005e-05,10.301618395874613,33.57536326900582
5.0000000000000002e-05,10.30161865080213,33.575364478107453
5.15625e-05,10.301618913822761,33.575365725593421
5.3125000000000004e-05,10.301619184936614,33.575367011463648
5.4687500000000001e-05,10.301619464143608,33.575368335718018
5.6250000000000005e-05,10.301619751443837,33.575369698356603
5.7812500000000003e-05,10.301620046837277,33.575371099379325
5.9375e-05,10.301620350324011,33.575372538786276
6.0937500000000004e-05,10.301620661903977,33.575374016577463
6.2500000000000001e-05,10.301620981577274,33.575375532752773
6.4062500000000005e-05,10.301621309343941,33.575377087312319
6.5625000000000009e-05,10.301621645203877,33.57537868025608
6.71875e-05,10.301621989157251,33.575380311583991
6.8750000000000004e-05,10.301622341204018,33.575381981296168
