x,y,J,J_lower,P_H,P_N,P_A,P20,E_radius,safe_margin,angle_calls
750,350,3504.47767221317,3504.47767221317,0,0,0.999999999061689,0.382585734450694,29.3799455142281,176.843134202929,774
750,360,3410.99378824446,3410.99378824445,0,0,1.00000000379945,0.385781368109128,29.0793918958937,172.540652992849,738
750,370,3325.45817785013,3325.45817785012,0,0,0.999999997939099,0.388661676603453,28.802972501643,168.140206410873,630
750,380,3247.09383703331,3247.09383703331,0,0,0.999999996853838,0.391233377522283,28.5487640825342,163.64334077453,738
750,390,3175.21927448487,3175.21927448486,0,0,0.999999999387351,0.393502887856334,28.3150520815582,159.051602848645,774
750,400,3109.23309273218,3109.23309273217,0,0,0.999999995217395,0.395476306586824,28.100284437683,154.366538083978,738
750,410,3048.60425024418,3048.60425024417,0,0,1.0000000053068,0.397159397073333,27.9030672315971,149.589688942614,702
750,420,2992.8617757142,2992.86177571419,0,0,1.00000000085055,0.398557569202975,27.7221378205585,144.722593310589,702
750,430,2941.58714983856,2941.58714983855,0,0,0.999999999559595,0.399675861224975,27.5563537833548,139.766782997769,738
750,440,2894.40721902025,2894.40721902025,0,0,0.999999992654204,0.400518921164692,27.4046762565413,134.723782324597,702
750,450,2850.98835595055,2850.98835595055,0,0,0.999999998593548,0.401090987675592,27.2661579796551,129.59510679495,702
750,460,2811.03234814905,2811.03234814904,0,0,0.999999996463988,0.401395870153627,27.1399417527963,124.382261853988,702
750,470,2774.27032356532,2774.27032356531,0,0,1.00000000320595,0.401436927900924,27.0252327659987,119.086741729594,738
750,480,2740.46126416299,2740.46126416298,0,0,1.0000000004866,0.401217048084742,26.9213131262606,113.710028355716,738
750,490,2709.38785968484,2709.38785968483,0,0,1.0000000013112,0.400738622192071,26.8275249181438,108.253590375678,738
750,500,2680.85323449769,2680.85323449769,0,0,0.999999999614809,0.400003520629508,26.7432585141675,102.718882223351,702
750,510,2654.67907254296,2654.67907254295,0,0,0.999999999121523,0.399013065055883,26.6679525325606,97.1073432798574,666
750,520,2630.70369649971,2630.7036964997,0,0,0.999999999369497,0.397767997968255,26.6010905462989,91.4203971033683,666
750,530,2608.78022761979,2608.78022761978,0,0,1.00000000082466,0.396268448972042,26.5421965263716,85.6594507294097,630
750,540,2588.7756803949,2588.77568039489,0,0,0.999999999846248,0.394513897070458,26.4908377295765,79.8258940390202,666
750,550,2570.56723139965,2570.56723139965,0,0,1.00000000080548,0.392503128178877,26.4465982151458,73.9210991920115,738
