974.0,604.0
974.0,605.0
974.0,606.0
974.0,607.0
974.0,608.0
974.0,609.0
974.0,610.0
974.0,611.0
974.0,612.0
974.0,613.0
974.0,614.0
974.0,615.0
974.0,616.0
975.0,604.0
975.0,605.0
975.0,606.0
975.0,607.0
975.0,608.0
975.0,609.0
975.0,610.0
975.0,611.0
975.0,612.0
975.0,613.0
975.0,614.0
975.0,615.0
975.0,616.0
976.0,604.0
976.0,605.0
976.0,606.0
976.0,607.0
976.0,608.0
976.0,609.0
976.0,610.0
976.0,611.0
976.0,612.0
976.0,613.0
976.0,614.0
976.0,615.0
976.0,616.0
977.0,604.0
977.0,605.0
977.0,606.0
977.0,607.0
977.0,608.0
977.0,609.0
977.0,610.0
977.0,611.0
977.0,612.0
977.0,613.0
977.0,614.0
977.0,615.0
977.0,616.0
978.0,604.0
978.0,605.0
978.0,606.0
978.0,607.0
978.0,608.0
978.0,609.0
978.0,610.0
978.0,611.0
978.0,612.0
978.0,613.0
978.0,614.0
978.0,615.0
978.0,616.0
979.0,604.0
979.0,605.0
979.0,606.0
979.0,607.0
979.0,608.0
979.0,609.0
979.0,610.0
979.0,611.0
979.0,612.0
979.0,613.0
979.0,614.0
979.0,615.0
979.0,616.0
980.0,604.0
980.0,605.0
980.0,606.0
980.0,607.0
980.0,608.0
980.0,609.0
980.0,610.0
980.0,611.0
980.0,612.0
980.0,613.0
980.0,614.0
980.0,615.0
980.0,616.0
981.0,604.0
981.0,605.0
981.0,606.0
981.0,607.0
981.0,608.0
981.0,609.0
981.0,610.0
981.0,611.0
981.0,612.0
981.0,613.0
981.0,614.0
981.0,615.0
981.0,616.0
982.0,604.0
982.0,605.0
982.0,606.0
982.0,607.0
982.0,608.0
982.0,609.0
982.0,610.0
982.0,611.0
982.0,612.0
982.0,613.0
982.0,614.0
982.0,615.0
982.0,616.0
983.0,604.0
983.0,605.0
983.0,606.0
983.0,607.0
983.0,608.0
983.0,609.0
983.0,610.0
983.0,611.0
983.0,612.0
983.0,613.0
983.0,614.0
983.0,615.0
983.0,616.0
984.0,604.0
984.0,605.0
984.0,606.0
984.0,607.0
984.0,608.0
984.0,609.0
984.0,610.0
984.0,611.0
984.0,612.0
984.0,613.0
984.0,614.0
984.0,615.0
984.0,616.0
985.0,604.0
985.0,605.0
985.0,606.0
985.0,607.0
985.0,608.0
985.0,609.0
985.0,610.0
985.0,611.0
985.0,612.0
985.0,613.0
985.0,614.0
985.0,615.0
985.0,616.0
986.0,604.0
986.0,605.0
986.0,606.0
986.0,607.0
986.0,608.0
986.0,609.0
986.0,610.0
986.0,611.0
986.0,612.0
986.0,613.0
986.0,614.0
986.0,615.0
986.0,616.0
