930.0,530.0
930.0,535.0
930.0,540.0
930.0,545.0
930.0,550.0
930.0,555.0
930.0,560.0
930.0,565.0
930.0,570.0
930.0,575.0
930.0,580.0
930.0,585.0
930.0,590.0
930.0,595.0
930.0,600.0
930.0,605.0
930.0,610.0
930.0,615.0
930.0,620.0
930.0,625.0
930.0,630.0
930.0,635.0
930.0,640.0
930.0,645.0
930.0,650.0
930.0,655.0
930.0,660.0
930.0,665.0
930.0,670.0
935.0,530.0
935.0,535.0
935.0,540.0
935.0,545.0
935.0,550.0
935.0,555.0
935.0,560.0
935.0,565.0
935.0,570.0
935.0,575.0
935.0,580.0
935.0,585.0
935.0,590.0
935.0,595.0
935.0,600.0
935.0,605.0
935.0,610.0
935.0,615.0
935.0,620.0
935.0,625.0
935.0,630.0
935.0,635.0
935.0,640.0
935.0,645.0
935.0,650.0
935.0,655.0
935.0,660.0
935.0,665.0
935.0,670.0
940.0,530.0
940.0,535.0
940.0,540.0
940.0,545.0
940.0,550.0
940.0,555.0
940.0,560.0
940.0,565.0
940.0,570.0
940.0,575.0
940.0,580.0
940.0,585.0
940.0,590.0
940.0,595.0
940.0,600.0
940.0,605.0
940.0,610.0
940.0,615.0
940.0,620.0
940.0,625.0
940.0,630.0
940.0,635.0
940.0,640.0
940.0,645.0
940.0,650.0
940.0,655.0
940.0,660.0
940.0,665.0
940.0,670.0
945.0,530.0
945.0,535.0
945.0,540.0
945.0,545.0
945.0,550.0
945.0,555.0
945.0,560.0
945.0,565.0
945.0,570.0
945.0,575.0
945.0,580.0
945.0,585.0
945.0,590.0
945.0,595.0
945.0,600.0
945.0,605.0
945.0,610.0
945.0,615.0
945.0,620.0
945.0,625.0
945.0,630.0
945.0,635.0
945.0,640.0
945.0,645.0
945.0,650.0
945.0,655.0
945.0,660.0
945.0,665.0
945.0,670.0
950.0,530.0
950.0,535.0
950.0,540.0
950.0,545.0
950.0,550.0
950.0,555.0
950.0,560.0
950.0,565.0
950.0,570.0
950.0,575.0
950.0,580.0
950.0,585.0
950.0,590.0
950.0,595.0
950.0,600.0
950.0,605.0
950.0,610.0
950.0,615.0
950.0,620.0
950.0,625.0
950.0,630.0
950.0,635.0
950.0,640.0
950.0,645.0
950.0,650.0
950.0,655.0
950.0,660.0
950.0,665.0
950.0,670.0
955.0,530.0
955.0,535.0
955.0,540.0
955.0,545.0
955.0,550.0
955.0,555.0
955.0,560.0
955.0,565.0
955.0,570.0
955.0,575.0
955.0,580.0
955.0,585.0
955.0,590.0
955.0,595.0
955.0,600.0
955.0,605.0
955.0,610.0
955.0,615.0
955.0,620.0
955.0,625.0
955.0,630.0
955.0,635.0
955.0,640.0
955.0,645.0
955.0,650.0
955.0,655.0
955.0,660.0
955.0,665.0
955.0,670.0
960.0,530.0
960.0,535.0
960.0,540.0
960.0,545.0
960.0,550.0
960.0,555.0
960.0,560.0
960.0,565.0
960.0,570.0
960.0,575.0
960.0,580.0
960.0,585.0
960.0,590.0
960.0,595.0
960.0,600.0
960.0,605.0
960.0,610.0
960.0,615.0
960.0,620.0
960.0,625.0
960.0,630.0
960.0,635.0
960.0,640.0
960.0,645.0
960.0,650.0
960.0,655.0
960.0,660.0
960.0,665.0
960.0,670.0
965.0,530.0
965.0,535.0
965.0,540.0
965.0,545.0
965.0,550.0
965.0,555.0
965.0,560.0
965.0,565.0
965.0,570.0
965.0,575.0
965.0,580.0
965.0,585.0
965.0,590.0
965.0,595.0
965.0,600.0
965.0,605.0
965.0,610.0
965.0,615.0
965.0,620.0
965.0,625.0
965.0,630.0
965.0,635.0
965.0,640.0
965.0,645.0
965.0,650.0
965.0,655.0
965.0,660.0
965.0,665.0
965.0,670.0
970.0,530.0
