time_s,j_water_kg_m2_s,T_surface_C,latent_W_m2,convective_W_m2,mean_T_C,mean_T0_C,cum_conv_J,cum_latent_J,energy_balance_J,max_linear_backward_error,max_scaled_residual
0,0.00046758386478873242,28,1138.3516221827606,0,27.999999999999986,27.999999999999986,0,0,0,0,0
1,0.0004616190210350645,26.570302855137257,1125.3941131601459,35.962428621568506,27.948141743925781,28.00000507175643,0.75678666025708918,35.490801136593916,-1.0864566932704907e-09,1.4212831329526363e-16,9.9855938163372746e-15
2,0.00045917233729300319,25.999147177170549,1120.0508269866618,50.461320570736312,27.897535602953987,28.000020143736911,2.1279515302411092,70.757329371379384,-2.285106464461218e-09,1.4378149050855197e-16,9.9855938163372746e-15
3,0.00045730453877853363,25.569087781628692,1115.9608430801666,61.432805459282669,27.847732909180277,28.000045077817305,3.8917306100418516,105.87833288362825,-2.4129918551392013e-09,1.4378149050855197e-16,9.9855938163372746e-15
4,0.00045573628326419025,25.212006224889553,1112.5195091703749,70.579844377761162,27.798573671297202,28.000079772392166,5.9690626166533587,140.88191057576208,-2.5646670485778539e-09,1.4378149050855197e-16,9.9855938163372746e-15
5,0.00045435943995126638,24.901525295393405,1109.4927672575832,78.5618676151648,27.749965478166786,28.000124143097004,8.3142912385842251,175.78430196638027,-2.7431335845110816e-09,1.4378149050855197e-16,9.9855938163372746e-15
6,0.00045311854941625795,24.624121023291497,1106.760559218143,85.716974417712606,27.701846011342553,28.000178116359216,10.896635080497953,210.5964657798815,-2.9050079376140765e-09,1.4378149050855197e-16,9.9855938163372746e-15
7,0.00045198066620917164,24.371761813510979,1104.2515587379635,92.2459546622255,27.654169545527896,28.000241626204406,13.693513917252641,245.32644802562268,-3.0665997515695546e-09,1.4378149050855197e-16,9.9855938163372746e-15
8,0.00045092432499478077,24.139216097955686,1101.9192898314961,98.279597551107841,27.606900671134554,28.000314612387442,16.6874455876337,279.98048344399331,-3.2348200961116624e-09,1.4378149050855197e-16,9.9855938163372746e-15
9,0.00044993465706527429,23.922850926703319,1099.7315680998245,103.90872683241703,27.56001091204547,28.000397019182202,19.86437540853133,314.56359029985981,-4.3533558495156e-09,1.4378149050855197e-16,9.9855938163372746e-15
10,0.00044900075474804338,23.720022034678024,1097.6647580723625,109.19944913304943,27.513476723893913,28.000488794553338,23.212685073231956,349.0799200109056,-5.4701708193976891e-09,1.4378149050855197e-16,9.9855938163372746e-15
11,0.00044811442757339797,23.528733751006442,1095.7011227347398,114.20165622483891,27.467278218767685,28.000589889544351,26.722561550731449,383.53298022254955,-6.5961368226612917e-09,1.4378149050855197e-16,9.9855938163372746e-15
