r_m,T_C,T0_C
0,10.30161443308484,33.575344821820828
1.5625000000000001e-06,10.301614437131194,33.575344841012793
3.1250000000000001e-06,10.301614449270479,33.575344898589222
4.6875000000000004e-06,10.301614469502534,33.575344994549567
6.2500000000000003e-06,10.301614497827506,33.575345128894234
7.8125000000000002e-06,10.301614534245232,33.575345301623102
9.3750000000000009e-06,10.301614578755775,33.575345512736021
1.09375e-05,10.301614631359303,33.575345762233198
1.2500000000000001e-05,10.301614692055569,33.575346050114646
1.4062500000000001e-05,10.30161476084473,33.575346376380281
1.5625e-05,10.301614837726804,33.575346741029769
1.7187500000000001e-05,10.301614922701667,33.575347144063841
1.8750000000000002e-05,10.301615015769425,33.575347585481921
2.0312500000000002e-05,10.30161511693009,33.575348065284075
2.1875e-05,10.301615226183669,33.5753485834706
2.34375e-05,10.301615343530015,33.575349140041112
2.5000000000000001e-05,10.301615468969366,33.575349734995847
2.6562500000000002e-05,10.301615602501625,33.575350368334909
2.8125000000000003e-05,10.30161574412678,33.575351040058017
2.96875e-05,10.301615893844925,33.575351750165439
3.1250000000000001e-05,10.301616051655953,33.575352498656983
3.2812500000000005e-05,10.301616217559966,33.575353285532593
3.4375000000000002e-05,10.301616391556985,33.575354110792581
3.5937499999999999e-05,10.301616573646928,33.575354974436628
3.7500000000000003e-05,10.301616763829884,33.575355876464847
3.9062500000000001e-05,10.301616962105863,33.575356816877296
4.0625000000000005e-05,10.301617168474841,33.575357795674044
4.2187500000000002e-05,10.301617382936945,33.575358812854716
4.375e-05,10.301617605492108,33.575359868419866
4.5312500000000004e-05,10.301617836140284,33.575360962369032
4.6875000000000001e-05,10.301618074881526,33.575362094702484
4.8437500000000005e-05,10.30161832171588,33.575363265420201
5.0000000000000002e-05,10.301618576643476,33.57536447452204
5.15625e-05,10.301618839664123,33.575365722007973
5.3125000000000004e-05,10.301619110778001,33.575367007878135
5.4687500000000001e-05,10.301619389985058,33.575368332132378
5.6250000000000005e-05,10.301619677285295,33.575369694771069
5.7812500000000003e-05,10.301619972678784,33.575371095793777
5.9375e-05,10.301620276165536,33.575372535200792
6.0937500000000004e-05,10.301620587745603,33.57537401299205
6.2500000000000001e-05,10.301620907418926,33.575375529167246
6.4062500000000005e-05,10.301621235185618,33.575377083726792
6.5625000000000009e-05,10.301621571045576,33.575378676670518
6.71875e-05,10.301621914999016,33.575380307998564
6.8750000000000004e-05,10.301622267045817,33.575381977710876
7.0312500000000008e-05,10.301622627186127,33.575383685807132
7.1874999999999999e-05,10.301622995419821,33.575385432287682
7.3437500000000003e-05,10.301623371746997,33.575387217152539
7.5000000000000007e-05,10.301623756167663,33.575389040401518
7.6562499999999998e-05,10.301624148681954,33.575390902034741
7.8125000000000002e-05,10.301624549289727,33.575392802052157
7.9687500000000006e-05,10.301624957991182,33.575394740453859
8.125000000000001e-05,10.301625374786267,33.575396717239641
8.28125e-05,10.301625799674969,33.575398732409674
8.4375000000000004e-05,10.301626232657405,33.575400785963858
8.5937500000000009e-05,10.301626673733621,33.575402877902427
8.7499999999999999e-05,10.301627122903538,33.575405008225182
8.9062500000000003e-05,10.30162758016731,33.575407176932117
9.0625000000000007e-05,10.301628045524835,33.575409384023267
9.2187499999999998e-05,10.301628518976363,33.575411629498682
9.3750000000000002e-05,10.301629000521739,33.575413913358311
9.5312500000000006e-05,10.301629490161057,33.57541623560212
9.687500000000001e-05,10.301629987894374,33.575418596230371
9.8437500000000001e-05,10.301630493721659,33.575420995242624
0.0001,10.301631007643049,33.575423432639234
0.00010156250000000001,10.301631529658524,33.575425908420009
0.000103125,10.301632059768194,33.57542842258497
0.0001046875,10.301632597972011,33.575430975134175
0.00010625000000000001,10.30163314427004,33.575433566067623
0.00010781250000000001,10.301633698662274,33.575436195385485
0.000109375,10.301634261148855,33.575438863087349
0.00011093750000000001,10.301634831729814,33.575441569173769
0.00011250000000000001,10.301635410405156,33.575444313644148
0.0001140625,10.301635997174921,33.57544709649882
0.00011562500000000001,10.301636592039127,33.575449917737764
0.00011718750000000001,10.301637194997955,33.575452777361043
0.00011875,10.301637806051263,33.575455675368346
0.0001203125,10.301638425199254,33.575458611760148
0.00012187500000000001,10.301639052441796,33.575461586536036
0.00012343750000000001,10.301639687779158,33.575464599696446
0.000125,10.301640331211299,33.575467651240977
0.00012656249999999999,10.301640982738155,33.575470741169745
0.00012812500000000001,10.301641642359957,33.575473869482749
0.0001296875,10.301642310076652,33.575477036180111
0.00013125000000000002,10.301642985888297,33.575480241261729
0.00013281250000000001,10.301643669794972,33.575483484727528
0.000134375,10.301644361796614,33.575486766577711
0.00013593750000000002,10.301645061893476,33.575490086812074
0.00013750000000000001,10.301645770085518,33.575493445430823
0.0001390625,10.30164648637272,33.575496842433928
0.00014062500000000002,10.301647210755242,33.575500277821135
0.00014218750000000001,10.301647943233057,33.575503751592663
0.00014375,10.301648683806295,33.575507263748548
0.00014531250000000002,10.301649432475008,33.57551081428872
0.00014687500000000001,10.301650189239169,33.575514403213333
0.0001484375,10.301650954098905,33.575518030521998
0.00015000000000000001,10.301651727054235,33.575521696215006
0.0001515625,10.301652508105377,33.575525400292257
0.000153125,10.301653297252148,33.575529142753915
0.00015468750000000001,10.301654094494717,33.575532923599823
0.00015625,10.301654899833181,33.575536742830124
0.00015781250000000002,10.301655713267502,33.57554060044469
0.00015937500000000001,10.301656534797907,33.57554449644352
0.0001609375,10.301657364424258,33.575548430826792
0.00016250000000000002,10.301658202146731,33.575552403594202
0.00016406250000000001,10.301659047965424,33.57555641474606
0.000165625,10.301659901880372,33.575560464282248
0.00016718750000000002,10.301660763891604,33.5755645522027
0.00016875000000000001,10.301661633999171,33.575568678507594
0.0001703125,10.301662512203125,33.575572843196632
0.00017187500000000002,10.301663398503621,33.575577046270162
0.00017343750000000001,10.301664292900782,33.57558128772812
0.000175,10.301665195394449,33.575585567570272
0.00017656250000000002,10.301666105984928,33.575589885796774
0.00017812500000000001,10.301667024672101,33.575594242407639
0.0001796875,10.301667951456093,33.575598637402912
0.00018125000000000001,10.301668886337074,33.575603070782535
0.00018281250000000001,10.301669829315053,33.575607542546535
0.000184375,10.301670780390104,33.575612052694787
0.00018593750000000001,10.301671739562208,33.57561660122748
0.0001875,10.301672706831585,33.575621188144552
0.00018906250000000002,10.301673682198276,33.575625813446017
0.00019062500000000001,10.301674665662189,33.575630477131753
0.0001921875,10.301675657223608,33.57563517920206
0.00019375000000000002,10.30167665688252,33.575639919656531
0.00019531250000000001,10.301677664639081,33.575644698495701
0.000196875,10.301678680493179,33.575649515718993
0.00019843750000000002,10.301679704445057,33.575654371326806
0.00020000000000000001,10.301680736494792,33.575659265318869
0.0002015625,10.301681776642422,33.575664197695545
0.00020312500000000002,10.301682824887905,33.575669168456422
0.00020468750000000001,10.301683881231524,33.575674177601812
0.00020625,10.301684945673307,33.57567922513158
0.00020781250000000002,10.301686018213262,33.575684311045755
0.00020937500000000001,10.301687098851559,33.575689435344287
0.0002109375,10.301688187588169,33.57569459802734
0.00021250000000000002,10.301689284423242,33.57569979909487
0.00021406250000000001,10.301690389356894,33.57570503854658
0.00021562500000000002,10.301691502389104,33.57571031638296
0.00021718750000000001,10.301692623520074,33.575715632603732
0.00021875,10.30169375274985,33.575720987208868
0.00022031250000000002,10.301694890078526,33.575726380198404
0.00022187500000000001,10.30169603550612,33.575731811572517
0.0002234375,10.301697189032783,33.575737281331122
0.00022500000000000002,10.30169835065861,33.575742789473999
0.00022656250000000001,10.301699520383686,33.575748336001311
0.000228125,10.301700698208002,33.575753920913215
0.00022968750000000002,10.301701884131813,33.575759544209568
0.00023125000000000001,10.3017030781551,33.575765205890427
0.0002328125,10.301704280278015,33.575770905955757
0.00023437500000000002,10.301705490500584,33.57577664440543
0.00023593750000000001,10.301706708822907,33.575782421239744
0.0002375,10.301707935245142,33.575788236458457
0.00023906250000000002,10.301709169767316,33.575794090061592
0.00024062500000000001,10.30171041238958,33.575799982049318
0.0002421875,10.301711663111952,33.575805912421558
0.00024375000000000002,10.301712921934653,33.575811881178169
0.00024531250000000003,10.301714188857598,33.575817888319492
0.00024687500000000002,10.301715463881019,33.575823933845314
0.00024843750000000001,10.301716747005079,33.575830017755436
0.00025000000000000001,10.301718038229616,33.575836140050292
0.0002515625,10.301719337554971,33.575842300729576
0.00025312499999999999,10.301720644981154,33.575848499793253
0.00025468750000000003,10.301721960508287,33.575854737241656
0.00025625000000000002,10.301723284136452,33.575861013074643
0.00025781250000000001,10.301724615865657,33.575867327292087
0.000259375,10.301725955696174,33.575873679894045
0.00026093749999999999,10.30172730362804,33.575880070880537
0.00026250000000000004,10.301728659661384,33.575886500251485
0.00026406250000000003,10.301730023796235,33.575892968007182
0.00026562500000000002,10.301731396032643,33.575899474147263
0.00026718750000000001,10.301732776370887,33.575906018672065
0.00026875,10.301734164811002,33.575912601581379
0.00027031249999999999,10.301735561353089,33.575919222875214
0.00027187500000000004,10.301736965997245,33.575925882553676
0.00027343750000000003,10.301738378743522,33.575932580616787
0.00027500000000000002,10.301739799592109,33.575939317064417
0.00027656250000000001,10.301741228543106,33.575946091896654
0.000278125,10.30174266559662,33.575952905113539
0.00027968749999999999,10.30174411075267,33.575959756714916
0.00028125000000000003,10.301745564011522,33.575966646701076
0.00028281250000000002,10.301747025373162,33.575973575071707
0.00028437500000000001,10.301748494837772,33.575980541826993
0.0002859375,10.301749972405455,33.575987546966907
0.0002875,10.301751458076239,33.575994590491341
0.00028906250000000004,10.301752951850373,33.576001672400551
0.00029062500000000003,10.301754453727895,33.576008792694381
0.00029218750000000002,10.301755963708878,33.57601595137281
0.00029375000000000001,10.301757481793503,33.576023148435894
0.0002953125,10.301759007981881,33.576030383883719
0.00029687499999999999,10.301760542274142,33.576037657716057
0.00029843750000000004,10.301762084670365,33.576044969933058
0.00030000000000000003,10.30176363517063,33.576052320534814
0.00030156250000000002,10.301765193775209,33.576059709521267
0.00030312500000000001,10.301766760483995,33.576067136892306
0.0003046875,10.301768335297233,33.576074602648077
0.00030624999999999999,10.301769918215106,33.576082106788455
0.00030781250000000003,10.301771509237701,33.576089649313417
0.00030937500000000003,10.301773108365069,33.576097230223517
0.00031093750000000002,10.301774715597364,33.576104849518117
0.00031250000000000001,10.301776330934695,33.576112507197315
0.0003140625,10.301777954377187,33.576120203261318
0.00031562500000000004,10.301779585925004,33.576127937709927
0.00031718750000000003,10.301781225578278,33.576135710543383
0.00031875000000000002,10.301782873337052,33.576143521761537
0.00032031250000000001,10.301784529201546,33.576151371364467
0.000321875,10.301786193171869,33.576159259352103
0.00032343749999999999,10.301787865248045,33.576167185724486
0.00032500000000000004,10.301789545430365,33.576175150481646
0.00032656250000000003,10.301791233718765,33.576183153623575
0.00032812500000000002,10.301792930113569,33.576191195150209
0.00032968750000000001,10.301794634614795,33.576199275061718
0.00033125,10.301796347222584,33.57620739335799
0.00033281249999999999,10.301798067937098,33.576215550038981
0.00033437500000000004,10.301799796758395,33.576223745104656
0.00033593750000000003,10.301801533686683,33.576231978555199
0.00033750000000000002,10.301803278722106,33.576240250390704
0.00033906250000000001,10.301805031864671,33.576248560610942
0.000340625,10.30180679311472,33.576256909215836
0.00034218749999999999,10.301808562472157,33.576265296205634
0.00034375000000000003,10.301810339937283,33.576273721580257
0.00034531250000000002,10.301812125510196,33.576282185339814
0.00034687500000000002,10.301813919190927,33.576290687484175
0.00034843750000000001,10.301815720979821,33.576299228013333
0.00035,10.301817530876834,33.576307806927268
0.00035156250000000004,10.301819348882198,33.576316424226121
0.00035312500000000003,10.301821174995952,33.576325079909665
0.00035468750000000002,10.301823009218325,33.576333773978249
0.00035625000000000001,10.301824851549458,33.576342506431693
0.0003578125,10.301826701989464,33.57635127726985
0.00035937499999999999,10.301828560538501,33.576360086493153
0.00036093750000000004,10.301830427196652,33.576368934101176
0.00036250000000000003,10.301832301964154,33.576377820094116
0.00036406250000000002,10.301834184841091,33.576386744471982
0.00036562500000000001,10.301836075827524,33.576395707234703
0.0003671875,10.30183797492376,33.576404708382384
0.00036874999999999999,10.301839882129926,33.576413747915069
0.00037031250000000004,10.301841797446043,33.576422825832609
0.00037187500000000003,10.30184372087232,33.576431942135081
0.00037343750000000002,10.301845652408916,33.57644109682245
0.00037500000000000001,10.30184759205598,33.57645028989473
0.0003765625,10.301849539813738,33.576459521352092
0.00037812500000000004,10.301851495682156,33.576468791194237
0.00037968750000000003,10.301853459661448,33.576478099421507
0.00038125000000000002,10.301855431751912,33.576487446033681
0.00038281250000000001,10.30185741195349,33.576496831030809
0.00038437500000000001,10.301859400266457,33.576506254412955
0.0003859375,10.301861396690978,33.576515716180225
0.00038750000000000004,10.301863401227084,33.576525216332364
0.00038906250000000003,10.301865413875015,33.576534754869478
0.00039062500000000002,10.301867434634923,33.576544331791688
0.00039218750000000001,10.301869463506984,33.57655394709888
0.00039375,10.301871500491258,33.57656360079104
0.00039531249999999999,10.301873545588004,33.576573292868133
0.00039687500000000004,10.301875598797352,33.576583023330421
0.00039843750000000003,10.301877660119425,33.576592792177763
0.00040000000000000002,10.301879729554399,33.576602599410208
0.00040156250000000001,10.301881807102454,33.576612445027607
0.000403125,10.301883892763643,33.576622329030037
0.00040468750000000005,10.301885986538297,33.57663225141772
0.00040625000000000004,10.301888088426445,33.576642212190279
0.00040781250000000003,10.301890198428358,33.576652211347934
0.00040937500000000002,10.301892316544016,33.576662248890791
0.00041093750000000001,10.301894442773731,33.576672324818617
0.0004125,10.301896577117587,33.576682439131645
0.00041406250000000004,10.30189871957584,33.57669259182979
0.00041562500000000003,10.301900870148581,33.576702782913024
0.00041718750000000002,10.301903028836001,33.576713012381362
0.00041875000000000001,10.301905195638255,33.576723280235008
0.0004203125,10.301907370555524,33.576733586473566
0.000421875,10.301909553587908,33.576743931097326
0.00042343750000000004,10.301911744735591,33.576754314106374
0.00042500000000000003,10.301913943998862,33.576764735500525
0.00042656250000000002,10.301916151377844,33.576775195279779
0.00042812500000000001,10.301918366872531,33.576785693444144
0.0004296875,10.301920590483173,33.576796229993832
0.00043125000000000005,10.301922822210081,33.576806804928658
0.00043281250000000004,10.301925062053336,33.576817418248716
0.00043437500000000003,10.301927310013122,33.576828069953997
0.00043593750000000002,10.301929566089544,33.576838760044531
0.00043750000000000001,10.301931830282799,33.576849488520288
0.0004390625,10.301934102593227,33.576860255381099
0.00044062500000000004,10.301936383020681,33.576871060627219
0.00044218750000000003,10.301938671565482,33.576881904258641
0.00044375000000000003,10.301940968227909,33.576892786275359
0.00044531250000000002,10.301943273008106,33.576903706677243
0.00044687500000000001,10.301945585906166,33.576914665464471
0.0004484375,10.301947906922299,33.576925662636924
0.00045000000000000004,10.301950236056612,33.576936698194714
0.00045156250000000003,10.301952573309494,33.576947772137785
0.00045312500000000002,10.301954918680899,33.576958884466144
0.00045468750000000001,10.301957272171142,33.576970035179755
0.00045625,10.301959633780289,33.576981224278732
0.00045781250000000005,10.301962003508606,33.576992451762997
0.00045937500000000004,10.301964381356186,33.577003717632692
0.00046093750000000003,10.301966767323384,33.57701502188764
0.00046250000000000002,10.301969161410216,33.577026364528024
0.00046406250000000001,10.301971563616879,33.57703774555366
0.000465625,10.301973973943676,33.577049164964684
0.00046718750000000005,10.301976392390674,33.577060622761081
0.00046875000000000004,10.301978818958069,33.577072118942837
0.00047031250000000003,10.30198125364614,33.577083653509909
0.00047187500000000002,10.301983696454903,33.57709522646266
0.00047343750000000001,10.301986147384703,33.577106837800606
0.000475,10.301988606435632,33.577118487524025
0.00047656250000000004,10.301991073607963,33.577130175632803
0.00047812500000000003,10.301993548901823,33.577141902126932
0.00047968750000000002,10.301996032317444,33.577153667006662
0.00048125000000000002,10.301998523854943,33.577165470271666
0.00048281250000000001,10.302001023514501,33.577177311922107
0.000484375,10.302003531296412,33.577189191958198
0.00048593750000000004,10.302006047200759,33.577201110379782
0.00048750000000000003,10.302008571227852,33.577213067186683
0.00048906250000000002,10.302011103377785,33.577225062379277
0.00049062500000000007,10.302013643650842,33.577237095957152
0.0004921875,10.302016192047065,33.577249167920527
0.00049375000000000005,10.302018748566761,33.577261278269518
0.00049531249999999998,10.302021313210149,33.577273427003952
0.00049687500000000003,10.30202388597737,33.577285614123817
0.00049843750000000007,10.302026466868567,33.577297839629459
0.00050000000000000001,10.302029055884015,33.577310103520531
0.00050156250000000006,10.302031653023992,33.577322405797212
0.00050312499999999999,10.30203425828852,33.577334746459321
0.00050468750000000004,10.302036871677872,33.577347125506996
0.00050624999999999997,10.302039493192291,33.577359542940457
0.00050781250000000002,10.302042122831928,33.57737199875924
