theta_rad,theta_deg,pdf_rad,pdf_deg,rho_lower,rho_upper,center_x,center_y,dmax
0,0,0,0,nan,nan,nan,nan,nan
1e-10,5.729577951308232e-09,0,0,nan,nan,nan,nan,nan
0.0003490393684719414,0.01999848269735385,0,0,nan,nan,nan,nan,nan
0.0006980787369438827,0.0399969653947077,0,0,nan,nan,nan,nan,nan
0.001047118105415824,0.05999544809206155,0,0,nan,nan,nan,nan,nan
0.001396157473887765,0.0799939307894154,0,0,nan,nan,nan,nan,nan
0.001745196842359707,0.09999241348676925,0,0,nan,nan,nan,nan,nan
0.002094236210831648,0.1199908961841231,0,0,nan,nan,nan,nan,nan
0.002443275579303589,0.1399893788814769,0,0,nan,nan,nan,nan,nan
0.002792314947775531,0.1599878615788308,0,0,nan,nan,nan,nan,nan
0.003141354316247473,0.1799863442761847,0,0,nan,nan,nan,nan,nan
0.003490393684719414,0.1999848269735385,0,0,nan,nan,nan,nan,nan
0.003839433053191355,0.2199833096708924,0,0,nan,nan,nan,nan,nan
0.004188472421663297,0.2399817923682462,0,0,nan,nan,nan,nan,nan
0.004537511790135238,0.2599802750656001,0,0,nan,nan,nan,nan,nan
0.004886551158607179,0.2799787577629539,0,0,nan,nan,nan,nan,nan
0.005235590527079121,0.2999772404603078,0,0,nan,nan,nan,nan,nan
0.005584629895551062,0.3199757231576616,0,0,nan,nan,nan,nan,nan
0.005933669264023003,0.3399742058550154,0,0,nan,nan,nan,nan,nan
0.006282708632494945,0.3599726885523694,0,0,nan,nan,nan,nan,nan
0.006631748000966886,0.3799711712497232,0,0,nan,nan,nan,nan,nan
0.006980787369438827,0.399969653947077,0,0,nan,nan,nan,nan,nan
0.007329826737910769,0.4199681366444309,0,0,nan,nan,nan,nan,nan
0.00767886610638271,0.4399666193417847,0,0,nan,nan,nan,nan,nan
0.008027905474854652,0.4599651020391386,0,0,nan,nan,nan,nan,nan
0.008376944843326593,0.4799635847364924,0,0,nan,nan,nan,nan,nan
0.008725984211798534,0.4999620674338463,0,0,nan,nan,nan,nan,nan
0.009075023580270476,0.5199605501312001,0,0,nan,nan,nan,nan,nan
0.009424062948742417,0.539959032828554,0,0,nan,nan,nan,nan,nan
0.009773102317214358,0.5599575155259078,0,0,nan,nan,nan,nan,nan
0.0101221416856863,0.5799559982232617,0,0,nan,nan,nan,nan,nan
0.01047118105415824,0.5999544809206155,0,0,nan,nan,nan,nan,nan
0.01082022042263018,0.6199529636179694,0,0,nan,nan,nan,nan,nan
0.01116925979110212,0.6399514463153232,0,0,nan,nan,nan,nan,nan
0.01151829915957406,0.659949929012677,0,0,nan,nan,nan,nan,nan
0.01186733852804601,0.6799484117100308,0,0,nan,nan,nan,nan,nan
0.01221637789651795,0.6999468944073847,0,0,nan,nan,nan,nan,nan
0.01256541726498989,0.7199453771047387,0,0,nan,nan,nan,nan,nan
0.01291445663346183,0.7399438598020925,0,0,nan,nan,nan,nan,nan
0.01326349600193377,0.7599423424994464,0,0,nan,nan,nan,nan,nan
0.01361253537040571,0.7799408251968002,0,0,nan,nan,nan,nan,nan
0.01396157473887765,0.799939307894154,0,0,nan,nan,nan,nan,nan
0.0143106141073496,0.8199377905915078,0,0,nan,nan,nan,nan,nan
0.01465965347582154,0.8399362732888618,0,0,nan,nan,nan,nan,nan
0.01500869284429348,0.8599347559862156,0,0,nan,nan,nan,nan,nan
0.01535773221276542,0.8799332386835694,0,0,nan,nan,nan,nan,nan
0.01570677158123736,0.8999317213809233,0,0,nan,nan,nan,nan,nan
0.0160558109497093,0.9199302040782772,0,0,nan,nan,nan,nan,nan
0.01640485031818124,0.9399286867756309,0,0,nan,nan,nan,nan,nan
0.01675388968665319,0.9599271694729848,0,0,nan,nan,nan,nan,nan
0.01710292905512513,0.9799256521703386,0,0,nan,nan,nan,nan,nan
0.01745196842359707,0.9999241348676926,0,0,nan,nan,nan,nan,nan
0.01780100779206901,1.019922617565046,0,0,nan,nan,nan,nan,nan
0.01815004716054095,1.0399211002624,0,0,nan,nan,nan,nan,nan
0.01849908652901289,1.059919582959754,0,0,nan,nan,nan,nan,nan
0.01884812589748483,1.079918065657108,0,0,nan,nan,nan,nan,nan
0.01919716526595678,1.099916548354462,0,0,nan,nan,nan,nan,nan
0.01954620463442872,1.119915031051816,0,0,nan,nan,nan,nan,nan
0.01989524400290066,1.139913513749169,0,0,nan,nan,nan,nan,nan
0.0202442833713726,1.159911996446523,0,0,nan,nan,nan,nan,nan
0.02059332273984454,1.179910479143877,0,0,nan,nan,nan,nan,nan
