time_s,r_m,T_C,C_kg_kg
10,0,27.999999999999812,1.0904834663052267
10,0.00025000000000000001,28.000000000002299,1.0904975297332951
10,0.00050000000000000001,28.000000000000036,1.0905399353076124
10,0.00075000000000000002,27.999999999999993,1.0906106246705505
10,0.001,28,1.0907095911650386
10,0.00125,28,1.0908368339335477
10,0.0015,28,1.0909923528839593
10,0.00175,28.000000000000007,1.0911761480079352
10,0.002,28,1.0913882193048492
10,0.0022500000000000003,27.999999999999996,1.0916285667748116
10,0.0025000000000000001,28.000000000000721,1.0918971904176134
10,0.0027499999999999998,27.999999999999996,1.092194090233352
10,0.0030000000000000001,28,1.0925192662220107
10,0.0032500000000000003,28.000000000000401,1.0928727183836684
10,0.0035000000000000001,27.999999999999982,1.0932544467182284
10,0.0037499999999999999,28,1.0936644512256426
10,0.0040000000000000001,28,1.0941027319060588
10,0.0042500000000000003,28,1.094569288759389
10,0.0045000000000000005,28.000000000000245,1.0950641217855532
10,0.0047499999999999999,28.000000000000004,1.0955872309847443
10,0.0050000000000000001,28.000000000000007,1.0961386163568558
10,0.0052500000000000003,28,1.0967182779019051
10,0.0054999999999999997,27.999999999999996,1.0973262156198766
10,0.0057499999999999999,28,1.0979624295107722
10,0.0060000000000000001,27.999999999999996,1.098626919574585
10,0.0062500000000000003,28,1.0993196858113634
10,0.0065000000000000006,27.999999999997947,1.1000407282210445
10,0.0067499999999999999,27.999999999999932,1.1007900468036664
10,0.0070000000000000001,28.000000000000028,1.1015676415592091
10,0.0072500000000000004,27.999999999999957,1.1023735124877325
10,0.0074999999999999997,28.000000000000924,1.1032076595891389
10,0.0077499999999999999,28,1.1040700828634771
10,0.0080000000000000002,27.999999999997407,1.1049607823107366
10,0.0082500000000000004,27.999999999996351,1.1058797579309476
10,0.0085000000000000006,28.000000000000004,1.1068270097240633
10,0.0087500000000000008,28.000000000001059,1.1078025376901157
10,0.0090000000000000011,28.000000000000281,1.1088063418290761
10,0.0092499999999999995,28,1.10983842214105
10,0.0094999999999999998,28,1.1108987786258699
10,0.00975,28,1.1119874112836454
10,0.01,28,1.1131043201143831
10,0.01025,28,1.1142495051180437
10,0.010500000000000001,28,1.1154229662946458
10,0.010750000000000001,28.000000000000004,1.1166247036441712
10,0.010999999999999999,28,1.1178547171666038
10,0.01125,27.999999999999503,1.119113006861933
10,0.0115,27.999999999998224,1.1203995727303158
10,0.01175,28,1.121714414771541
10,0.012,28.000000000002135,1.1230575329856904
10,0.01225,27.999999999999989,1.1244289273728387
10,0.012500000000000001,28,1.1258285979328861
10,0.012750000000000001,28,1.1272565446658425
10,0.013000000000000001,27.999999999998874,1.1287127675717712
10,0.01325,28,1.1301972666506268
10,0.0135,28.000000000000636,1.1317100419024004
10,0.01375,28,1.1332510933271476
10,0.014,28.000000000000007,1.1348204209247665
10,0.014250000000000001,27.999999999999989,1.1364180246953792
10,0.014500000000000001,28,1.1380439046389144
10,0.014750000000000001,28,1.1396980607553426
10,0.014999999999999999,28.000000000001421,1.1413804930447351
10,0.01525,27.999999999999943,1.143091201507068
10,0.0155,28,1.1448301861423278
10,0.01575,27.999999999999979,1.146597446950586
10,0.016,28,1.1483929839317097
10,0.016250000000000001,27.999999999999766,1.1502167970857895
10,0.016500000000000001,27.999999999998963,1.1520688864128064
10,0.016750000000000001,28,1.153949251912783
10,0.017000000000000001,27.999999999998433,1.1558578935856805
10,0.017250000000000001,28,1.1577948114315226
10,0.017500000000000002,28.000000000000814,1.1597600054502062
10,0.017750000000000002,27.999999999999996,1.1617534756419972
10,0.018000000000000002,28.000000000000007,1.1637752220070481
10,0.018249999999999999,28.000000000000014,1.165825244551608
10,0.018499999999999999,27.999999999999986,1.1679035433678118
10,0.018749999999999999,27.999999999999996,1.1700101196625476
10,0.019,28.000000000000004,1.1721449869123426
10,0.01925,28,1.1743082697353164
10,0.0195,28,1.1765008803126693
10,0.01975,27.999999999999719,1.1787277214253962
10,0.02,28.000000000000238,1.1810053777866565
