r_m,C_kg_kg
0,2.5499924041190383
1.5625000000000001e-06,2.5499924041127477
3.1250000000000001e-06,2.5499924040938846
4.6875000000000004e-06,2.5499924040624458
6.2500000000000003e-06,2.5499924040184321
7.8125000000000002e-06,2.5499924039618413
9.3750000000000009e-06,2.549992403892678
1.09375e-05,2.5499924038109398
1.2500000000000001e-05,2.5499924037166242
1.4062500000000001e-05,2.5499924036097328
1.5625e-05,2.5499924034902639
1.7187500000000001e-05,2.549992403358218
1.8750000000000002e-05,2.5499924032135972
2.0312500000000002e-05,2.5499924030564007
2.1875e-05,2.5499924028866268
2.34375e-05,2.5499924027042735
2.5000000000000001e-05,2.5499924025093428
2.6562500000000002e-05,2.5499924023018314
2.8125000000000003e-05,2.5499924020817435
2.96875e-05,2.5499924018490789
3.1250000000000001e-05,2.5499924016038311
3.2812500000000005e-05,2.5499924013460058
3.4375000000000002e-05,2.5499924010755963
3.5937499999999999e-05,2.5499924007926067
3.7500000000000003e-05,2.5499924004970347
3.9062500000000001e-05,2.549992400188883
4.0625000000000005e-05,2.5499923998681449
4.2187500000000002e-05,2.5499923995348244
4.375e-05,2.5499923991889193
4.5312500000000004e-05,2.5499923988304283
4.6875000000000001e-05,2.5499923984593509
4.8437500000000005e-05,2.5499923980756876
5.0000000000000002e-05,2.5499923976794348
5.15625e-05,2.5499923972705942
5.3125000000000004e-05,2.5499923968491642
5.4687500000000001e-05,2.5499923964151421
5.6250000000000005e-05,2.5499923959685282
5.7812500000000003e-05,2.5499923955093236
5.9375e-05,2.5499923950375276
6.0937500000000004e-05,2.5499923945531355
6.2500000000000001e-05,2.54999239405615
6.4062500000000005e-05,2.5499923935465678
6.5625000000000009e-05,2.5499923930243891
6.71875e-05,2.5499923924896106
6.8750000000000004e-05,2.5499923919422356
7.0312500000000008e-05,2.5499923913822604
7.1874999999999999e-05,2.5499923908096811
7.3437500000000003e-05,2.5499923902245007
7.5000000000000007e-05,2.5499923896267176
7.6562499999999998e-05,2.549992389016325
7.8125000000000002e-05,2.5499923883933278
7.9687500000000006e-05,2.5499923877577255
8.125000000000001e-05,2.5499923871095103
8.28125e-05,2.549992386448686
8.4375000000000004e-05,2.5499923857752465
8.5937500000000009e-05,2.5499923850891952
8.7499999999999999e-05,2.5499923843905328
8.9062500000000003e-05,2.5499923836792528
9.0625000000000007e-05,2.5499923829553519
9.2187499999999998e-05,2.5499923822188362
9.3750000000000002e-05,2.5499923814696954
9.5312500000000006e-05,2.5499923807079354
9.687500000000001e-05,2.54999237993355
9.8437500000000001e-05,2.5499923791465395
0.0001,2.5499923783469005
0.00010156250000000001,2.5499923775346311
0.000103125,2.5499923767097337
0.0001046875,2.5499923758722054
0.00010625000000000001,2.5499923750220446
0.00010781250000000001,2.5499923741592472
0.000109375,2.5499923732838119
0.00011093750000000001,2.5499923723957374
0.00011250000000000001,2.5499923714950188
0.0001140625,2.5499923705816614
0.00011562500000000001,2.5499923696556555
0.00011718750000000001,2.5499923687170041
0.00011875,2.5499923677657041
0.0001203125,2.549992366801753
0.00012187500000000001,2.5499923658251489
0.00012343750000000001,2.5499923648358895
0.000125,2.549992363833975
0.00012656249999999999,2.5499923628193999
0.00012812500000000001,2.5499923617921625
