time_s,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_20
0,1.1000000000000001,1.1002500000000002,1.101,1.1022500000000002,1.1040000000000001,1.1062500000000002,1.109,1.1122500000000002,1.1160000000000001,1.1202500000000002,1.125,1.13025,1.1360000000000001,1.14225,1.149,1.15625,1.1640000000000001,1.17225,1.181,1.19025,1.2000000000000002
1,1.0990049813590637,1.0992524934070467,1.0999950307823727,1.1012325930745841,1.1029651802836802,1.1051927924096578,1.1079154294525264,1.1111330914122823,1.1148457782889281,1.1190534900824405,1.1237562267928329,1.1289539884201372,1.1346467749643099,1.1408345864253699,1.1475174228033203,1.1546952840981497,1.1623681703098676,1.1705360814384682,1.1791990174839584,1.1883569784463357,1.1980108244227756
2,1.0980198629828475,1.0982649121681463,1.0990000611731519,1.1002253095148014,1.1019406571931176,1.1041461042080907,1.1068416505597345,1.1100272962480393,1.1137030412730029,1.1178688856346333,1.1225248293329073,1.1276708723678694,1.1333070147394833,1.1394332564477587,1.1460495974926921,1.1531560378743029,1.1607525775925689,1.1688392166474948,1.1774159550390904,1.1864827927673518,1.1960409939927539
3,1.0970445466629657,1.0972871575266412,1.0980149916768196,1.0992280485937691,1.1009263282774984,1.1031098307280096,1.1057785559452993,1.1089325039293825,1.1125716746802277,1.1166960681978708,1.121305684482274,1.1264005235334817,1.1319805853514624,1.1380458699362235,1.144596377287761,1.1516321074060942,1.159153060291205,1.1671592359430918,1.1756506343617732,1.184627255547233,1.1940906543673575
4,1.0960789348900859,1.0963191317063621,1.097039723785743,1.0982407105846856,1.0999220921032131,1.1020838683413274,1.104726039299013,1.1078486049762966,1.1114515653731374,1.1155349204895784,1.1200986703255777,1.1251428148811835,1.1306673541563608,1.1366722881511189,1.1431576168654576,1.1501233402993942,1.1575694584529024,1.1654959713259925,1.1739028789186714,1.1827901812309545,1.1921596690514724
5,1.0951229311082402,1.0953607379039179,1.0960741599722998,1.0972631967529294,1.0989278482458094,1.1010681144509455,1.1036839953683322,1.106775490997981,1.110342601339867,1.114385326394014,1.1189036661604066,1.1238976206390674,1.129367189829976,1.1353123737331332,1.1417331723485511,1.1486295856762287,1.1560016137161606,1.1638492564683414,1.1721725139327897,1.1809713861097133,1.190247865268572
6,1.0941764397188236,1.0944118802791347,1.0951182036793272,1.0962954093462989,1.0979434972800723,1.1000624674806361,1.1026523199479918,1.1057130546821461,1.1092446716830837,1.1132471709508192,1.1177205524853355,1.1226648162866644,1.128079962354781,1.1339659906896868,1.140322901291392,1.1471506941598975,1.1544493692951954,1.1622189266972909,1.1704593663661877,1.1791706883033721,1.1883550618339576
7,1.0932393660732573,1.0934724639454536,1.0941717593103837,1.0953372515852551,1.096968940770086,1.0990668268648609,1.1016309098695911,1.1046611897842764,1.1081576666089037,1.1121203403434945,1.1165492109880157,1.1214442785425165,1.1268055430069597,1.13263300438135,1.1389266626657086,1.1456865178600157,1.1529125699642795,1.1606048189785019,1.1687632649026805,1.1773879077434664,1.1864810753001915
8,1.0923116164641968,1.0925423949604638,1.0932347322202518,1.0943886276532175,1.0960040812593821,1.0980810930387286,1.1006196629912717,1.103619791117006,1.1070814774159228,1.1110047218880381,1.1153895245333287,1.1202358853518275,1.1255438043435135,1.1313132815083866,1.1375443168464643,1.1442369103577306,1.1513910620421959,1.1590067718998509,1.1670840399307068,1.1756228661569155,1.184625722036003
9,1.0913930981146687,1.0916215803147344,1.0923070287036687,1.0934494426852126,1.0950488222593877,1.0971051674261756,1.099618478185594,1.1025887545376327,1.1060159964822882,1.1099002040195702,1.1142413771494621,1.1190395158719952,1.1242946201871455,1.1300066900949193,1.1361757255953209,1.1428017266883481,1.149884693374007,1.1574246256522898,1.1654215235232024,1.1738753870464387,1.1827888191082312
10,1.0904837191741934,1.0907099279278072,1.0913885559912972,1.0925196027637727,1.0941030682452471,1.0961389524357084,1.098627255335173,1.1015679769436288,1.1049611172610707,1.1088066762875131,1.1131046540229381,1.1178550504673759,1.1230578656208048,1.1287130994832271,1.1348207520546514,1.1413808233350724,1.1483933133244986,1.1558582220229181,1.163775549430343,1.1721452956837894,1.1809701847238805
