time_s,steps,iterations,max_scaled_residual,max_ratio,max_linear_backward_error,cum_water_balance,cum_outward_water_per_rhod_2piL
0,0,0,0,0,0,0,0
1,1025,2050,6.8877891986383257e-16,0.00031312407542429335,2.1264615760962449e-16,-9.0158499166428967e-20,-6.6310751382609422e-10
2,2049,4098,6.8877891986383257e-16,0.00031312407542429335,2.1297234447157599e-16,-4.1581490513639864e-20,-1.3188022550546521e-09
3,2305,4866,6.8877891986383257e-16,0.00031312407542429335,2.1297234447157599e-16,-7.4320058387569869e-20,-1.9671758533011527e-09
4,2561,5634,7.1875232498401153e-16,0.00032786284828622338,2.1313614621982183e-16,-7.3623158721493944e-20,-2.6083164260778122e-09
5,2817,6402,7.1875232498401153e-16,0.00032786284828622338,2.1350716775289866e-16,-4.8692141854298828e-20,-3.2423104357747929e-09
6,3073,7170,7.1875232498401153e-16,0.00032786284828622338,2.1381051871079021e-16,-1.4554397974235376e-20,-3.8692430301428481e-09
7,3329,7938,7.1875232498401153e-16,0.00032786284828622338,2.1412785162745758e-16,-6.2366884945872343e-20,-4.4891981627633332e-09
8,3585,8706,7.1875232498401153e-16,0.00032786284828622338,2.1450074066477323e-16,-3.3005902308149487e-20,-5.1022586544879947e-09
9,3649,8898,7.1875232498401153e-16,0.00032786284828622338,2.1450074066477323e-16,-1.712238018590625e-20,-5.7085062339012105e-09
10,3713,9090,7.1875232498401153e-16,0.00032786284828622338,2.1450074066477323e-16,3.6679773300015475e-21,-6.3080215610557019e-09
