time_s,C_surface
0,1.0660535349758022
0.00048828125,1.0660535336287882
0.0009765625,1.0660535322817757
0.001953125,1.0660535295877529
0.0029296875,1.0660535268937357
0.00390625,1.066053524199724
0.0048828125,1.0660535215057176
0.005859375,1.0660535188117166
0.0068359375,1.0660535161177211
0.0078125,1.0660535134237312
0.0087890625,1.0660535107297469
0.009765625,1.0660535080357676
0.0107421875,1.0660535053417939
0.01171875,1.0660535026478257
0.0126953125,1.0660534999538629
0.013671875,1.0660534972599054
0.0146484375,1.0660534945659534
0.015625,1.066053491872007
0.0166015625,1.066053489178066
0.017578125,1.0660534864841302
0.0185546875,1.0660534837902
0.01953125,1.0660534810962754
0.0205078125,1.0660534784023559
0.021484375,1.0660534757084419
0.0224609375,1.0660534730145335
0.0234375,1.0660534703206304
0.0244140625,1.0660534676267328
0.025390625,1.0660534649328406
0.0263671875,1.0660534622389537
0.02734375,1.0660534595450724
0.0283203125,1.0660534568511963
0.029296875,1.0660534541573259
0.0302734375,1.066053451463461
0.03125,1.0660534487696012
0.0322265625,1.0660534460757469
0.033203125,1.066053443381898
0.0341796875,1.0660534406880544
0.03515625,1.0660534379942161
0.0361328125,1.0660534353003834
0.037109375,1.0660534326065563
0.0380859375,1.0660534299127342
0.0390625,1.0660534272189177
0.0400390625,1.0660534245251068
0.041015625,1.0660534218313014
0.0419921875,1.0660534191375011
0.04296875,1.0660534164437061
0.0439453125,1.0660534137499167
0.044921875,1.0660534110561326
0.0458984375,1.0660534083623538
0.046875,1.0660534056685806
0.0478515625,1.0660534029748125
0.048828125,1.06605340028105
0.0498046875,1.066053397587293
0.05078125,1.0660533948935413
0.0517578125,1.066053392199795
0.052734375,1.066053389506054
0.0537109375,1.0660533868123185
0.0546875,1.0660533841185882
0.0556640625,1.0660533814248634
0.056640625,1.0660533787311441
0.0576171875,1.06605337603743
0.05859375,1.0660533733437212
0.0595703125,1.0660533706500179
0.060546875,1.06605336795632
0.0615234375,1.0660533652626274
0.0625,1.0660533625689401
0.0634765625,1.0660533598752584
0.064453125,1.066053357181582
0.0654296875,1.0660533544879109
0.06640625,1.0660533517942452
0.0673828125,1.0660533491005848
0.068359375,1.0660533464069299
0.0693359375,1.0660533437132804
0.0703125,1.066053341019636
0.0712890625,1.0660533383259971
0.072265625,1.0660533356323636
0.0732421875,1.0660533329387354
0.07421875,1.0660533302451125
0.0751953125,1.0660533275514952
0.076171875,1.066053324857883
0.0771484375,1.0660533221642763
0.078125,1.0660533194706749
0.0791015625,1.0660533167770789
0.080078125,1.0660533140834882
0.0810546875,1.0660533113899029
0.08203125,1.0660533086963229
0.0830078125,1.0660533060027482
0.083984375,1.066053303309179
0.0849609375,1.066053300615615
0.0859375,1.0660532979220565
0.0869140625,1.0660532952285033
0.087890625,1.0660532925349553
0.0888671875,1.0660532898414128
0.08984375,1.0660532871478756
0.0908203125,1.0660532844543438
0.091796875,1.0660532817608173
0.0927734375,1.0660532790672961
0.09375,1.0660532763737802
0.0947265625,1.0660532736802697
0.095703125,1.0660532709867645
0.0966796875,1.0660532682932646
0.09765625,1.0660532655997701
0.0986328125,1.0660532629062809
0.099609375,1.0660532602127968
0.1005859375,1.0660532575193182
0.1015625,1.066053254825845
0.1025390625,1.0660532521323771
0.103515625,1.0660532494389146
0.1044921875,1.0660532467454573
0.10546875,1.0660532440520054
0.1064453125,1.0660532413585588
0.107421875,1.0660532386651176
0.1083984375,1.0660532359716817
0.109375,1.0660532332782509
0.1103515625,1.0660532305848254
0.111328125,1.0660532278914052
0.1123046875,1.0660532251979904
0.11328125,1.0660532225045809
0.1142578125,1.0660532198111767
0.115234375,1.0660532171177779
0.1162109375,1.0660532144243842
0.1171875,1.066053211730996
0.1181640625,1.0660532090376129
0.119140625,1.0660532063442354
0.1201171875,1.066053203650863
0.12109375,1.0660532009574959
0.1220703125,1.0660531982641341
0.123046875,1.0660531955707777
