time_s,steps,iterations,max_scaled_residual,max_ratio,max_linear_backward_error,cum_water_balance,cum_outward_water_per_rhod_2piL
0,0,0,0,0,0,0,0
1,1025,2050,7.0177092306776173e-16,0.00031898747365834823,2.2683181598634977e-16,-3.9532897194682376e-18,1.0568345044850094e-09
2,2049,4098,7.213414121300015e-16,0.00032788379899013036,2.2683181598634977e-16,-8.0817873997357777e-18,2.1136249500647644e-09
3,2305,4610,7.213414121300015e-16,0.00032788379899013036,2.2683181598634977e-16,-7.8074721629525559e-18,3.1703714017354499e-09
4,2561,5122,7.213414121300015e-16,0.00032788379899013036,2.2683181598634977e-16,-7.497538543533085e-18,4.2270739115274939e-09
5,2817,5634,7.213414121300015e-16,0.00032788379899013036,2.2683181598634977e-16,-7.2286105458635199e-18,5.283732521467607e-09
6,3073,6146,7.213414121300015e-16,0.00032788379899013036,2.2683181598634977e-16,-6.9567055954474169e-18,6.3403472658337563e-09
7,3329,6658,7.213414121300015e-16,0.00032788379899013036,2.2683181598634977e-16,-6.7779978422611575e-18,7.3969181728732781e-09
8,3585,7170,7.213414121300015e-16,0.00032788379899013036,2.2683181598634977e-16,-6.6021573652654711e-18,8.4534452661152553e-09
9,3649,7298,7.213414121300015e-16,0.00032788379899013036,2.2683181598634977e-16,-6.4633465549299423e-18,9.5099285653767896e-09
10,3713,7426,7.213414121300015e-16,0.00032788379899013036,2.2683181598634977e-16,-6.3558011975014403e-18,1.0566368087535748e-08
