time_s,mean_T,mean_C,steps,iterations,cumulative_heat_per_2piL,cumulative_water_per_rhod_2piL,heat_balance_per_2piL,water_balance_per_rhod_2piL
0,28.156847064379853,1.1280869839741294,0,0,0,0,0,0
1,28.156749555013555,1.128081699800439,33,66,-0.058505619818897348,1.0568347380350932e-09,2.4952920589169092e-11,7.7623598034256453e-21
2,28.156652106253389,1.1280764158447396,65,130,-0.11697487593288275,2.1136258781462644e-09,4.7939080006012547e-11,2.8480125758233379e-20
3,28.15655471807618,1.1280711321070542,97,194,-0.17540778227445364,3.1703734149104743e-09,7.2356365040174286e-11,4.1874713116092841e-20
4,28.156457390444171,1.1280658485873731,129,258,-0.2338043615149662,4.2270773513010205e-09,9.674617769232785e-11,6.0619465901854072e-20
5,28.156360123319597,1.1280605652856817,161,322,-0.29216463628071815,5.2837376897912556e-09,1.2137618319273125e-10,7.6680967565115457e-20
6,28.156262916664812,1.1280552822019674,193,386,-0.35048862917015738,6.3403544326336397e-09,1.4684267235325066e-10,9.7031575187874752e-20
7,28.156165770442239,1.1280499993362205,225,450,-0.40877636276007695,7.396927581959243e-09,1.7202800967584808e-10,1.0640841706359345e-19
8,28.156068684614187,1.1280447166884318,257,514,-0.46702785960852033,8.4534571398238361e-09,1.9823655108934524e-10,1.345141014229788e-19
9,28.155971659143137,1.1280394342585891,289,578,-0.52524314225632496,9.5099431082325751e-09,2.2216226276162987e-10,1.4747097452747846e-19
10,28.155874693991578,1.1280341520466839,321,642,-0.58342223322805631,1.0566385489154703e-08,2.4783172931398811e-10,1.5777211965189127e-19
11,28.155777789121942,1.1280288700527072,353,706,-0.64156515503261469,1.1622784284532811e-08,2.7356481684982781e-10,1.8311239058949554e-19
12,28.155680944496751,1.1280235882766494,385,770,-0.69967193016361584,1.2679139496289086e-08,2.9725274390372813e-10,1.923677403127455e-19
13,28.155584160078565,1.1280183067184988,417,834,-0.75774258109968695,1.373545112632968e-08,3.2186529982068668e-10,2.0691659359193736e-19
14,28.155487435829951,1.1280130253782488,449,898,-0.81577713030467658,1.4791719176547857e-08,3.4726141732131788e-10,2.1590237937072308e-19
15,28.155390771713446,1.1280077442558865,481,962,-0.87377560022780432,1.5847943648826347e-08,3.7014545573553492e-10,2.314662931214426e-19
16,28.155294167691686,1.1280024633514063,513,1026,-0.93173801330378259,1.6904124545039123e-08,3.9563587757480978e-10,2.4598136770483903e-19
17,28.155197623727329,1.1279971826647939,545,1090,-0.989664391952918,1.7960261867052783e-08,4.202701543980919e-10,2.5405726127216495e-19
18,28.155101139782975,1.1279919021960469,577,1154,-1.0475547585811893,1.9016355616727637e-08,4.4504314664940703e-10,2.6892678921038889e-19
19,28.155004715821349,1.1279866219451509,609,1218,-1.1054091355803122,2.0072405795918611e-08,4.699942008929564e-10,2.85854840113482e-19
20,28.154908351805123,1.1279813419120985,641,1282,-1.1632275453277825,2.1128412406475926e-08,4.9446661066869513e-10,2.9932380910298587e-19
21,28.15481204769711,1.12797606209688,673,1346,-1.221010010186937,2.2184375450245712e-08,5.1965132782764989e-10,3.3014721475195981e-19
22,28.154715803459919,1.1279707824994858,705,1410,-1.2787565525069851,2.3240294929070483e-08,5.4547609896864191e-10,3.5391100222666017e-19
23,28.154619619056458,1.1279655031199072,737,1474,-1.3364671946230451,2.4296170844789527e-08,5.7038575316907536e-10,3.6982485861292938e-19
