time_s,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_20
0,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998
1,2.5500000000000007,2.5500000000000003,2.5500000000000007,2.5499999999999523,2.5499999999999998,2.5500000000000038,2.5499999999999998,2.5500000000000016,2.5500000000000016,2.5500000000000034,2.5499999999999998,2.5499999999999958,2.5499999999999998,2.5499999999999998,2.5500000000000775,2.5499999999999998,2.5499999999999998,2.5499999999999963,2.5500000000000025,2.5500000000000211,2.5500000000002117
2,2.5500000000000007,2.5500000000000003,2.5500000000000007,2.5499999999999523,2.5499999999999998,2.5500000000000038,2.5499999999999998,2.5500000000000016,2.5500000000000016,2.5500000000000034,2.5499999999999998,2.5499999999999958,2.5499999999999998,2.5499999999999998,2.5500000000000775,2.5499999999999998,2.5499999999999998,2.5499999999999963,2.5500000000000025,2.5500000000000211,2.5500000000002117
3,2.5499999999999865,2.5500000000000003,2.5500000000000229,2.549999999999971,2.5499999999999998,2.5500000000000047,2.5499999999999865,2.5500000000000016,2.5500000000000016,2.5500000000000029,2.550000000000086,2.5499999999999732,2.5500000000000003,2.5500000000000185,2.5499999999999892,2.5499999999999985,2.5499999999999998,2.5499999999999967,2.550000000000002,2.5500000000000496,2.5500000000000447
4,2.5499999999999865,2.5500000000000003,2.5500000000000229,2.549999999999971,2.5499999999999998,2.5500000000000047,2.5499999999999865,2.5500000000000016,2.5500000000000016,2.5500000000000029,2.5500000000000855,2.5499999999999732,2.5500000000000003,2.5500000000000185,2.5499999999999892,2.5499999999999985,2.5499999999999998,2.5499999999999967,2.550000000000002,2.5500000000000496,2.5500000000000393
5,2.5499999999999865,2.5500000000000003,2.5500000000000229,2.549999999999971,2.5499999999999998,2.5500000000000047,2.5499999999999865,2.5500000000000016,2.5500000000000016,2.5500000000000029,2.5500000000000855,2.5499999999999732,2.5500000000000003,2.5500000000000185,2.5499999999999892,2.5499999999999985,2.5499999999999998,2.5499999999999967,2.550000000000002,2.5500000000000496,2.5500000000000393
6,2.5499999999999865,2.5500000000000003,2.5500000000000229,2.549999999999971,2.5499999999999998,2.5500000000000047,2.5499999999999865,2.5500000000000016,2.5500000000000016,2.5500000000000029,2.5500000000000855,2.5499999999999732,2.5500000000000003,2.5500000000000185,2.5499999999999892,2.5499999999999985,2.5499999999999998,2.5499999999999967,2.550000000000002,2.5500000000000496,2.5500000000000393
7,2.5499999999999865,2.5500000000000003,2.5500000000000229,2.549999999999971,2.5499999999999998,2.5500000000000047,2.5499999999999865,2.5500000000000016,2.5500000000000016,2.5500000000000029,2.5500000000000855,2.5499999999999732,2.5500000000000003,2.5500000000000185,2.5499999999999892,2.5499999999999985,2.5499999999999998,2.5499999999999967,2.550000000000002,2.5500000000000496,2.5500000000000393
8,2.5499999999999865,2.5500000000000003,2.5500000000000229,2.549999999999971,2.5499999999999998,2.5500000000000047,2.5499999999999865,2.5500000000000016,2.5500000000000016,2.5500000000000029,2.5500000000000855,2.5499999999999732,2.5500000000000003,2.5500000000000185,2.5499999999999892,2.5499999999999985,2.5499999999999998,2.5499999999999967,2.550000000000002,2.5500000000000496,2.5500000000000393
9,2.5499999999999328,2.5500000000000003,2.5500000000000238,2.549999999999971,2.5499999999999998,2.550000000000034,2.5499999999999865,2.5500000000000016,2.5500000000000007,2.550000000000002,2.5500000000000611,2.5499999999999554,2.5500000000000007,2.5500000000000154,2.5500000000000038,2.5499999999999985,2.5499999999999994,2.5499999999999963,2.5500000000000025,2.5500000000000251,2.5500000000000189
10,2.549999999999895,2.5500000000000003,2.5500000000000238,2.549999999999971,2.5499999999999998,2.550000000000034,2.5499999999999865,2.5500000000000016,2.5500000000000007,2.550000000000002,2.5500000000000242,2.5499999999999554,2.550000000000002,2.5500000000000154,2.5500000000000069,2.5499999999999985,2.5499999999999994,2.5499999999999963,2.5500000000000025,2.5500000000000251,2.5500000000000189
