x,y,J,J_lower,P_H,P_N,P_A,P_loc,E_radius_loss,safe_margin,angle_calls,x_global,y_global,C1
5,-50,30959.5824150373,30959.5824150373,0,0,0.999999982378263,0,90.4313075070303,0,252,1750,5,6118.45869718926
5,-30,55957.9616125892,55957.9616125891,0,0,0.999999369372686,0,123.788687160072,0,228,1730,5,6118.45869718926
5,-20,82493.3083438502,82493.3083438502,0,0,0.999996743290373,5.54955154902647e-19,152.596722530112,0,276,1720,5,6118.45869718926
5,-10,135974.729530961,135974.729530961,0,0,0.999999780641809,0.00116826868868172,200.532481979739,0,348,1710,5,6118.45869718926
5,-5,187981.869216361,187981.869216361,1.02198398682084e-05,0,0.999989776479462,0.00127160962527149,239.792653123156,0,444,1705,5,6118.45869718926
5,-2,239014.290727147,239014.290727147,0.000190600307640019,0,0.999798281118022,0.00101463773953675,273.708049872552,0,420,1702,5,6118.45869718926
5,0,284956.638200137,284956.638200137,0.000213913306493732,0,0.999777567996045,0.000226572805725003,301.046298403907,0,348,1700,5,6118.45869718926
5,2,232262.685377368,232262.685377368,0.000190600307640018,0,0.999800123369979,0.00101463773953674,270.246464578793,0,372,1698,5,6118.45869718926
5,5,177465.171888602,177465.171888602,1.02198398682084e-05,0,0.999989776874079,0.00127160962527148,233.672035721113,0,444,1695,5,6118.45869718926
5,10,124247.460816357,124247.460816357,0,0,0.999999882757813,0.0011682686886817,192.551208028156,0,372,1690,5,6118.45869718926
5,20,72416.2448249717,72416.2448249716,0,0,0.999998411496194,5.54955150385809e-19,143.934735336142,0,276,1680,5,6118.45869718926
5,30,47922.5120600503,47922.5120600503,0,0,0.999999725663576,0,115.518874885921,0,252,1670,5,6118.45869718926
5,50,25759.3337267559,25759.3337267559,0,0,0.999999993757235,0,83.3738330298147,0,252,1650,5,6118.45869718926
17.3585163311615,-50,29164.2835773084,29164.2835773084,0,0,0.999999941631435,0,87.3844332253887,0,228,1750,17.3585163311615,6118.45869718926
17.3585163311615,-30,52943.3550571085,52943.3550571085,0,0,0.999997033690493,0,119.896620739226,0,204,1730,17.3585163311615,6118.45869718926
17.3585163311615,-20,78381.048280509,78381.048280509,0,0,0.999998232477782,0,148.142498645423,0,276,1720,17.3585163311615,6118.45869718926
17.3585163311615,-10,130128.63881876,130128.63881876,0,0,0.999999823404436,0.00299317802749985,195.511802901795,0,348,1710,17.3585163311615,6118.45869718926
17.3585163311615,-5,181145.418573146,181145.418573146,0.000114293539891638,0,0.999885712099504,0.00311406078903473,234.782707827566,0,468,1705,17.3585163311615,6118.45869718926
17.3585163311615,-2,232110.416489171,232110.416489171,0.000906840545757491,0,0.999081051118461,0.00264369658728786,269.282479883962,0,468,1702,17.3585163311615,6118.45869718926
17.3585163311615,0,272511.526040074,272511.526040074,0.000989668922977616,0,0.99908294807061,0.00150602260647976,294.123177318181,0,636,1700,17.3585163311615,6118.45869718926
17.3585163311615,2,225598.680491475,225598.680491475,0.000906840545757491,0,0.999083411159585,0.00264369658728786,265.886406600444,0,468,1698,17.3585163311615,6118.45869718926
17.3585163311615,5,170825.37311959,170825.37311959,0.000114293539891637,0,0.999885712916277,0.0031140607890347,228.680575433683,0,468,1695,17.3585163311615,6118.45869718926
17.3585163311615,10,118641.821615041,118641.821615041,0,0,0.999999907280917,0.00299317802749981,187.554814209103,0,372,1690,17.3585163311615,6118.45869718926
17.3585163311615,20,68575.5155955394,68575.5155955394,0,0,0.999999176589935,0,139.540571858745,0,276,1680,17.3585163311615,6118.45869718926
17.3585163311615,30,45168.6893678543,45168.6893678543,0,0,0.999998639913177,0,111.712005940373,0,228,1670,17.3585163311615,6118.45869718926
17.3585163311615,50,24160.9171575945,24160.9171575945,0,0,0.999999978715765,0,80.4256200374526,0,228,1650,17.3585163311615,6118.45869718926
29.717032662323,-50,27434.6553580482,27434.6553580482,0,0,0.999999864207941,0,84.3647982980552,0,252,1750,29.717032662323,6118.45869718926
29.717032662323,-30,50017.4077263588,50017.4077263587,0,0,0.999993102462517,0,116.016488494657,0,228,1730,29.717032662323,6118.45869718926
