x,y,J,J_lower,P_H,P_N,P_A,P_loc,E_radius_loss,safe_margin,angle_calls,x_global,y_global,C1
-1500,-1200,299015.33764914,299015.33764914,0,0.999999999999998,0,0,308.511811920233,0,12,2900,-1500,6118.45869718926
-1500,-1100,299015.33764914,299015.33764914,0,0.999999999999998,0,0,308.511811920233,0,12,2800,-1500,6118.45869718926
-1500,-1000,299015.33764914,299015.33764914,0,0.999999999999998,0,0,308.511811920233,0,12,2700,-1500,6118.45869718926
-1500,-900,299015.33764914,299015.33764914,0,0.999999999999998,0,0,308.511811920233,0,12,2600,-1500,6118.45869718926
-1500,-800,299015.33764914,299015.33764914,0,0.999999999999998,0,0,308.511811920233,0,12,2500,-1500,6118.45869718926
-1500,-700,299015.33764914,299015.33764914,0,0.999999999999998,0,0,308.511811920233,0,12,2400,-1500,6118.45869718926
-1500,-600,299015.33764914,299015.33764914,0,0.999999999999998,0,0,308.511811920233,0,12,2300,-1500,6118.45869718926
-1500,-500,299015.33764914,299015.33764914,0,0.999999999999998,0,0,308.511811920233,0,12,2200,-1500,6118.45869718926
-1500,-400,299015.33764914,299015.33764914,0,0.999999999999998,0,0,308.511811920233,0,12,2100,-1500,6118.45869718926
-1500,-300,299015.33764914,299015.33764914,0,0.999999999999998,0,0,308.511811920233,0,12,2000,-1500,6118.45869718926
-1500,-200,299015.33764914,299015.33764914,0,0.999999999999998,0,0,308.511811920233,0,12,1900,-1500,6118.45869718926
-1500,-100,299015.33764914,299015.33764914,0,0.999999999999998,0,0,308.511811920233,0,12,1800,-1500,6118.45869718926
-1500,0,299015.33764914,299015.33764914,0,0.999999999999998,0,0,308.511811920233,0,12,1700,-1500,6118.45869718926
-1500,100,299015.33764914,299015.33764914,0,0.999999999999998,0,0,308.511811920233,0,12,1600,-1500,6118.45869718926
-1500,200,299015.33764914,299015.33764914,0,0.999999999999998,0,0,308.511811920233,0,12,1500,-1500,6118.45869718926
-1500,300,299015.33764914,299015.33764914,0,0.999999999999998,0,0,308.511811920233,0,12,1400,-1500,6118.45869718926
-1500,400,299015.33764914,299015.33764914,0,0.999999999999998,0,0,308.511811920233,0,12,1300,-1500,6118.45869718926
-1500,500,299015.33764914,299015.33764914,0,0.999999999999998,0,0,308.511811920233,0,12,1200,-1500,6118.45869718926
-1500,600,299015.33764914,299015.33764914,0,0.999999999999998,0,0,308.511811920233,0,12,1100,-1500,6118.45869718926
-1500,700,299015.33764914,299015.33764914,0,0.999999999999998,0,0,308.511811920233,0,12,1000,-1500,6118.45869718926
-1500,800,299015.33764914,299015.33764914,0,0.999999999999998,0,0,308.511811920233,0,12,900,-1500,6118.45869718926
-1500,900,299015.33764914,299015.33764914,0,0.999999999999998,0,0,308.511811920233,0,12,800,-1500,6118.45869718926
-1500,1000,299015.33764914,299015.33764914,0,0.999999999999998,0,0,308.511811920233,0,12,700,-1500,6118.45869718926
-1500,1100,299015.33764914,299015.33764914,0,0.999999999999998,0,0,308.511811920233,0,12,600,-1500,6118.45869718926
-1500,1200,299015.33764914,299015.33764914,0,0.999999999999998,0,0,308.511811920233,0,12,500,-1500,6118.45869718926
-1500,1300,299015.33764914,299015.33764914,0,0.999999999999998,0,0,308.511811920233,0,12,400,-1500,6118.45869718926
-1500,1400,299015.33764914,299015.33764914,0,0.999999999999998,0,0,308.511811920233,0,12,300,-1500,6118.45869718926
-1500,1500,299015.33764914,299015.33764914,0,0.999999999999998,0,0,308.511811920233,0,12,200,-1500,6118.45869718926
