case_code,official_jammer_count,directional_count,cleared_count,full_clear,virtual_time_s,time_per_actual_target_s,distance_m,measure_count,switches,clear_failures,strategy
6FVV-44DF-PV7U-B5ND,16,6,16,True,5391.23378,336.95211125,21456.16889045206,148,121,53,m07
WJNY-H3XW-QAG6-F4F9,10,10,10,True,6561.596413,656.1596413,22387.982068658028,342,324,0,m07
E29D-NN2N-ZWC3-W6SS,14,2,14,True,5617.335716,401.2382654285714,21506.678582007025,209,201,0,m07
TNBQ-BJ5U-KE7K-427Q,10,4,10,True,6430.685574,643.0685574,21538.4278810598,347,338,0,m07
G4XN-6DZ8-TMQC-RRXP,14,4,14,True,5721.065271,408.64751935714287,21375.326358578634,231,218,1,m07
A7XX-BQSA-KTBV-P5J5,14,6,14,True,6872.127585,490.8662560714286,25845.637903571325,249,229,53,m07
5QGU-ASFM-GYPK-7VM2,11,8,11,True,6136.353362,557.8503056363636,21561.766821388956,298,279,0,m07
S8RU-XX2J-GCET-FQ3U,14,4,14,True,5712.059918,408.0042798571429,21640.299588780206,220,214,0,m07
3BQ3-T3BD-NQJ6-SVNU,13,11,13,True,6050.962512,465.45865476923075,21539.81254107089,284,258,0,m07
EAKV-U9M9-G9VG-4E7U,12,12,12,True,6205.50806,517.1256716666667,22767.540314225917,268,252,0,m07
94HZ-3P8K-7STK-TF4C,10,2,10,True,6342.318092,634.2318092,22486.590469168867,301,290,0,m07
PDS5-8SCF-FSGD-7B53,11,10,11,True,6096.595095,554.2359177272727,21422.975485521816,296,277,0,m07
T2HU-QNTE-ZW7N-J8EU,13,3,13,True,5578.585164,429.1219356923077,20852.925821226407,225,218,0,m07
E9CC-4TNC-BZV2-SBSB,15,9,15,True,6041.425301,402.76168673333336,22957.126503197527,231,220,0,m32
DUZJ-TQHM-PN54-V37G,16,15,16,True,5829.300748,364.33129675,21256.503751139186,252,238,0,m32
XUFX-92S8-F734-HPBG,13,4,13,True,5523.238913,424.8645317692308,20406.19458299528,231,222,0,m32
5SGS-PVV3-6YKM-XMEH,14,14,14,True,5763.831279,411.70223421428574,20819.156394820973,256,250,0,m32
MFUR-4P9F-TNRG-4D5E,11,3,11,True,5916.804704,537.8913367272727,21514.023529866852,261,254,0,m32
TSS6-EY7J-UYB6-TH3H,10,10,10,True,6525.219004,652.5219003999999,22386.09501800571,335,323,0,m32
RZ5Y-2E72-M5ZX-ZY9W,11,9,11,True,6429.863324,584.5330294545455,22669.316630196456,308,301,0,m32
N4JA-M84Z-4E3A-S9UE,10,4,10,True,6093.906553,609.3906552999999,20984.532751545,309,302,0,m32
8BXE-G3BW-6XVW-WNWC,16,4,16,True,3605.316221,225.3322638125,14341.581098848841,112,97,0,m32
42YP-6M8M-GB32-D5D8,13,1,13,True,5439.619731,418.432287,19218.09866217712,256,251,0,m32
WS2K-EYS4-EN8J-HZV7,16,4,16,True,5381.655951,336.3534969375,20863.279753313014,190,179,0,m32
FCPJ-4CY4-2NT7-NVVA,11,6,11,True,6078.620656,552.6018778181818,21993.103273071254,272,265,0,m32
