x,y,J,P_finish,P_onsite,P_H,P_N,P_normal,P_finish_N,P_finish_normal,probability_residual,mec_gap,angle_calls,root_count,depth_capped,distance_K1,x_global,y_global,level,scan
52.5151914971448,4.40536496171262e-13,17.4795302684811,0.286687422062357,0.17446606640615,0.104685582019341,0.0,0.895314417980662,0.0,0.182001840043016,3.10862446895044e-15,1.4210854715202e-14,2610.0,8.0,0.0,0.0,1752.51519149714,4.40536496171262e-13,5,64
-1500.0,0.0,47.5160331487238,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.77635683940025e-15,0.0,12.0,0.0,0.0,1504.99924100557,200.0,0.0,2,6
-1500.0,100.0,47.5160331487238,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.77635683940025e-15,0.0,12.0,0.0,0.0,1508.31205757327,200.0,100.0,2,6
-1500.0,200.0,47.5160331487238,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.77635683940025e-15,0.0,12.0,0.0,0.0,1518.21863070326,200.0,200.0,2,6
-1500.0,300.0,47.5160331487238,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.77635683940025e-15,0.0,12.0,0.0,0.0,1534.59126747419,200.0,300.0,2,6
-1500.0,400.0,47.5160331487238,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.77635683940025e-15,0.0,12.0,0.0,0.0,1557.22602913052,200.0,400.0,2,6
-1500.0,500.0,47.5160331487238,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.77635683940025e-15,0.0,12.0,0.0,0.0,1585.85480211625,200.0,500.0,2,6
-1500.0,600.0,47.5160331487238,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.77635683940025e-15,0.0,12.0,0.0,0.0,1620.15986896007,200.0,600.0,2,6
-1500.0,700.0,47.5160331487238,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.77635683940025e-15,0.0,12.0,0.0,0.0,1659.78930849138,200.0,700.0,2,6
-1500.0,800.0,47.5160331487238,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.77635683940025e-15,0.0,12.0,0.0,0.0,1704.37175996783,200.0,800.0,2,6
