r_m,C_kg_kg
0,1.0904834546848716
0.00025000000000000001,1.0904975181105496
0.00050000000000000001,1.0905399236793136
0.00075000000000000002,1.0906106130331781
0.001,1.0907095795149766
0.00125,1.0908368222671516
0.0015,1.0909923411975702
0.00175,1.0911761362979557
0.002,1.0913882075676948
0.0022500000000000003,1.0916285550067186
0.0025000000000000001,1.0918971786150431
0.0027499999999999998,1.0921940783926649
0.0030000000000000001,1.0925192543395856
0.0032500000000000003,1.0928727064558115
0.0035000000000000001,1.0932544347413407
0.0037499999999999999,1.0936644391961494
0.0040000000000000001,1.0941027198202591
0.0042500000000000003,1.0945692766136645
0.0045000000000000005,1.0950641095763658
0.0047499999999999999,1.0955872187083826
0.0050000000000000001,1.0961386040096897
0.0052500000000000003,1.0967182654802965
0.0054999999999999997,1.0973262031201962
0.0057499999999999999,1.0979624169293962
0.0060000000000000001,1.0986269069078964
0.0062500000000000003,1.0993196730556953
0.0065000000000000006,1.1000407153727909
0.0067499999999999999,1.1007900338591967
0.0070000000000000001,1.1015676285149052
0.0072500000000000004,1.102373499339885
0.0074999999999999997,1.1032076463341718
0.0077499999999999999,1.1040700694977696
0.0080000000000000002,1.1049607688306564
0.0082500000000000004,1.1058797443328594
0.0085000000000000006,1.1068269960043411
0.0087500000000000008,1.1078025238451381
0.0090000000000000011,1.1088063278552382
0.0092499999999999995,1.1098384080346309
0.0094999999999999998,1.1108987643833264
0.00975,1.1119873969013254
0.01,1.1131043055886296
0.01025,1.1142494904452238
0.010500000000000001,1.1154229514711229
0.010750000000000001,1.1166246886663209
0.010999999999999999,1.1178547020308045
0.01125,1.1191129915646127
0.0115,1.1203995572677248
0.01175,1.1217143991401399
0.012,1.1230575171818555
0.01225,1.1244289113928652
0.012500000000000001,1.125828581773169
0.012750000000000001,1.1272565283227942
0.013000000000000001,1.1287127510417201
0.01325,1.1301972499299555
0.0135,1.1317100249874752
0.01375,1.1332510762143122
0.014,1.1348204036104581
0.014250000000000001,1.1364180071759005
0.014500000000000001,1.1380438869106366
0.014750000000000001,1.1396980428146739
0.014999999999999999,1.1413804748880341
0.01525,1.1430911831306985
0.0155,1.1448301675426553
0.01575,1.1465974281239277
0.016,1.1483929648745097
0.016250000000000001,1.150216777794403
0.016500000000000001,1.1520688668836017
0.016750000000000001,1.1539492321420906
0.017000000000000001,1.1558578735698919
0.017250000000000001,1.1577947911670001
0.017500000000000002,1.1597599849334235
0.017750000000000002,1.1617534548691719
0.018000000000000002,1.1637752009746138
0.018249999999999999,1.1658252232558988
0.018499999999999999,1.1679035218051983
0.018749999999999999,1.1700100978290795
0.019,1.1721449648025255
0.01925,1.1743082473377557
0.0195,1.1765008576178999
0.01975,1.1787276985634596
0.02,1.181005355463997
