x,y,worst_lower,worst_upper,normal_lower,no_signal_upper,worst_theta,safe_margin,calls,interval_splits,angle_bound_complete
55,40,524.1087729470028,1500,524.1087729470028,0,6.219958422349957,53.40719100144247,63,0,0
55,50,489.7667294384343,1500,489.7667294384343,0,6.213053699074107,52.74766077009588,63,0,0
80,0,707.6150901294144,1500,707.6150901294144,0,6.282202081767566,79.98675619588096,119,0,0
80,1,707.6159900144814,1500,707.6159900144814,0,6.28149799173617,79.96724319845441,119,0,0
80,2,705.8453851740267,1500,705.8453851740267,0,6.245887335644329,79.94664372074237,119,0,0
80,5,685.8087224396155,1500,685.8087224396155,0,6.24377524333693,79.87832715485376,91,0,0
80,10,654.8381337899908,1500,654.8381337899908,0,6.24025553413196,79.74274417219453,63,0,0
80,15,626.5565900314892,1500,626.5565900314892,0,6.236736456171016,79.5800192476828,63,0,0
80,20,600.6295911052239,1500,600.6295911052239,0,6.233218096418584,79.39016677396455,63,0,0
80,25,576.775907211786,1500,576.775907211786,0,6.229700541732533,79.17320353019613,63,0,0
80,30,554.757380477175,1500,554.757380477175,0,6.226183878851305,78.92914867464492,63,0,0
80,40,515.442570381176,1500,515.442570381176,0,6.219153574783343,78.35985260517214,63,0,0
80,50,481.3787639595755,1500,481.3787639595755,0,6.212127875249535,77.68247906769886,63,0,0
105,0,695.1148829160259,1500,695.1148829160259,0,6.281871701004187,104.9821320123503,119,0,0
105,1,695.1159745131463,1500,695.1159745131463,0,6.281154999956041,104.9620740828731,119,0,0
105,2,695.1176484506905,1500,695.1176484506905,0,6.280438318925774,104.9408993575302,119,0,0
105,5,676.3600904029689,1500,676.3600904029689,0,6.243381818255206,104.8706752197587,91,0,0
105,10,645.4511680568977,1500,645.4511680568977,0,6.239799094501343,104.7313072904294,63,0,0
105,15,617.2567797669925,1500,617.2567797669925,0,6.236217036515405,104.5640412568432,63,0,0
105,20,591.4355455252605,1500,591.4355455252605,0,6.232635736007627,104.36889274956,63,0,0
105,25,567.7010243939588,1500,567.7010243939588,0,6.229055284571746,104.1458799899272,63,0,0
105,30,545.8110900886335,1500,545.8110900886335,0,6.225475773670997,103.8950237815912,63,0,0
105,40,506.7703231106523,1500,506.7703231106523,0,6.218319938591701,103.3098770856565,63,0,0
105,50,472.9900974641541,1500,472.9900974641541,0,6.211168959336991,102.6136703398663,63,0,0
130,0,682.6146303520404,1500,682.6146303520404,0,0.001656042316617659,129.9772421026342,119,0,0
130,1,682.6159259422149,1500,682.6159259422149,0,6.2807994929798,129.9566079371599,119,0,0
130,2,682.6179499643794,1500,682.6179499643794,0,6.280069742230097,129.9348249210939,119,0,0
130,5,666.8831709066193,1500,666.8831709066193,0,6.242974039504029,129.8625836549085,91,0,0
130,10,636.0387431440893,1500,636.0387431440893,0,6.239326005120827,129.7192134787279,63,0,0
130,15,607.9346818378149,1500,607.9346818378149,0,6.235678673592997,129.5471457612097,63,0,0
130,20,582.2225305535271,1500,582.2225305535271,0,6.232032141727911,129.3463975168829,63,0,0
130,25,558.6105082564264,1500,558.6105082564264,0,6.22838650620544,129.1169885792912,63,0,0
130,30,536.8524368953956,1500,536.8524368953956,0,6.224741863562634,128.8589415912166,63,0,0
130,40,498.0918687683316,1500,498.0918687683316,0,6.217455942258604,128.2570380127403,63,0,0
130,50,464.6007234853684,1500,464.6007234853684,0,6.210175146677537,127.5409236513917,63,0,0
155,0,670.1143380899508,1500,670.1143380899508,0,0.002011205852323353,154.9720628869608,119,0,0
155,1,670.1158506373678,1500,670.1158506373678,0,6.280430773185331,154.9508184049918,119,0,0
155,2,670.1181051231316,1500,670.1181051231316,0,6.279687467376897,154.9283911245935,119,0,0
155,5,657.376873010601,1500,657.376873010601,0,6.242551107115061,154.8540134592772,91,0,0
155,10,626.5999246192762,1500,626.5999246192762,0,6.238835338279518,154.7064044781456,63,0,0
155,15,598.5895165251391,1500,598.5895165251391,0,6.235120312192701,154.5292514257887,63,0,0
155,20,572.9899130010492,1500,572.9899130010492,0,6.231406131143622,154.3225728689396,63,0,0
155,25,549.5038607982466,1500,549.5038607982466,0,6.227692897281512,154.0863904491293,63,0,0
155,30,527.8810454981466,1500,527.8810454981466,0,6.223980712599031,153.8207288713841,63,0,0
155,40,489.4070394975924,1500,489.4070394975924,0,6.216559897860529,153.2010823008208,63,0,0
155,50,456.2106362330776,1500,456.2106362330776,0,6.20914449910459,152.4638915389817,63,0,0
180,0,657.614012449495,1500,657.614012449495,0,0.002379819686144296,179.9665679109789,119,0,0
180,1,657.6157556531318,1500,657.6157556531318,0,6.280048090127218,179.9446759171832,119,0,0
180,2,657.6182548109821,1500,657.6182548109821,0,6.279290716387116,179.9215651113313,91,0,0
180,5,647.840049030414,1500,647.840049030414,0,6.242112160560149,179.8449208789401,91,0,0
180,10,617.1337318680419,1500,617.1337318680419,0,6.238326096058048,179.6928149330613,63,0,0
180,15,589.2204674599501,1500,589.2204674599501,0,6.234540817274331,179.510267013159,63,0,0
180,20,563.7370313725646,1500,563.7370313725646,0,6.230756432401051,179.2972974327486,63,0,0
180,25,540.3805628785248,1500,540.3805628785248,0,6.226973049476767,179.0539298677633,63,0,0
180,30,518.8965254358142,1500,518.8965254358142,0,6.223190776368101,178.7801913434283,63,0,0
180,40,480.7156617567006,1500,480.7156617567006,0,6.215629990094454,178.141726172522,63,0,0
180,50,447.819830710657,1500,447.819830710657,0,6.208074932379323,177.3821844942649,63,0,0
205,0,645.1136604819171,1500,645.1136604819171,0,6.280422644661991,204.9607273939987,119,0,0
205,1,645.1156488321019,1500,645.1156488321019,0,6.279650635441364,204.9381471868028,119,0,0
205,2,645.1184076912351,1500,645.1184076912351,0,6.278878651241175,204.9143098938148,91,0,0
205,5,638.2714908061188,1500,638.2714908061188,0,6.241656272911217,204.83525666045,91,0,0
205,10,607.6391352166064,1500,607.6391352166064,0,6.237797203560613,204.6783712769876,63,0,0
205,15,579.8266794585554,1500,579.8266794585554,0,6.2339389662766,204.490089829801,63,0,0
205,20,554.4631942855367,1500,554.4631942855367,0,6.230081675616941,204.2704346052166,63,0,0
205,25,531.2400731066439,1500,531.2400731066439,0,6.226225445970525,204.0194315765342,63,0,0
205,30,509.8984704518376,1500,509.8984704518376,0,6.222370391537105,203.7371103887131,63,0,0
205,40,472.017556120213,1500,472.017556120213,0,6.214664264041627,203.0786503670125,63,0,0
205,50,439.4283028481377,1500,439.4283028481377,0,6.206964202181566,202.2953644176262,63,0,0
230,0,632.6132900417939,1500,632.6132900417939,0,0.00316057433032953,229.9545076892795,119,0,0
230,1,632.6155388823172,1500,632.6155388823172,0,6.279237537148284,229.931194606005,91,0,0
230,2,632.6185733570509,1500,632.6185733570509,0,6.278450367973958,229.9065836836357,91,0,0
230,5,628.66992567562,1500,628.66992567562,0,6.241182444311187,229.8249651589368,91,0,0
230,10,598.1150528371819,1500,598.1150528371819,0,6.237247501348911,229.6629904017296,63,0,0
230,15,570.4072562048414,1500,570.4072562048414,0,6.233313440518581,229.4686038705636,63,0,0
230,20,545.1676787847604,1500,545.1676787847604,0,6.229380383252511,229.2418300883529,63,0,0
230,25,522.08182666444,1500,522.08182666444,0,6.225448450796882,228.982697632586,63,0,0
230,30,500.8864577208778,1500,500.8864577208778,0,6.221517764189425,228.6912391173707,63,0,0
