model,x,y,worst_lower_m,worst_upper_m,mean_radius_m,no_signal_probability,normal_worst_lower_m,no_signal_radius_m,original_site_localization_probability
minimax,969.3503213017304,497.7312515719848,49.03633360025683,49.03634166438676,25.4692612415494,0.00038779337618987,49.03633359983154,49.03633400025684,0.0
expected,906.618820480172,572.789605795575,50.37829217008184,50.37830111515909,25.0757219309656,0.000226374096173972,50.37829217008184,41.50421300916201,0.0
minimax_rounded_2dp,969.35,497.73,49.0364016031531,49.03640966771638,25.4692646954506,0.000387781746661964,49.0364016031531,49.03580712319123,0.0
minimax_rounded_1dp_tangent,969.3,497.8,49.03702998373424,49.03703804902812,25.4685410073357,0.000387651880462983,49.03702998373424,49.0309411763013,0.0
